"","sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"11","35A",,,8861696,,18162688,4310272,,,,,22808576,38191104,20754432,4887808,,,12412928,9302016,2302720,,3721472,8868864,,1395392,,,28977152,,34574336,,,1402304,,1271360,6408960,,2669824,724544,,4227328,,,4114432,16980992,,,386859008,,,,552512,,3676672,330400,75042816,,,,,,62500864,28051456,,43405312,11696128,,62095360,,,1924800,1744192,,,143867904,,,2911744,,,,838208,,2109440,2109440,2406656,1781440,,3094784,,,,9633792,,1163968,13136896,,15339520,2957056,3510784,3929344,,208683008,2592768,,,,,,,,,,1589696,9175040,350032,,,28304384,,3796736,708416,,1500608,,,,,,,,516160,466796544,,,,,5390336,3242496,,,535360,,,,,498368,,,,,,,,,,,1240320,,,,,,,,,,249888768,,8978432,,31965184,666112,,1783360,1847360,,2592256
"12","37A",,,12522496,,66793472,,,,,,115896320,,68034560,3773184,,897536,8885248,7997440,,,,8810496,,,,,32869376,,13225984,,,11252736,15036416,262672,13070336,,,,,6906624,,,18420736,,,,6059776,1379968,,,1227136,4847872,2000896,,102522880,1168640,,,,,,84271104,,5597696,15955968,,,3822848,2769152,,31940608,2050240,,14830592,,,10560512,,,,7414784,7177216,1504128,24189952,,2816512,3077632,6208000,,,679872,,4236800,,4725760,,38412288,,112033792,2677760,,29606912,10134528,,,158662656,,,,6284800,1422592,,,12641280,641216,,,84234240,,4612608,7230976,,2157568,,,,,,,,3605504,586743808,,,,,,563904,,,2335232,1551808,,,,345776,3174656,,,,,,,,,,3221248,,,,,,,912512,,586880,440238080,8163072,8668160,971456,21962752,,2310400,,,,25608192
"13","39A",16515072,1085568,11321344,,31032320,,,,,,35717120,7237632,15825920,2995456,,,22786048,,681600,,7041024,44773376,,1093888,,,111472640,,23478272,,,2157056,,502144,5516032,2216960,,,,8032256,,,7702016,17158144,,,244334592,,,,932992,,,,,,1998592,,1348608,996928,91820032,74731520,,61284352,21056512,,,3083264,,,15911936,,,179404800,,,4063232,,,,2892288,,,74420224,4034816,2018112,,2060608,1814976,742208,,1357376,5812736,,84332544,,21580800,4499200,10615808,2916096,,30484480,52318208,,,1816000,,,,103133184,,,,,,,,51515392,,1550720,511376,,2236160,854528,4837888,,,,211152,,1997952,1013121024,285294592,,,,,1187008,,,,,,,,,,813056,,,24523776,,,,,,598400,,,,,481504,,,,687808,232554496,,28444672,,33869824,5280768,5225472,1942272,,,4822528
"14","41A",17036288,300800,2665984,,44216320,1454528,,,2890752,,12744704,43397120,18092032,3141376,11260928,,34598912,,,,4885248,,5360640,2870528,,,17581056,,55431168,,,21567488,2061504,,3707136,7047936,,,,26867712,,13613056,3701504,117424128,1261952,1429696,651689984,,,,1236672,,,,7630848,,,,9764864,5042688,331251712,54984704,,225181696,23865344,21000192,,,,,1328960,,,878444544,11490304,4978688,2830080,,,,3227904,3255040,1188096,841216,,,,,,48955392,,3578368,2687232,,10586112,,17105920,,8184064,2548224,,26650624,1322432,,9412608,,,4481536,,,,,,5867776,,,,27590656,,1758080,665856,,3531520,,,1156608,821440,750272,,,4738816,2470969344,1310654464,,,,,2794240,,,,,,4283392,,,642752,,,,2721280,1355648,,,,,1942016,,15529984,,,536704,,1774080,,,1323368448,,17917952,,48607232,8479744,7398912,1113216,,,1970816
"15","45A",183418880,,8057088,28441600,,,2962176,,,,14190592,166232064,55037952,5281536,10992640,,12866560,,,9556992,,10043392,39911424,22067200,,1994048,,,175751168,,,,,,3456768,42856448,,,19791872,3526144,,18725888,6746368,14587904,5783808,,1253376000,2101504,,,,,,,298832,,,,69906432,7981824,30579712,,13247488,15652864,8897536,4370176,,2377472,,1867712,,,,523632640,3220480,,2573824,,,,,,,,,3555072,,10938368,,30405632,,,1763264,,,,16967680,3054592,6384384,2179072,,1206080,,,,,,,,,,,2102528,5097728,,,,31888384,,4424192,1157632,,1115264,406624,,,,,,1507776,,86949888,,,,,37953536,,,,896512,,,,,,,3371008,955264,,,,,,,,1580480,,,,,,,,,,143065088,,103280640,3244544,7832832,,,,9694208,,2176512
"16","47A",,,6033920,,13848576,1500544,,,,,50221056,11057152,28778496,2254080,,,38748160,,,,2273536,14223360,,,,,66359296,,19182592,,,171737088,5854976,,2971136,1018752,,,,8684544,,,3908352,11490304,,,198213632,,,,,,,,,,1598592,,,232432,44457984,34861056,,38064128,12468224,,,1821248,,,,,,85270528,8985600,,5018880,,,,1813824,,,32607232,,,1234624,1940224,,,1138816,,39260160,,32763904,,16626688,,24688640,2168064,,141459456,49954816,,,822656,,,,59559936,,,,9052160,,,,63000576,,20090880,618432,2084608,2561792,1167424,,,,,,,6278656,1515585536,,,,3425280,,2424320,,,,,,,22166528,,,,,,,,,,,,5662208,,1133760,,,4231936,752384,2023232,,,657981440,931008,27845632,,18987008,,2317312,,,,9084928
"17","49A",,190192,7714560,,15564800,,,,,,51646464,3564800,19508224,3536384,,,14216192,,,,,20774912,,1022336,,,29124608,,14475264,,,7344896,,564992,4353792,,2634240,,,4128512,,,6798080,6799616,,,184008704,,,,302608,,,,,,1272768,,,,27368448,30369792,,19354624,16194560,,,2700032,,,1081472,,,73691136,1657408,,4352768,,,,1026496,,4271360,4394752,930624,1141568,,1406592,,,1307776,,6111488,,11484160,,8749056,,6933760,801600,,12564480,2430976,,,,,,,1910400,,,,8523776,905408,,,60461056,,781120,,,429936,1008320,,,,,,,,737345536,203243520,,,,,985728,,,,,,,,,,,,,675840,,,,,,,,,,,,,,,,180273152,,8476672,,15249408,771584,2100480,,,,5091072
"18","51A",,,44998656,,28829696,745600,,,,,107044864,,74895360,,,,2104832,,,,,53510144,,,,,9585664,,13846528,,,13362176,6990080,,,,,,,1358656,,,47714304,,,,10887168,10277888,,,,1842944,,504480,4522240,,,,,,6458368,49164288,,6873344,9976832,,,17260544,,,4939008,,,,1774784,,12083200,,,,1305600,,3518720,,,6892800,15785984,4498176,,,5644032,,,1641664,5120768,,161136640,3901952,320372736,33562624,,139280384,14708736,,,,1323456,,,12621824,1534592,2601728,,31100928,,,,61800448,1369408,10706944,3116288,,26849280,1800512,,,,,1370048,,5506560,1526595584,608698368,,,,,,,,1450176,,,,,,823552,,,,,,,,,,10177536,,,10579968,,,956032,2253312,,,628424704,,9737216,1295040,31463424,,,9177088,,,23231488
"19","53A",59211776,,15995904,20310016,,4257280,3853824,,,,36003840,42954752,22952960,,,,5453312,,,12957696,,14986240,4809472,3164672,,,13058048,,118644736,,,1982208,3957248,1835712,,5565440,,,3305984,,,,8126208,21033984,1595520,1693888,403423232,,,,490272,,4432896,617856,,,,,2567936,1601408,80818176,41930752,,46993408,10798080,,,2917376,,,,,,211697664,31422464,,8056320,,,,2163200,,,1116608,,3689216,1053312,16190464,,,1456384,,,,3665152,,24906752,3158784,19551232,1977088,,23683072,1958336,,,1056128,,716608,,1398784,,,,1319698432,,,,74801152,,4996096,2442496,,3027456,614080,,,,,,1545472,1939712,43368448,,,,,1067840,,,,,,,,,,583296,9366528,504384,,,,,,,393184,2556160,,,950080,,,,,,,1096220672,,70361088,2290688,6025728,681216,,,4527360,,6789376
"20","55A",,,7061248,,6764800,,,,,,33426432,72572928,24076288,5971456,,,4596992,,,,,4976384,,1154304,,,3091200,,56877056,,1643584,,,,9636864,,1886976,,,,,,5182464,51642368,,,497123328,,,,,,,,,,1257856,,,,157925376,10311680,,119963648,11833344,,9127936,3320576,,4262144,16005120,,,,,,5782528,770560,,,1209984,3692032,,13010944,17882112,,,,1598080,,2392576,,2614784,,,,25101312,3192064,10283008,5368064,,1168572416,12305408,576389120,,,,,,9478144,,,,10930176,,,,60801024,,1946944,1584320,,2726400,,27607040,,,,,,1480704,1094451200,304463872,,,,,2681600,993664,,,393472,,,,,,620032,,,,,,,,,,,,,,602176,838080,,,,295452672,289328,,,8695808,10575872,,,,,4493824
