"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-methyl-4-imidazoleacetate","1,5-Diaminopentane","1H-Indole-3-propanoic acid","2-(1H-indol-3-yl)acetic acid","2-aminoadipate","2-hydroxy-3-methylpentanoate","2,3-Pyridinedicarboxylate","2,5-Dihydroxybenzoate","2,6-Diaminopimelic acid","20.13_butanoic acid","3-Hydroxyanthranilate","3-Phenyllactate","3-Phenylpropionate","39.01_1H-indole","4-(beta-Acetylaminoethyl)imidazole","4-acetamidobutanoate","4-imidazoleacetate","4-Imidazoleacrylic acid","acetyltyrosine","agmatine","Ala","Arg","Asp","citrulline","D-alany-D-alanine","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","formylmethionine","Gln","Gly","His","histamine","homovanillate","hydrocinnamate (phenylpropionate)","I(-)","imidazole propionate","indole-3-lactate","L-(-)-Phenylalanine.1","L-serine","L-threonine","L-tyrosine","L-valine","leu-gly","N-Acetyl-L-glutamine","N-epsilon-acetyl-L-lysine","pipecolic acid","pyridoxamine","taurine","tryptamine","xanthurenate"
"9009-B",82270350.33,85630.37933,2269870.088,688218.000000007,NA,2098,1664189,1541116494,1548093,NA,NA,58324719,30.44833747,420718634,NA,72629.68187,769,12078.33563,3231537.754,2691677.591,5872330,434907.999999997,294654.5029,780822.3647,257463688,79987.0399,153447.000000002,698313865.3,1816163.125,1317277.512,1464453.636,4041866.043,19349.0000000002,319475.0964,17278.31755,24776115.2,9527.35906,37129239,NA,683814096.6,NA,15938661,506264407.7,41504.05455,125360.2612,91026170.06,523645366.6,33624,3404,15183.32341,104466.7606,0,11675.82346,91,5105751
"9009-C",19186373.21,14235.08046,23088439.15,7244.99999999995,NA,NA,245180,2871452,1095625,NA,NA,NA,1782.917717,NA,NA,97573.88902,5271,14537.35321,2186444.464,787666.2605,NA,20835.0000000002,86247.2622,155119.9851,4255860626,274901.0911,558.000000000002,170118833.8,316373.8953,350619.1859,5751291.981,967681.9698,571.000000000003,125508.3145,4917.461545,7018249.776,21708.34411,1809816,17,148301444.2,NA,NA,138592954.7,21801.72918,42828.11648,27687452.67,251174226.1,3276,769,34978.85502,100165.3249,0,114581.0318,28,1254532
"9009-D",38513403.69,NA,16580871.57,3171.00000000001,3950316,9903,1270535,249545187,1626016,NA,NA,433473918,1673.539766,9604999,3199387,93034.60589,4719,42810.65652,17564738.72,1116632.787,1775542,62405.9999999997,96227.42679,434401.2054,633964908,189834.6763,44141.0000000004,157494824.3,215582.5517,275191.863,1528391.265,666858.9864,14523.9999999998,128511.8733,6650.877864,7675130.812,409639.9195,5500681,3044,129605664.7,NA,308149,111709537.4,17353.54199,34814.7321,22905361.46,2803097509,182891,5271,49795.57647,503155.0577,3369,1732783.962,141205,NA
"9009-E",407748697.4,25410.99279,4323887.342,18694,20217160,1358,453792,53427219,2935363,160276747,NA,773994646,1630.723131,7231050,16754007,92580.14576,2845,9166.993601,6594246.645,6081239.452,NA,33485.0000000002,520887.9121,3321000.937,308406606,485790.7568,54467.0000000004,613997768.4,495100.8546,367428.5455,1823391.405,4222161.835,14211,203783.8153,141673.232,89697651.27,1138622.474,12030750,19431,454145730.7,NA,485583,764317384,12514.96803,59789.2988,166169823.4,3275221959,59519,4719,77675.66914,198246.0126,2240,1248235.357,6915,789224
"9008-A",294154655,658401.3745,1351055.481,415738,NA,21728,2025125,36832927,2776449,25830258,NA,233096772,1311.289316,5127604,NA,68076.72566,5548,7303.605696,588960.7074,224235.4876,NA,64264.0000000003,345735.3435,6693082.678,370703529,33109.42843,30132.0000000003,1018977914,1789498.729,1009034.622,1224275.367,11937013.9,7467.00000000008,3080781.481,74277.1434,324634120.9,9151.445516,5210474,1382,814993348.3,NA,181296,1062923959,238688.5034,442163.9995,213004910.1,671392905.7,33069,2048,16114.06584,16774.72499,1144,36776.27475,291652,9369687
"9015-E",431328466.5,6991.11616,796334.7815,17793.0000000001,10612610,2363,2751154,145456882,1828228,47545235,NA,730876947,16.31151694,34940587,20722157,69730.64748,1572,10862.38285,173959.0658,495701.5626,1763031,19319.9999999998,469702.092,5911139.323,678180513,8803.869409,115778,867644967.8,3657981.641,860996.897,2013046.715,15832573.83,21216,194012.4448,106571.8396,115750618.4,49295.57906,69326244,24222,817751327,NA,10919111,892414717.4,22303.28083,56886.95904,22350297.14,912987635.6,48909,3350,NA,14206.24382,558,47233.80331,1909,1220714
"9014-A",172111560.9,301574.739,3505404.313,660920.000000004,NA,4092,1829567,182881530,1892821,41275769,897095,256219105,NA,72730924,6830541,60362.37199,53377,16139.3143,639078.6914,1046694.998,4506592,8674.99999999998,72339.13575,5172926.156,366925928,33716.44384,57489.0000000004,257041253.3,3110182.965,124690.053,3179685.272,1813565.716,44653.9999999997,838239.8131,20715.74869,66541481.03,1882.955929,45841743,6229,124739734.2,NA,4643725,342438753.1,121256.1105,281478.7382,67037374.23,217282959,46953,26896,11610.3041,3444.72075,30,54547.51953,350017,4512361
"9003-E",31713707.36,7461.858015,2497856.971,32254.0000000001,1112405,5753,3139718,39318736,NA,6090061,NA,355514633,2082.527451,29343994,104179544,126992.0388,1954,35840.92308,8928289.319,994835.2379,NA,76725.0000000001,76390.83527,385354.4036,330604453,42129.36434,26648,139549333.3,788030.4304,216153.8364,1641173.361,1046411.948,16557.0000000002,116583.232,9077.06171,9976353.499,73572.84749,14876722,110724,108760474.9,NA,1193881,101807217.1,19650.58091,28389.27979,18225772.07,1963233975,52646,7664,117050.5558,137187.6131,14544,482653.508,43,NA
"9014-B",27446183.01,6615.295028,9437032.71,1400510,NA,107757,3300782,429039692,11623037,31687905,4572830,442493456,3960.0322,12760705,NA,287950.6795,2912,41230.05896,24195956.78,1881497.031,2772032,283693.000000001,238080.4019,1049224.004,372116631,425067.4068,30678,340877945.3,1125230.494,668464.8664,5231047.401,937949.5484,38922.9999999996,146579.9795,13823.37013,16837885.45,13676.39987,9406310,1633,295627713.9,NA,11894765,242678742.3,31518.59031,77374.94668,40315848.38,326288102.4,57188,53377,246532.8252,1274286.106,NA,24052.50073,809432,4113752
"9014-C",34444934.15,2421.012837,24892270.23,5810,NA,1392,162891,1113793,471608,NA,NA,NA,5715.669447,NA,NA,157058.9595,3669,28136.52739,30410161.32,1845707.416,NA,3735.00000000002,279755.9301,369719.2477,730121009,462779.3027,827.000000000007,468940960.2,445173.4814,799631.9516,1898564.864,1616245.979,1341.99999999999,233700.709,17624.81352,8972538.465,42029.86241,969655,278,427052427.2,NA,NA,324817404.3,29512.96615,89004.70851,61202582.77,416653358.4,5372,2912,590752.122,702297.6395,107,49064.99385,1255,171750
"9014-D",57803779.8,3076.244541,13282584.29,6171.99999999999,41059766,752,509943,24235309,3816173,30697517,NA,994425046,736.7058123,15340367,716293402,65615.35028,20245,16312.06045,2921094.546,899308.7317,NA,27062.9999999999,170680.5502,2031647.965,399555601,86658.75448,62516.9999999996,358877030.1,1102406.826,547471.9734,11578139.48,3226882.213,12603.9999999999,293373.1788,24830.22141,13970643.87,22188.28485,3482502,711904,310407890.4,NA,616814,237374492.5,55259.1581,88702.11756,45935268.72,2741329527,86330,3669,93790.6143,121122.151,189,3749404.499,318,3408344
"9002-A",386115906.9,911056.2142,844585.0321,729815.000000006,6532801,153687,2136932,757034797,1431940,16605728,924837,254526414,NA,21007072,1467740,103876.468,1064,5597.121755,185664.6777,153274.8203,2373672,354156.999999998,508801.9569,7608242.927,200512180,41938.20396,17001.0000000001,1479660885,2607848.604,1719640.602,972018.7348,14225472.29,6496.00000000002,3800170.909,89476.21028,373182424.9,10888.65353,5747549,1198,1311517406,6787.314312,13826023,1506762298,301645.4576,499035.1403,237152568.5,925236173.7,16172,6780,32003.84896,20969.10198,268,11349.71911,1152,3813003
"9013-A",263752033.6,460585.968,904843.5712,1246471.99999999,NA,552,840446,550863500,2676271,260375,NA,NA,NA,135809027,1179578,50921.48129,1194,5264.937229,506336.089,97120.60774,2865004,668118.000000008,259028.509,5502177.894,245269611,20866.02812,63245.0000000005,671600066,2872470.622,594493.8265,1397341.757,8637491.519,3909.00000000003,1088829.076,57723.05127,393708573.2,3885.907833,10372466,NA,554040227.4,NA,5330467,626562227.6,192515.787,332371.5307,117778461.5,497302747.1,7761,2808,4569.676575,3996.722695,NA,36810.23466,87,6727029
"9013-B",51637138.21,60646.71426,13856120.14,11004.0000000001,NA,NA,NA,1624535,2482624,NA,NA,NA,295.6095327,NA,NA,57057.47706,492,3901.50836,3209742.818,1009708.106,NA,8546.00000000005,222885.8254,353378.6225,2552429516,376787.6727,5501.00000000006,467997790.3,1749122.68,966440.545,1067419.686,2525425.561,1421,207144.349,14522.49013,23026513.69,2941.583586,2241304,182,446991633.9,NA,NA,307814620.4,28275.32054,43497.06159,60541288.61,386587931.7,3883,1194,53322.58498,157637.8144,NA,133719.2409,18,4098027
"9008-B",18672565.27,4058.632654,24045368.35,228137.999999998,5089713,12548,1265009,95258018,4745448,40377008,3712500,250290161,1722.381226,15040695,16667891,231530.5726,751,25518.31043,9435495.982,1731136.529,1034516,516158.000000004,88424.69975,106632.96,259971259,303848.0272,40225.9999999996,158922441.6,199375.6969,330731.0307,2007518.296,1085733.377,3662.00000000003,94985.53825,6979.752543,3962269.533,10459.96157,8607591,16423,134185177.1,NA,2866936,113844364,17465.49344,30429.27205,26673032.51,118873493.2,36409,5548,178881.1326,380451.2947,1537,10492.18573,218436,5405443
"9008-C",23584656.18,15318.63625,24539656.13,8045.99999999997,NA,39,929617,2793456,4189155,NA,NA,NA,1232.117884,NA,NA,141988.7081,1562,27684.36624,10323115.22,808486.5188,NA,56357.9999999999,112658.7335,565093.8128,789215458,431419.464,4455.99999999998,183075552.8,401126.0708,444085.9143,3361696.513,921429.266,4516.99999999996,89916.76106,7799.236595,10606626.24,21660.21473,3461356,137,154787734.2,NA,1429461,145885320.6,19725.02393,51314.57737,32497501.8,166999725.2,12882,751,132557.7854,279660.1308,5,20908.41399,811,1439708
"9008-D",35678169.09,8087.97995,664808.5666,5534.99999999998,9609918,20982,1411505,16188955,1730051,22512250,NA,658925115,NA,16396660,368720669,50039.80849,2360,8510.215702,1590316.313,1285910.32,NA,32277.9999999997,325188.6532,1076098.127,388835578,86072.75792,31209.9999999999,413701177.5,6487072.016,1411081.025,12651371.87,6359321.883,4882.99999999996,225587.5701,13861.78319,38308007.08,620.3617578,6798980,345461,371580494.2,NA,587889,755108042.4,29575.9904,124419.8841,263707510.7,2631347543,67831,1562,87286.95637,215001.9033,3255,21552.9698,236,7608215
"9006-A",294747044.1,451247.8758,4228151.037,122266.999999999,1984507,7066,738908,29024586,1115613,29937700,NA,184174208,NA,3014850,1256188,62726.89675,479,2080.011402,98698.62002,647420.0287,NA,670984.000000007,239994.3726,7022708.725,426431606,45644.63831,11331.0000000001,736740517.2,4540879.889,498955.2851,1871176.634,4466551.173,8334.00000000002,1272745.894,58923.85298,185782592.3,12998.29651,925457,1001,429574851.7,NA,1167084,647384119.8,189177.5948,362277.9488,138329007.3,591114387.8,12053,1127,11014.62888,6617.296147,972,38614.58515,25830,2772756
"9002-C",8455062.245,28.31678492,28424807.8,3449,NA,NA,251196,2762058,5365117,NA,NA,NA,259.8851594,NA,NA,101027.996,5949,380.7034418,2749937.373,1295750.278,1345129,75100.0000000003,54958.4747,44182.36489,1616459676,128196.378,6476.99999999996,122010517.2,152354.3711,215481.2943,1419376.957,822452.2085,5439,34688.06153,3308.029741,2340891.976,28672.31789,1936536,115,116787865,11833.26979,NA,77573191.08,8614.595236,21940.47422,14932239.85,102180959.2,43278,1806,95213.61615,11195.19824,50,3395.497143,61,381891
"9006-B",12148220.09,372.027946,663716549.1,1083596.00000001,NA,365,1584030,434049268,2239469,2662461,NA,53967914,1672.904659,286047730,NA,94494.28423,508,1299.248582,533266.6488,1603118.078,NA,326693.000000003,91000.31499,77466.47559,341030102,216586.2039,60667.9999999997,169624234.6,338253.1814,317439.154,4633517.707,1378168.978,12125,63557.35199,5494.128245,2073071.594,490.8815131,98249070,62,159085855.2,NA,8960709,122986187.8,10166.86437,19941.34916,22134981.42,167328293.1,18869,479,74008.32523,639405.3263,NA,12056.31046,325,4913731
"9006-C",11224280.38,22.02098989,748675046.1,5887.99999999997,NA,NA,556804,2731471,209954,NA,NA,NA,3284.902521,NA,NA,91546.91753,5627,1747.208255,407971.5547,779884.053,NA,36754.0000000004,72353.42274,19866.70791,734743444,121556.4934,16182.0000000002,129668004.9,150850.7017,229752.5376,1929439.497,819430.605,2134.99999999999,64316.3906,3820.327161,1394170.891,1520.706645,3754371,124,124362197.1,NA,NA,97448433.98,8917.871736,22034.20249,18177078.25,155408378.4,7527,508,51777.63895,448502.1304,98,15269.35439,62,912946
"9013-C",36798710.87,46087.56389,324953063.2,2464.00000000001,NA,9,167449,2006336,1002454,NA,NA,NA,1737.76916,NA,NA,117793.4675,5757,18385.27676,4567853.476,1673448.776,NA,7164.99999999996,191801.1128,396324.8508,2101062706,627229.2086,1020.00000000001,404951506,948284.3535,759367.2956,4576052.857,1576691.944,486.999999999996,458059.2149,12562.14527,11352335.83,41588.39242,924359,42,399000073.1,NA,NA,315251692.9,40763.06669,87845.60659,55345525.65,390015326.2,4132,492,144174.0872,198971.13,NA,48099.29534,31,1528230
"9013-D",23842440.64,18623.55891,2004897.378,2830,5370403,8555,4741556,10853573,NA,1081232,NA,406845535,5968.721499,3069313,28323217,106859.883,10245,14889.91955,3035568.363,798386.6457,NA,308515.999999998,100175.3613,547866.1406,857057512,238053.7845,24441.9999999998,145102989.8,617757.8925,338469.8715,1732564.894,558469.23,9495.99999999989,168214.6415,91874.3109,3616951.17,5492.052768,1734686,31581,115422302.6,NA,NA,142374259,16860.36287,36328.85297,35638614.33,2031456667,237211,5757,423925.8937,138992.7758,1169,1269705.208,13475,812770
"9013-E",101592071.9,60810.3282,21781977.25,13147,4772360,2389,2401643,27338294,1871682,59147026,NA,975870801,4505.005751,18041136,896148012,101907.3726,26896,152375.8646,24320983.99,1341367.016,2927783,104553.000000001,181576.587,203846.8499,512216809,122078.4064,47909.0000000001,222165775.3,140884.4752,293573.1012,2860407.316,1332527.884,7191.00000000007,303453.0448,31868.51424,2159691.472,7338.499023,20207925,1216416,173210550,NA,576287,174549250.2,23021.0972,38096.81415,35226017.36,2109888307,68279,10245,259367.1621,51711.25222,492,1812465.306,1592,1737384
"9010-A",282587683.6,526283.1101,2007612.61,506874,424771,78077,1144386,142139996,4680068,15411224,3382253,407581392,793.2126603,8058034,2960864,46394.84662,2476,3642.303032,224676.6766,424677.4247,NA,190507.000000002,209435.1223,7100024.938,280233252,86179.58774,29120.0000000001,422959698.4,4399320.373,318237.9985,1542677.754,4735513.037,9511.00000000009,1605235.792,74205.85377,648852171.5,70152.3752,4990774,3502,297562881.4,NA,11053362,763201929.8,219534.2844,372419.2796,143894815.8,454417579,29915,2845,13001.13322,16166.42946,2042,39159.8838,155,12451056
"9010-B",54483844.5,13313.21519,607552249.9,552084.999999997,2431899,28004,1655857,98854661,3977596,12498007,2873703,246529557,3458.038416,43021465,1955171,123963.4633,982,1292.692019,6521600.984,4125146.619,1108990,340590.999999998,274164.7349,68218.3016,206767541,823306.3549,27817.9999999998,590111164.2,1001345.301,1063544.615,2780608.458,2493784.417,13169.9999999999,278374.4196,15058.52395,16724445.59,119593.2102,23941745,1978,472422216.2,NA,18611629,398056332.1,36547.9289,70632.64538,73348946.19,378285376.8,7774,2476,48604.52179,1420787.21,460,22113.06195,86,3383256
"9010-C",21332149.55,452.8081188,22658528.09,1877.00000000002,NA,NA,486713,2350096,1109777,NA,NA,NA,2774.30016,NA,NA,78097.68342,7718,2196.761925,6037044.967,1308345.593,NA,76559.0000000001,142001.0796,69287.95752,1163696365,273107.5505,16621,235048668.3,725316.2088,471134.3746,4326215.7,1014988.675,2746.99999999999,147809.7233,7231.322979,11042575.65,109469.1975,4196310,126,194602274.8,NA,NA,153358102.9,26566.75881,56764.29791,31264287.75,178052136.5,2127,982,33474.53943,498635.4754,16,8289.639116,NA,388082
"9010-D",190054316.7,343294.6865,753619.2115,65257.9999999998,1813663,3082,2042580,16245698,2991099,9893701,NA,160774968,NA,7376102,4257058,54778.91202,12081,7584.598608,2001200.943,209809.6248,NA,4117.99999999998,491045.0563,6639710.799,688683892,113189.5216,10647.0000000001,880794361.7,8920356.343,756818.3335,7663006.959,10082997.51,7265,823924.0342,84721.0479,186548982,12478.51284,6827628,4019,812558576.9,NA,317505,1187420257,10276.89707,49022.26785,321346268.9,1025536275,142512,7718,6271.538177,13373.52453,7249,75209.22844,629,NA
"9010-E",438118816.8,733057.0681,1065376.701,41271,6445846,3293,2139565,25031162,5597516,47862868,NA,768661343,NA,9985662,9379940,60383.13396,2808,5562.072081,1503870.731,34643.42476,NA,5829.99999999995,313474.7607,7023724.205,408867353,46800.77903,16598,560516442.2,3818141.202,375756.7673,4879158.281,8192562.385,8185,2001933.003,70221.05424,536496273.9,9459.668917,68070810,9066,444777673.1,NA,373112,886710989.9,290752.6004,606043.3062,252831035.3,660495809.9,101348,12081,6172.182224,6161.181625,8388,49054.20942,2590,158874
"9006-D",10881983.1,979.9223214,9800895.537,6658.00000000002,6181582,12110,953823,42658304,NA,20959508,NA,386026197,1578.437751,34669536,159806695,98430.85007,8919,32963.82408,17192745.93,468537.829,NA,165661.000000001,64638.19947,453156.8626,396849522,275293.6265,43895.0000000001,94378616.02,214585.385,168810.6902,3385244.346,1152195.013,7682.99999999997,113895.4326,5775.380508,2951967.584,66492.42375,8804542,190394,77358808.77,NA,1269500,68061913.11,12850.47835,25874.05674,19446821.05,2558267665,29353,5627,141905.3679,158275.0583,3176,936400.8612,111,5056229
"9006-E",16923680.75,579.5195394,5066849.211,12092,7442589,17936,1364965,327253980,NA,32166679,362029,738059632,1121.822228,24278594,209887901,111868.5379,2048,21078.9156,4057466.18,1020140.474,2653956,57444.9999999994,134558.4115,685504.2703,500728960,38147.27243,72414.0000000005,137437381.2,205577.0246,237943.2795,1256293.8,8994752.899,7622.99999999998,111866.7656,37255.84024,4110820.967,90119.71895,7906004,241838,106518016.5,NA,1283300,113215020.5,17816.23832,37608.51421,29944504.76,2279730338,10499,8919,77799.16899,79443.79937,2868,817453.9577,1743,1671048
"9005-A",314235840.1,614007.0641,5620619.364,42716,NA,3223,1337881,77785207,546516,18985085,NA,349221591,202.616271,12256555,2539220,47997.13583,2782,2623.009734,227396.8827,126816.6989,NA,111782,156302.4088,6934529.956,330326546,46989.55537,42204.0000000003,465378884.1,3957779.717,302788.4718,881234.0883,4098227.632,12959,1556294.661,69568.89257,495800598.6,17131.61828,5748036,2607,368325401.5,NA,3322051,811365946.1,201716.8748,381867.4937,180530897.6,504936812.9,34714,10189,16574.19433,9002.213416,798,127645.5003,2207,6200153
"9005-B",29379737.82,43020.48037,131905008.1,1981796,NA,301,2184875,744464462,3654322,8974530,1656322,119304340,461.3909681,166721574,NA,65664.8727,868,2624.614067,1514716.353,408421.594,1744380,940530.999999998,162820.2829,1086212.173,276681500,151853.1887,99894.0000000006,204970052.1,660214.2405,378077.287,6437456.025,3080725.612,27740.0000000003,167757.8909,18560.71991,24463635.18,18118.65422,89601312,81,161204827.5,NA,3808830,194534717,24772.58837,47886.82647,25136230.88,953242778.3,75280,2782,26593.99564,64446.17247,182,646041.5661,99,2248319
"9005-C",113756741.8,60386.59555,3372625.996,1207.99999999999,NA,12,751482,2261336,1643234,NA,NA,NA,1398.46311,NA,NA,76325.58974,3045,5254.910292,1597294.068,1225071.111,NA,22119,353164.65,1191491.441,1456553405,273365.9924,10491.0000000001,584835968.4,931860.8835,929152.8315,3714868.693,2508955.22,1793.99999999999,225498.4734,13278.86467,16456736.6,70463.37179,5814008,62,526813571,NA,NA,599343600.3,35198.57587,80226.47407,73228426.12,1067045180,8288,868,64795.45744,106657.8625,16,35722.23713,NA,966388
"9040-E",117061358,14372.33475,154417742,19769.0000000001,17892084,9322,3350898,25413535,5118526,25632848,NA,839548568,1195.237249,7552636,269874420,67996.81122,6241,7769.697405,2929603.822,3628662.31,1505088,4201.99999999996,222464.1883,1175098.419,255132799,397860.6677,142190.999999999,493026317.2,1473964.086,660029.1434,6746200.808,4460051.386,8101.00000000002,382257.7104,35748.99569,32372271.57,92853.02796,12620708,394515,441200174.8,NA,1000162,464245535,58503.06271,110756.6859,83092020.74,796506407.7,46254,8051,68066.92656,129322.1803,4710,606305.7191,424,2086904
"9038-A",334816225.6,494730.1644,1382938.814,46137.9999999999,NA,13,NA,84800341,1202965,NA,NA,NA,10.6854177,12281262,NA,34986.72889,1523,3498.138618,372926.4203,1477284.374,1476166,212513.000000002,294930.2173,5748232.47,2846366635,153190.8229,1513.00000000001,797416688,3379258.003,713214.9,2718578.627,7933903.271,2070.00000000001,1521121.3,74851.35095,513312960.6,5293.288791,2751759,29,721506286.6,NA,NA,779833648.9,257636.7739,525515.5206,175111110.5,719365127.9,10288,1539,5439.545445,7871.14581,4,93121.4117,87,3541767
