"sample_id","(-)-alpha-Pinene","(2E,4E)-3,7-Dimethylocta-2,4-diene","1-Butanol","1-Hexanol","1-Propanol","1-Propanol, 2-methyl-","1-Propanone, 1-cyclopropyl-","1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-","2-Decanone","2-Furancarboxaldehyde","2-Heptanone","2-Heptanone, 5-methyl-","2-Heptenal, (Z)-","2-Methylbutanoic Acid","2-Methylpropyl butanoate","2-Nonanone","2-Octanone","2-Octene, 2-methyl-6-methylene-","2-Pentylfuran","2-piperidinone","2-Undecanone","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","24.11_3-methylsulfanylpropanal","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.44_butyl butanoate","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"159A",7143168,1707904,NA,NA,NA,NA,NA,NA,NA,3713280,NA,59826176,4678144,NA,NA,NA,26894336,44183552,23755776,3098112,NA,24709120,NA,NA,NA,2614528,3906304,NA,NA,NA,NA,151453696,NA,50556928,NA,NA,3682816,NA,NA,3585792,NA,NA,NA,NA,13338624,NA,NA,5152000,104886272,NA,NA,NA,216800,39026688,NA,NA,254099456,NA,2327296,14341120,NA,1792256,NA,865984,NA,536936448,NA,NA,235072,NA,1686656,NA,NA,NA,NA,NA,377176064,11471872,NA,NA,NA,2505984,NA,NA,NA,NA,573440000,NA,4929792,NA,NA,2806272,NA,NA,11484160,1139072,NA,NA,NA,4808960,NA,141361152,NA,18476032,11635712,2073984,NA,30251008,11296768,NA,NA,NA,701056,NA,NA,9773056,NA,NA,NA,8057856,NA,NA,NA,36573184,NA,NA,NA,1889088,1466816,41639936,NA,NA,NA,NA,NA,2939136,2257321984,1132658688,NA,NA,NA,NA,4928512,2599168,NA,NA,NA,NA,NA,NA,NA,452336,NA,812736,83488768,NA,NA,NA,NA,NA,NA,NA,2031936,NA,NA,NA,399245312,NA,NA,710464,61132800,6752256,NA,1589888,NA,NA,3973632
"165A",6792192,NA,NA,NA,NA,NA,NA,NA,NA,12733440,NA,13720576,NA,NA,NA,NA,112656384,NA,67530752,973632,NA,14109696,NA,NA,NA,NA,47513600,NA,NA,NA,NA,151355392,NA,NA,NA,NA,5349888,NA,NA,NA,NA,2027136,NA,NA,2773248,NA,NA,12162048,NA,NA,267872,NA,NA,12065792,NA,586496,4891904,NA,2024832,2810368,NA,1046528,NA,1175232,NA,18097152,5046528,NA,NA,NA,NA,155090944,NA,NA,NA,NA,4549888,76791808,NA,NA,NA,2629888,NA,NA,NA,NA,5916416,2339328,7799040,NA,NA,2432256,NA,NA,3058688,3393536,NA,NA,NA,NA,NA,38068224,NA,9417728,14045184,1802752,NA,59482112,3437824,NA,NA,1021056,NA,NA,NA,1155392,NA,NA,NA,1937792,265744,NA,NA,88576000,NA,664512,NA,969600,845056,NA,NA,NA,NA,NA,NA,1307456,522911744,NA,NA,NA,NA,NA,557504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391312,NA,476992,NA,303448064,778112,8603648,NA,10261504,6044672,NA,NA,NA,NA,18359296
"4A",15015936,NA,NA,NA,NA,NA,NA,NA,1145280,7684096,NA,69345280,NA,NA,NA,NA,32198656,11181056,16355328,3208960,NA,16125952,NA,NA,NA,4415488,5738240,NA,669696,NA,NA,177209344,NA,42209280,NA,28446720,3559680,NA,715968,7058176,1970880,NA,NA,NA,10057728,NA,NA,11301888,54034432,1109760,NA,NA,233376,20734976,2405632,1840896,158384128,NA,1744448,4370944,NA,7079168,NA,NA,NA,354172928,NA,NA,NA,1343232,NA,NA,NA,NA,NA,861696,233881600,36700160,NA,NA,NA,5721344,3261696,NA,NA,NA,NA,5416960,6302976,NA,NA,4011520,NA,3560704,7293440,7293440,3896576,NA,NA,3471104,NA,147111936,NA,51052544,16928768,5571584,NA,26482688,60387328,35598336,NA,3396608,NA,NA,NA,64372736,1383168,NA,NA,2227200,337632,NA,NA,43655168,NA,741632,NA,7571456,2736384,NA,NA,NA,NA,NA,NA,8266752,1501757440,646643712,NA,NA,NA,NA,3859968,NA,NA,NA,NA,NA,NA,NA,NA,502016,NA,NA,49864704,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300096,NA,173686784,NA,9071616,1557632,112009216,2222080,NA,1982016,NA,NA,6065920
"10A",2871296,NA,NA,NA,10544128,1749248,NA,NA,343472,8639488,NA,16670720,NA,844416,NA,NA,21519360,73027584,29168640,4926208,NA,20377600,NA,NA,NA,NA,6639360,NA,4418816,NA,2601472,NA,NA,111796224,NA,3304704,NA,NA,NA,4333056,3257600,NA,NA,NA,5258496,NA,4073216,9609216,62087168,2787328,NA,NA,NA,37027840,2947328,NA,130072576,2138368,5085696,10602496,NA,4839424,NA,1248512,NA,767426560,NA,NA,NA,NA,NA,NA,NA,2599680,5603584,NA,232226816,29024256,NA,NA,NA,3798016,NA,15757312,NA,NA,648675328,7058432,6256128,NA,NA,2311424,6564608,1410752,NA,1410752,NA,11049984,7096064,NA,4863488,NA,NA,15984640,10365952,7032320,4868352,44670976,10534912,NA,NA,NA,NA,NA,NA,7704576,NA,NA,NA,24564736,NA,5647360,1272768,60469248,NA,1051776,NA,5764608,1237568,128659456,NA,NA,904832,NA,NA,2415104,638713856,164659200,NA,5286144,799424,2130432,2152960,NA,NA,NA,NA,NA,NA,NA,NA,2251520,NA,NA,NA,894592,NA,1548288,NA,NA,NA,NA,NA,NA,604800,NA,237862912,NA,11786240,NA,33804288,1118656,NA,1112512,2590464,NA,3350016
"12A",NA,NA,NA,NA,6047488,NA,NA,NA,NA,15645696,NA,10303488,2073024,NA,NA,NA,34701312,18253824,14330880,3914496,NA,3258880,NA,NA,NA,NA,12698624,NA,1263104,NA,NA,17733632,NA,46403584,NA,1592896,8975360,2036736,NA,5506304,2847488,3360000,NA,NA,1408256,NA,NA,4294400,44068864,NA,NA,NA,565888,7365376,1696064,5547264,124506112,NA,3251712,2017152,NA,3017984,NA,1175232,NA,511279104,NA,NA,627584,NA,NA,218284032,NA,NA,2004032,NA,197656576,20739072,NA,NA,NA,2481920,NA,NA,NA,NA,378519552,15349760,8892416,NA,3086592,1853632,NA,NA,36737024,NA,NA,7790592,NA,53149696,NA,NA,NA,32567296,11333632,3014656,NA,156155904,97751040,NA,NA,2314752,NA,NA,NA,141901824,NA,NA,NA,13591552,NA,NA,NA,73154560,NA,14449664,NA,2069120,1154304,NA,NA,NA,NA,NA,1336512,2480896,1389756416,938213376,NA,NA,NA,1397632,2754816,NA,NA,606784,NA,2604032,4324864,NA,657216,2122240,NA,NA,NA,NA,NA,23205888,NA,NA,3457024,NA,2172160,615168,1192000,NA,1257373696,650816,9128960,756352,18074624,3502592,3097600,NA,NA,NA,4783616
"20A",9233408,693248,NA,NA,NA,NA,NA,660288,NA,15007744,NA,7942144,NA,NA,NA,NA,57692160,42098688,29331456,5158400,NA,5417216,NA,NA,NA,NA,15874048,NA,NA,NA,NA,4420352,NA,41000960,NA,NA,1048832,2138880,NA,7689728,NA,NA,NA,NA,1650048,NA,NA,6509312,29984768,NA,380528,NA,NA,11916288,NA,2255104,77750272,NA,3540480,NA,NA,NA,NA,2088448,NA,521076736,NA,NA,995520,NA,NA,NA,NA,NA,NA,NA,119324672,52563968,NA,NA,NA,2867456,NA,3241472,NA,NA,NA,4017152,9698304,NA,NA,2312448,NA,NA,6548992,6548992,NA,NA,NA,4378112,NA,NA,NA,28676096,12008448,5080576,NA,156499968,9384960,468156416,NA,9861120,NA,NA,NA,735296,1134592,NA,NA,9123840,780800,NA,NA,82657280,NA,2092672,1856704,3394560,NA,27587584,NA,NA,NA,NA,NA,4632576,981860352,NA,780800,NA,NA,10977280,NA,NA,NA,NA,NA,NA,19938304,NA,1091712,2352384,NA,NA,2207488,NA,NA,NA,NA,NA,NA,NA,605312,NA,3129600,NA,362741760,NA,9854976,NA,11240448,3032320,6182400,1181312,NA,NA,9185280
"21A",78725120,NA,NA,NA,5730560,NA,NA,NA,627584,18760704,NA,35221504,NA,NA,NA,NA,54673408,5227520,27205632,7126528,NA,6640384,NA,NA,NA,NA,101715968,NA,NA,NA,NA,65138688,NA,17463296,NA,2511360,68284416,NA,NA,11230208,NA,NA,NA,NA,1912448,NA,NA,29543424,NA,NA,NA,NA,375856,8367616,1655104,2464256,27173888,NA,1463872,1940224,NA,4523776,NA,NA,NA,76181504,NA,NA,2506240,NA,NA,NA,828288,1534848,NA,NA,31823872,68706304,NA,NA,NA,4719872,17361920,NA,NA,NA,42233856,32240640,5976320,NA,NA,11244544,NA,18050048,7936256,NA,NA,NA,NA,49414144,NA,25202688,NA,32155648,25047040,2349568,NA,237027328,58798080,NA,NA,24718336,NA,NA,NA,39895040,NA,NA,NA,NA,NA,NA,NA,47599616,NA,941184,NA,1692736,480480,NA,NA,NA,NA,NA,NA,4659712,1243021312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483296,1168448,NA,NA,359366656,NA,8706048,NA,34734080,3374080,4685056,1564416,NA,NA,9672704
"24A",99799040,3558912,NA,NA,16325632,NA,NA,NA,NA,21272576,11147264,NA,2542592,NA,NA,NA,64909312,33313792,32752640,2759936,NA,8001280,NA,NA,NA,15113216,32308224,NA,2871296,NA,NA,2401536,NA,45268992,NA,3252480,1589440,2644992,NA,5256704,5747200,NA,NA,NA,2374656,NA,NA,3734784,21821440,998528,NA,860928,NA,8840192,3367168,3845632,61956096,NA,6477056,3123712,NA,814912,NA,2149120,NA,517505024,NA,NA,1149632,2663168,NA,113692672,NA,NA,2577408,NA,88096768,113491968,NA,NA,NA,2103296,3481856,NA,NA,NA,186777600,NA,12033024,NA,1117312,6076672,NA,8634368,13570048,NA,3641344,3763968,NA,108507136,NA,NA,NA,42717184,27012096,2652416,NA,483573760,86978560,3523840,NA,NA,NA,NA,NA,NA,1562880,NA,NA,18207744,NA,NA,NA,100139008,NA,1110656,NA,2258944,1101056,NA,NA,NA,NA,NA,NA,3542784,588251136,NA,NA,NA,NA,NA,1336000,NA,NA,NA,NA,NA,NA,560896,NA,NA,NA,1258304,NA,NA,NA,NA,NA,NA,NA,NA,10010624,1096768,1476608,NA,75591680,723840,63782912,NA,9570304,356944,5012992,NA,1527232,NA,9626624
"28A",3844352,NA,NA,NA,NA,NA,NA,NA,NA,17077248,NA,21337088,3885568,NA,NA,738944,35463168,7058944,16084992,2136320,NA,15685632,NA,2190080,NA,NA,16324608,NA,NA,NA,NA,71376896,NA,23956480,NA,NA,5767936,NA,NA,4281088,NA,2722560,NA,NA,3595264,NA,NA,5793792,16584704,NA,NA,NA,NA,19741696,NA,NA,53362688,NA,2806016,8821760,1035712,1209472,NA,NA,NA,249511936,NA,NA,556352,NA,NA,67203072,NA,NA,NA,NA,73428992,2533632,NA,NA,2318592,2938880,3495168,2353920,NA,NA,204128256,9056256,5678336,NA,1714432,NA,NA,NA,NA,18763776,NA,NA,NA,27786240,NA,45043712,NA,12917760,7482624,3441664,NA,408649728,31920128,NA,NA,NA,NA,NA,NA,19224576,NA,NA,NA,9554944,884928,NA,NA,53575680,NA,1033856,NA,3377920,NA,28950528,NA,NA,NA,NA,NA,NA,1205796864,NA,NA,NA,NA,NA,1686976,852352,NA,NA,NA,NA,2398208,NA,NA,495072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673728,NA,NA,NA,400474112,NA,8379392,NA,22467584,5977344,NA,NA,NA,NA,4816896
"30A",19218432,NA,NA,NA,15516672,NA,NA,NA,NA,43024384,NA,34283520,2066368,NA,NA,NA,82210816,21172224,34762752,NA,NA,32656384,NA,NA,NA,NA,71798784,NA,2047680,NA,NA,85696512,NA,39022592,NA,NA,3497216,NA,NA,3010048,4132352,NA,NA,NA,11625472,NA,NA,11762688,13326336,973440,NA,NA,NA,32696320,3353088,NA,32065536,NA,1740800,7102720,NA,NA,NA,NA,NA,346161152,4105216,NA,NA,NA,2573056,297697280,NA,NA,NA,NA,50884608,47513600,NA,NA,NA,2411776,NA,2496768,2295552,NA,210534400,4399872,7606272,NA,NA,3907584,NA,16156672,26338304,NA,2404608,773760,1574144,12409856,NA,29201408,NA,7758336,6968832,1279360,NA,27731968,8145152,NA,NA,1802944,389024,NA,NA,1716544,NA,NA,NA,14038016,NA,NA,NA,67358720,NA,NA,NA,856832,441312,4839424,NA,NA,NA,NA,NA,2129408,873070592,NA,NA,NA,NA,NA,693632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808384,NA,NA,NA,NA,NA,NA,NA,NA,420064,NA,741568,NA,202571776,NA,34099200,NA,29441024,NA,3783168,761280,2467584,NA,9529344
"32A",4651008,NA,NA,NA,22829056,NA,NA,NA,NA,18672640,NA,28237824,NA,877696,NA,NA,46505984,29972480,21685248,1646400,NA,8222208,NA,NA,NA,NA,19385344,NA,1561728,NA,NA,3655936,NA,143753216,NA,NA,NA,9672704,NA,NA,3192832,3888640,NA,5445120,18910208,NA,NA,11986944,28184576,NA,NA,2447104,686208,16515072,5692416,NA,90005504,NA,3834624,3663360,NA,1651136,NA,1436608,NA,393904128,NA,NA,1264384,NA,2218240,NA,NA,NA,1976064,NA,125366272,104435712,NA,NA,NA,2774016,NA,NA,NA,NA,608829440,4606208,8174848,NA,NA,6674176,NA,878592,NA,805824,2365184,NA,NA,1746880,NA,3258624,NA,3681024,20788224,1709312,NA,2907392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3219968,44986368,NA,NA,NA,100552704,NA,1313152,NA,2352896,1233408,NA,NA,NA,NA,NA,1136320,4277504,2085552128,NA,NA,NA,NA,38842368,NA,NA,NA,NA,NA,NA,NA,NA,NA,3045376,1380352,657664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705280,NA,956235776,NA,13980672,1365568,10708992,NA,2028736,NA,NA,NA,6468864
"34A",3781120,NA,NA,NA,NA,NA,NA,NA,376560,9439232,NA,40361984,NA,NA,NA,NA,64229376,10827776,27631616,3284224,NA,20213760,NA,NA,NA,NA,33796096,NA,NA,NA,NA,24901632,NA,22240256,NA,3298560,5608704,NA,NA,5990400,NA,2242048,NA,NA,13630464,NA,NA,9168896,11651072,NA,NA,1309120,NA,8532992,2461696,963712,43945984,NA,5321216,2698240,NA,NA,NA,1988032,NA,213680128,NA,NA,1040512,NA,NA,27641856,NA,NA,NA,NA,69058560,69185536,NA,NA,NA,2167552,NA,NA,NA,NA,123846656,7256576,7798016,NA,NA,5057792,1402240,3194368,3769344,NA,1673472,NA,NA,NA,NA,11889664,NA,15068160,11518976,1673920,NA,5404416,5409792,NA,NA,930944,523904,NA,NA,3574016,NA,NA,NA,5900544,NA,NA,NA,84684800,NA,777792,NA,1424320,906240,NA,NA,NA,NA,NA,NA,2827264,1445265408,NA,NA,NA,NA,NA,1827584,NA,NA,NA,NA,NA,NA,NA,NA,439952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241860608,1189632,8911872,795520,55787520,11182080,NA,673792,NA,NA,7670784
"36A",841344,2868224,46751744,NA,81436672,4663808,NA,NA,2860800,NA,24563712,NA,1807104,5285632,NA,NA,12229632,90091520,37285888,7770368,NA,44277760,NA,NA,15927296,NA,NA,24873984,32152576,2702336,NA,27019264,NA,174784512,NA,NA,2557184,NA,NA,11119616,65835008,NA,NA,47247360,4809216,NA,70328320,NA,138543104,2944768,NA,NA,NA,NA,NA,NA,301989888,NA,3104256,2786816,NA,1411776,1241344,NA,NA,1356398592,NA,6830336,NA,NA,NA,NA,NA,NA,250871808,16811008,531677184,NA,174571520,8662016,NA,2529792,NA,NA,NA,8566784,NA,15003648,3057408,NA,NA,3407616,NA,NA,1523392,1683520,NA,793444352,NA,NA,NA,7809280,NA,39391232,8062464,4152576,NA,208568320,3756800,5931264,4961280,NA,NA,3698176,NA,3238656,NA,NA,NA,54124544,NA,NA,NA,40435712,NA,NA,NA,3079424,1335168,NA,NA,NA,NA,NA,NA,1640000,1457520640,419512320,NA,NA,NA,2310400,1308544,NA,NA,NA,NA,5316352,NA,NA,NA,327424,284832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,812974080,NA,34926592,2115584,12449792,347472,3056896,1039616,6316544,NA,2186240
"38A",13355008,NA,NA,NA,NA,NA,NA,NA,NA,10435584,NA,310165504,NA,NA,NA,NA,102432768,75927552,58236928,4666368,NA,55500800,NA,752768,NA,NA,46395392,NA,1063616,NA,NA,10171392,NA,61366272,NA,NA,9442304,NA,NA,7695872,NA,NA,NA,NA,24194048,NA,NA,6071040,76546048,NA,627648,1932800,327680,20901888,NA,1499584,155615232,NA,7377152,3362560,NA,NA,NA,3088128,NA,322568192,NA,NA,849408,6675456,NA,NA,473968,1368256,NA,NA,217235456,113987584,NA,NA,1529600,2728192,NA,NA,NA,NA,NA,NA,14555136,NA,NA,8078848,4555008,NA,6663936,6909184,3682816,NA,NA,NA,NA,3207680,NA,25011200,60256256,5949952,NA,26712064,16108544,36073472,NA,35708928,NA,NA,NA,19609600,2401024,NA,NA,3916288,NA,NA,NA,130220032,NA,3304960,NA,3687936,NA,NA,NA,NA,NA,NA,NA,8519680,2502688768,694288384,NA,NA,NA,NA,1403840,NA,NA,541760,NA,NA,3579392,NA,1783168,NA,NA,1290048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733760,NA,357777408,3693312,33402880,1674048,123953152,NA,2636288,NA,NA,NA,18174976
"40A",3929088,1437888,NA,NA,NA,NA,NA,NA,NA,8897536,NA,34918400,NA,NA,NA,NA,85475328,NA,37793792,4261376,NA,16489472,NA,NA,NA,NA,38748160,NA,NA,NA,NA,58392576,NA,NA,NA,1255232,4899840,NA,NA,5811968,NA,NA,764800,NA,5595904,NA,NA,9556992,NA,NA,NA,NA,NA,10743808,NA,564608,3586816,NA,1079104,2833408,NA,1519104,NA,763456,NA,6498048,2486016,NA,NA,NA,741696,33718272,NA,NA,NA,NA,4282112,27085824,NA,NA,NA,3331072,NA,NA,NA,NA,NA,NA,5530624,NA,NA,1420160,NA,2467840,5349376,NA,NA,NA,NA,1480256,679232,26840064,NA,20619264,19383296,1733568,NA,6977536,3474176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1854272,NA,NA,NA,62750720,NA,NA,NA,2211072,1063360,NA,NA,NA,NA,NA,NA,853056,826343424,NA,NA,NA,NA,NA,511776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561728,NA,251871232,NA,NA,NA,49504256,2139392,NA,1480128,NA,NA,11524096
"42A",30142464,NA,NA,NA,NA,NA,NA,NA,NA,6323968,NA,16756736,NA,NA,NA,NA,52211712,25269248,31979520,1709376,NA,17218560,4516352,894208,NA,4731136,7053568,NA,NA,NA,NA,131280896,NA,25613312,NA,NA,7005696,NA,NA,2204160,NA,NA,NA,NA,13103104,NA,NA,4777984,59486208,NA,NA,NA,NA,93798400,1992384,1551808,161202176,1793856,31075328,214712320,1139200,1163648,NA,2288896,NA,244269056,NA,NA,NA,NA,5169408,9985024,NA,NA,NA,NA,235634688,23377920,NA,NA,NA,3694080,7851264,NA,NA,NA,NA,11373568,10148864,NA,2753280,1725632,NA,NA,26140672,7580160,NA,NA,738368,27318272,NA,29636608,NA,38117376,12255232,5105152,NA,127275008,30869504,422477824,NA,12777472,2238976,NA,NA,6877184,NA,NA,NA,6412288,993344,NA,NA,99016704,700608,1145472,NA,3713024,782528,78733312,NA,NA,NA,1393408,NA,3373568,2505310208,1107623936,NA,NA,NA,NA,4795648,3105280,NA,NA,NA,NA,NA,579968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1622528,NA,1297024,NA,472727552,NA,9172992,759296,37875712,26873856,NA,1780864,NA,NA,9648128
"46A",1412864,NA,NA,NA,13451264,861184,NA,NA,NA,6121216,NA,37335040,1453312,NA,NA,NA,43724800,14333952,18783232,2352128,NA,19899392,NA,NA,NA,6456064,5762048,3247616,1291328,NA,NA,5585920,NA,41504768,NA,2610176,6304000,NA,NA,3812096,2038720,2962432,NA,NA,64286720,NA,NA,8642560,35639296,1857728,NA,3927296,NA,95621120,5795584,NA,104484864,NA,12678144,46485504,NA,2992128,NA,5300480,NA,251609088,NA,NA,NA,NA,NA,NA,NA,1348672,1737344,1356160,164052992,74747904,NA,NA,NA,3546368,NA,3859712,NA,NA,629080064,45789184,6243328,NA,NA,2720768,NA,3192064,2967040,NA,6170112,2196992,NA,589248,NA,NA,NA,12857344,18289664,5391104,3026688,3556864,34217984,NA,3885056,NA,NA,NA,NA,80850944,1039808,NA,NA,20454400,1839232,3284224,NA,61972480,NA,858368,NA,4480512,985472,34095104,1199232,1132416,NA,NA,NA,2324224,1406468096,856752128,NA,NA,NA,NA,2204160,NA,NA,NA,16208896,NA,NA,NA,NA,NA,NA,NA,NA,1205888,924032,NA,NA,NA,NA,NA,NA,NA,NA,NA,990707712,NA,8807424,NA,19931136,2159616,3917312,NA,NA,NA,6741248
"48A",NA,NA,NA,NA,5683200,NA,NA,NA,294688,9176064,NA,9670656,3718912,NA,NA,NA,74305536,15582208,40980480,2845440,NA,3023104,NA,NA,NA,NA,12946432,NA,NA,NA,NA,7957504,NA,36732928,311920,1284928,932928,NA,NA,3604224,1907776,1907776,NA,NA,1817088,NA,NA,6924032,32372736,NA,1021888,NA,874624,9222144,2226944,1403712,94179328,NA,8773632,NA,NA,1265472,NA,1447872,NA,322355200,NA,NA,334400,NA,1576192,95797248,NA,NA,499264,NA,140623872,36265984,NA,NA,NA,2606080,2147840,NA,NA,NA,235651072,16009216,11166720,NA,NA,NA,NA,32406528,9665536,NA,2220032,793920,NA,12922880,NA,NA,NA,14905344,33089536,2807552,NA,56385536,19813376,3767552,NA,NA,NA,NA,NA,11724800,973824,NA,NA,13037568,1323648,NA,NA,89071616,NA,741568,NA,2347264,806208,NA,NA,NA,NA,NA,NA,1866176,1442775040,632225792,NA,NA,615040,NA,2882048,NA,NA,NA,NA,NA,10050560,NA,NA,822528,NA,NA,NA,NA,NA,NA,NA,NA,748288,NA,715136,672768,1091328,NA,1042874368,NA,8748032,592320,10263552,NA,NA,1334976,NA,NA,11377664
