"sample_id",".epsilon.-Caprolactam","(+)-.alpha.-Tocopherol","(+/-)-Tryptophan","(2S)-2-hydroxypentanedioic acid","(N(1) + N(8))-acetylspermidine","(S)-3-Hydroxybutyric acid","1-monoheptadecanoyl glyceride NIST","1-monoolein","1-monopalmitin","1-monostearin","1,2-anhydro-myo-inositol NIST","1,3-Dihydroxyacetone","1,3-propanediol","1,6-ANHYDRO-B-GLUCOSE","2-(1H-indol-3-yl)acetic acid","2-deoxypentitol NIST","2-deoxytetronic acid","2-deoxytetronic acid NIST","2-hydroxybutanoic acid","2-Hydroxycaproic acid","2-Hydroxypentanoate","2-hydroxypyrazinyl-2-propenoic acid ethyl ester NIST","2-ketoisocaproic acid","2-monoolein","2-monopalmitin","2-Oxoglutarate","2-Phenylethylamine","2-picolinic acid","2-pyrrolidinone","2,3-butanediol","2,3-dihydroxybutanoic acid NIST","28.55_Phenol","29.90_1-phenylethanone","3-Aminoisobutanoic acid","3-hydroxy-3-methyl-Glutaric acid","3-hydroxypropionic acid","3-Phenyllactate","3,4-Dihydroxybenzeneacetic acid","4-aminobutyric acid","4-hydroxy-benzoate","4-Hydroxymandelate","4-hydroxyphenylacetic acid","4-Imidazoleacrylic acid","4-pyridoxate","5-alpha-cholestanol","5-Aminopentanoate","5-HYDROXYMETHYL-2-FURANCARBOXYLIC ACID","5,6-dihydrouracil","5'-adenylic acid","6-hydroxynicotinate","7-methylguanine","9Z,12Z-Linoleic acid","AA","acetyl-galactosamine","aconitate [cis or trans]","adenine","adenosine","adipate","Ala","ala-ala","allantoate","alloxanoic acid NIST","alpha-D-Glucose","alpha-glycerophosphate","aminomalonate","arabitol/xylitol","arabonate/xylonate","arachidate","Asp","azelaic acid","behenate (22:0)*","benzoate","beta-Ala","beta-gentiobiose","beta-mannosylglycerate","beta-Pseudouridine","CA","caffeine","caprate","CDCA","cellobiose","cerotinic aci","cholesterol","Citramalate","citrate","citrate/isocitrate","conduritol-beta-epoxide","creatinine","Cys","cystine","cytosin","D-(-)-Fructose","D-(-)-Mannitol","D-(-)-Ribose","D-(+)-Maltose","D-(+)-Mannose","D-(+)-Raffinose.1","D-Glucarate","D-Gluconic acid","D-gluconolactone","D-Glucose 6-phosphate","D-lyxose","D-sorbitol","D-threitol","D-trehalose","D-xylose","D-xylulose","D-<U+03B4>-Tocopherol","DHA","digalactosylglycerol*","Digalacturonate","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-methionine-sulfoxide","DL-Ornithine","Dl-Proline","dodecanoate","dodecanol","elaidic acid","erythritol","erythronate/threonate","erythronic acid lactone","erythrose","ethanolamine","Ethanolamine phosphate","FA 18:1","FFA C14:0","FFA C18:0","FFA C19:0","FFA C24:0","fucose","fumarate","fumarate/maleate","galactinol","galacturonate","gamma-tocopherol/beta-tocopherol","Gln","Glutarate","Gly","glycerate","glycolate","guanosine","heptadecanoic acid","hexadecylglycerol NIST","hexaric acid","hexuronic acid1","His","homocystine","homoserine","hydroxycarbamate NIST","hydroxylamine","hydroxyproline","I(-)","indole-3-lactate","inosine","inositol-4-monophosphate","isoheptadecanoic acid NIST","isohexonic acid","L-(-)-Phenylalanine.1","L-lactic acid","L-malic acid","L-serine","L-threonine","L-tyrosine","L-valine","lactitol","lactobionic acid","lyxitol","maleimide","malonate","maltotriose","methyl O-D-galactopyranoside","methyltetrahydrophenanthrenone1 NIST","monomyristin","N-.alpha.-Acetyl-L-ornithine","N-Acetyaspartic acid","n-acetyl-d-hexosamine","N-acetyl-D-mannosamine","N-Acetyl-DL-glutamic acid","N-acetylputrescine","N-methylalanine","niacin","niacinamide","O-acetylserine","orotate","oxalate","palatinitol","palmitic acid","Parabanic acid","pentadecanoic acid","phenylacetic acid","phytol","pipecolinic acid","putrescine","pyrophosphate","pyrrole-2-carboxylic acid","pyruvate","ribonate","sebacic acid, di(2-octyl) ester NIST","shikimate","squalene","stigmasterol","succinate","sulfate","Syringate","tagatose","tartarate","taurine","threonic acid","thymidine","thymine","tyramine","tyrosol","UDP-glucuronate","uracil","urate","urea","uridine","xanthine","xanthosine","xylonolactone NIST","zymosterol"
"WANDRO_10",265,7290,46321,391,769,627,5547,1287746,1473683,83759,2058,1362,388,32057,179,1438,1201,1022,39396,2738,2748,786,868,65079,157825,440,147,460,813,8460,372,1176,9497,73,296,932,574,155,1738,264,259,968,375,492,4231,170,1075,123,344,5134,1141,87530,308761,1631,225,2488,1382,692,25094,524,813,20509,136178,875,201,1495,7576,219783,6627,794,146021,2982,56,165701,2130,13647,9894,33746,12336,14489,151461,4569,2331789,151,4952,518,939,566,66,5485,107,42291,66175,91914,3108,218164,6923,44821,18328,28754,130,2661,11772,3849,8018,20256,4274,1743,136560,50778,21476,3491,40792,132,15263,5893,321,1166205,874,6157175,7623,1881,134,490,13390,95,2028665,4830954,6615524,18868,37870,846561,732,151,25948,8330,9918,225,199,42548,2403,3392,1724,165512,62620,896,2130348,3681,8449,77,584,131507,5676,10183,160,1083,288,46263,52638,9322,14321,155,69210,21275,41515,3533,4954,713723,15084,136,283,10094,12880,2038,131526,459,7557,2147,322,3035,6758,2546,239,591,74,624,1217,10802,2616119,1782,118268,124,526,151,60733,853,134,2192,7557,5114,2083,16487,3896,2134,2577852,10423,437369,151,255,3114,11937,9233,204893,276,9315,6280,77484,206759,5389,791,1079,2735,50527
"WANDRO_11",334,934,45329,233,1607,2812,11813,2041726,1721300,231718,1022,1750,403,21060,133,1268,820,861,1780,309,1890,642,630,139229,367127,411,536,453,718,2857,225,1000,6422,80,321,645,263,216,827,238,319,649,148,495,2999,272,1178,104,372,5578,851,758314,257788,4103,139,2646,2954,968,24754,579,185,2379,86376,345,132,2020,7498,169966,8083,684,114694,3080,106,164313,11407,11223,1290,35242,30221,990,270897,2002,1691033,297,2290,118,759,1299,83,4963,88,319,189683,283590,3096,476528,6601,57827,16418,33453,155,13253,12031,4048,88201,14971,9295,699,107778,54825,802,2682,7203,193,22941,1701,325,3813377,841,1645294,9520,2690,137,420,9317,133,2008199,6908714,6222740,18389,23608,832991,733,85,20593,17277,655,118,213,5611,3750,2653,3226,221733,31387,1127,1707100,349,29529,103,642,136731,4283,7142,208,1108,296,67258,49944,6730,5049,235,9736,4822,23715,1284,5034,371147,13884,690,251,8444,8703,3175,566498,71,15512,4399,175,2135,6614,2429,492,919,85,613,928,3245,1469661,1358,178118,168,1966,166,23884,549,675,1265,7201,5329,4041,7571,1217,1654,3101590,15113,4685,144,51,4181,35351,17547,6989,171,9341,20065,5994,267441,9773,1111,1919,2219,14647
"WANDRO_12",1700,10379,111178,1377,10702,10829,1645,78358,58348,30365,18105,4247,838,12803,1367,2863,2682,4281,126769,903,8566,2208,2554,19389,23351,467,282,1023,1593,5301,1566,2723,4254,312,779,2530,694,1075,13226,594,1336,1006,1847,2208,37696,395,6352,319,1339,295,3344,50434,92782,14520,1435,3087,2843,2012,750113,8855,1226,666,946852,10317,1421,5013,8388,29528,198243,656,77451,10966,457,892762,1847,29476,14225,89582,2506,3186,233893,1871,6722425,621,85235,3585,4034,71034,862,17995,639,1428,322640,50760,16882,76923,6335,273209,5102735,367553,477,48484,39773,5892,9174,119964,5576,1806,15996,11059,30510,134673,32429,2637,17425,8958,22582,58173,1906,1007010,22990,8481,336,1154,71144,876,126350,193151,1835913,11258,4999,463593,11179,498,48003,32109,2791,1016,512,495726,8700,9748,755,35807,9579,1840,9724347,4985,3399,209,6451,433519,49102,177526,797,15907,446,7035,324346,110780,72013,3595,322777,253841,345654,317119,3320,886984,32837,443,975,8154,5871,5298,2342,1082,3677,3427,1524,14970,3396,25308,621,1854,330,1250,2582,19423,334547,3530,28875,470,711,611,7725,2616,515,975,8357,13888,1923,9184,32600,13050,2695670,230493,2294,1009,5943,27574,41781,34345,28920,522,2493,16529,100867,677139,1154,786,1579,11876,44844
"WANDRO_13",747,97784,43187,6822,761,2788,13140,1544007,1221809,133704,4049,2701,18575,1446,5306,486,1723,1014,16493,21384,2237,497,701,411858,1371442,84,11733,236,561010,28511,225,553,13953,45,413,4558,17647,207,103932,951,193,2513,455,385,1332,1102000,810,650,277,184,688,443300,380709,21021,387,3122,864,902,242006,9188,322,22464,218430,1286,524,8153,1750,242631,46172,774,143725,1631,478,12594,2623,15900,699,19175,135495,1351,8358,880,994545,578,96,39,377,1838,2979,6504,343,1111,2639,89039,1032,210288,165,102,681,4841,45,5078,4232,11234,8118,12318,1648,3531,207394,16455,368,32064,52697,30624,11993,23942,4895,5016718,441,2766773,7140,5167,723,435,34912,549,1530913,7030589,3247233,18909,14991,3772341,982,147,5366,1094,11887,274,446,80849,22270,21663,2967,129140,14850,262,8332,99318,3471,1217,1724,21796,9428,105606,20539,2893,782,63103,102,151354,20243,3396,29856,32503,46794,67839,1483,5828,4240,399,48,295,9090,2842,626906,636,18674,538,6979,2941,27833,4518,14693,1259,129,3011,757,750,1848886,650,252886,13337,2764,338,592778,687,65,102,21863,2934,1422,11310,575,39507,69,40789,5577,71,1548,4346,1323,8111,1166960,6471,46082,18751,8319,13450,1238,11240,242,874,11700
"WANDRO_14",1424,238163,43894,34357,333,2676,2226,514248,941736,25169,803,3209,195,765,516,785,686,941,4338,8276,1368,877,694,45321,104177,12110,310322,186,609,16315,106,790,17966,89,156,947,6888,1656,19545,310,196,12854,789,111,2023,1268,155,975,629,2100,285,786453,604779,629,3188,691,500,696,231565,30568,104,60772,3740,1064,389,230,5660,267290,16025,864,103510,3494,452,8287,717,3761,859,14348,24923,813,14450,1020,1229564,125,5066,128,93,25888,800,4092,103,128,1214,9556,2048,1464,12816,77,112,149,74,452,2621,5125,1825,7129,1255,5655,125783,605,973,280898,39392,10260,3850,19769,58019,4544928,892,3315001,5997,718,82,180,13802,39,1908989,6866713,4862947,20364,14195,5709,20098,202,3006,100,17213,2530,183,24067,4760,1320,652,137311,55679,305,2866,75756,5081,671,5472,67291,11808,158746,1317,829,3591,65006,77,70068,4581,31165,3730,4868,17083,411957,493,7245,6054,857,129,5341,9622,6462,54664,1338,15278,250,147,665,3663,12903,5415,562,311,709,115,1428,2250438,1238,207878,584,1865,342,4944165,3696,126,5929,7480,3860,895,30323,1171,209133,927,12436,18672,66,1254,1413,301,4779,2502472,1946,707,6471,1710,200387,597,1310,129,402,45933
"WANDRO_15",1086,435640,129058,5308,3604,1978,11078,2937930,1969657,104897,950,1452,1909,2579,1091,916,1077,1364,18512,48069,1754,893,3937,194182,356485,220,387512,536,1228,445123,250,852,10080,48,268,5645,9708,403,126729,427,239,8320,717,207,4008,2202,351,131,478,231,407,752607,209284,844,993,1476,925,993,788827,37176,504,29383,38713,1039,1088,8459,39293,207538,20678,1008,104946,4025,1193,5713,2824,5742,1213,30732,47034,5983,68863,572,1345758,159,3110,172,298,39711,5491,19452,191,290,35478,15642,11543,2976,18754,673,1055,357,486,5931,10479,11760,10324,68320,93111,11336,161214,14691,2442,1471339,917981,62492,10354,15450,580663,1527949,699,1849751,12779,3930,378,273,161779,103,1623600,6404688,2852085,72407,14916,71480,1211,600,2760,898,36382,14342,260,82194,24543,3803,2872,115512,36889,350,65209,151547,4569,697,2681,28363,8808,805639,14524,6155,923,44516,483,164817,15892,692,14125,16346,32919,1064396,6651,48670,20555,1738,186,12031,7719,3301,217146,6035,12992,787,202,848,1141,100050,6766,4652,164,473,1017,2621,2470533,1041,131192,651,7080,764,1496896,2463,117,5811,41565,4085,1370,16666,2350,10070,3732,16779,5022,107,2280,4223,723,4876,2819892,7818,9808,4924,658,278676,1223,1344,241,1002,24469
"WANDRO_16",2613,26508,44032,174691,1699,14343,19915,3336991,926315,258337,4415,1110,793,2120,66044,998,1727,1077,1555,18573,1163,416,351,222104,1896418,6758,2890,404,889,5175,345,579,16604,32,524,9378,3423,2328,1394,1316,149,11812,377,199,1721,1685890,55,215,480,140,280,468287,233636,10732,314,2203,726,576,151606,15840,93,137457,257656,973,327,2223,879,237633,24711,571,74512,1809,6626,8660,4122,8018,1656,16784,28848,491,147886,688,809416,613,615,446,761,2332,983,4256,1454,721,4119,48043,3918,218532,7985,83,274,3239,48,3795,2788,8197,10297,10965,2560,2378,77206,17772,212,47916,27581,11463,7381,156072,9766,4563900,763,2780509,13059,4484,212,90,66631,95,1675159,4676937,7108711,33770,13825,1695801,1876,68,3084,322,8108,5559,541,21040,14657,4666,3231,142344,19353,200,4943,6831,2638,905,4691,47077,4605,21843,6273,4676,2357,81010,83,28276,3270,3552,9572,12449,27615,43196,2993,7220,3836,1704,109,345,6094,2182,548545,1870,19152,645,1911,1047,18301,35755,14434,1107,231,1985,103,1817,2098998,4039,307998,7144,2140,996,423177,1588,140,760,21905,3482,989,6554,873,189247,1878,8667,9471,151,7127,2684,2633,10967,552918,1906,16677,26545,2496,78816,3237,4414,342,1302,33201
"WANDRO_17",1834,6638,72290,183754,2480,10017,17777,2495702,1091877,165782,4753,1476,1249,3224,72940,1460,2019,1158,2867,16410,2441,876,761,216738,1117135,2426,5514,556,1597,5277,424,886,22571,158,583,11837,3253,343,4372,1389,237,7555,448,284,2828,1763461,116,246,441,194,442,698197,293707,15148,282,1683,664,1249,165054,13594,242,71620,272463,663,471,1753,1351,282188,40873,1747,92279,2675,8465,11230,6094,17518,11483,20372,49402,4298,94282,1268,1351567,648,1152,847,701,8688,1051,5955,320,2293,4161,68996,1865,192357,4019,191,268,2469,82,1688,4969,8993,8192,9478,2930,787,93498,19098,397,94075,40955,2793,35165,415375,25843,5991060,988,4607209,15301,5389,99,121,37968,205,2434993,5861435,2757822,5476,18262,338527,1923,150,3107,514,1376,10771,990,12580,16707,4763,3570,212081,32080,289,6566,16160,2845,981,574,5629,37185,50199,11449,8646,1868,135110,191,41036,6144,3278,14493,11947,28088,89367,1639,7364,1889,2208,157,865,8663,3019,718773,1539,31020,490,2666,2460,2710,46520,20235,2440,310,2080,283,1241,2374517,4777,411665,7164,2935,1356,110969,1499,264,285,26229,5572,2067,14552,1680,209957,2424,11171,11396,215,15918,3134,3007,13471,666864,1753,4164,32000,2954,173452,2162,7706,361,5796,45299
"WANDRO_18",403,357560,48640,10158,525,3806,1855,172579,226000,22582,1156,2068,3687,3651,1257,1554,982,843,10677,23123,1952,1103,2653,32145,53518,165,14645,553,1460,11235,660,1586,9591,81,233,2687,8465,485,5718,595,650,6888,2130,679,6804,804,1695,234,349,2418,2394,935160,373454,987,406,552,453,879,201490,1732,199,143588,15699,1145,144,1083,10780,494813,32505,519,232785,5351,169,18471,1568,7096,1639,31549,5353,5367,92142,4362,2568594,179,7022,341,193,73817,470,4238,154,256,607,23410,7513,39294,13669,491,411,534,128,2320,11398,7530,3120,27745,5373,5581,74389,898,1105,468623,15441,1461,15321,184855,20498,685908,965,1107119,7906,2955,86,280,4328,310,6530402,8324806,9487383,29562,45980,13812,7207,213,7666,1475,27395,1132,355,84510,11161,2126,375,304183,63387,402,19364,7426,961,338,2353,234585,16917,342237,1598,1146,1993,78587,491,147184,9918,5538,9824,16979,8382,632230,788,17368,5765,1678,243,1762,2587,2339,48820,635,6353,482,430,9561,186,32403,6623,451,249,800,885,1320,3160829,831,188772,2598,1936,169,74772,770,137,574,10148,5655,893,12593,3310,57021,38987,6242,3607,200,2809,4456,193,2354,354951,106320,972,7003,8394,4868,695,168,334,1055,35721
"WANDRO_19",1932,7466,34566,14478,470,5358,3056,913927,954547,36480,3843,4979,6418,618,642,964,1119,2472,63177,32895,2090,663,5175,61085,132435,568,238591,481,64045,3663,711,1279,13440,413,496,3840,19027,127,997113,570,260,7827,126,353,2100,1164,757,1512,374,240,663,228452,159379,19721,635,3846,1115,832,1048073,49383,201,23335,230175,1012,2584,8410,7976,124095,60311,814,39412,1858,345,7567,1216,21302,1215,17061,13944,3002,12116,212,1256305,233,1228,82,345,37339,1908,2539,1090,1039,5124,40721,2520,211486,179,955,1981,2459,50,1054,7726,40693,2125,18024,2404,532,70752,8744,2719,2193133,108327,72941,25713,687100,689235,3399950,508,1112855,13470,12868,127,227,17600,315,1300397,4810441,6843853,15139,6925,341575,4911,836,6607,1032,516,9635,204,165267,14034,1646,1145,99438,22580,257,11013,533242,3824,508,1933,32545,25168,590179,6936,3168,1230,31898,1122,481560,85367,7792,18180,28844,40504,1469216,325,5939,14784,2098,123,194,8496,1869,69119,2225,16098,730,1626,972,3674,57091,7236,2870,818,1205,3108,843,1212355,1670,147107,7893,1840,7595,1043830,3807,179,8805,8939,2970,1785,6866,1119,1235336,3959,27109,16438,39,11913,5759,1125,4194,2616144,7414,4019,11640,1891,362288,1468,4653,171,355,18685
"WANDRO_20",1618,110271,26506,30364,26463,690,5412,1014126,519131,42644,657,4435,263,667,551,1084,844,611,4255,16716,924,585,208,79574,310412,5741,471656,397,852,18718,118,571,11355,44,251,1315,13309,18708,8774,573,290,18778,351,163,1315,2345,113,793,480,3329,231,521086,582054,1403,4626,275,423,582,63033,22694,66,24599,11573,1002,193,287,4149,406322,22782,1009,130319,2991,817,1626,7841,1150,628,16412,36753,676,19645,1141,1031336,109,9506,232,87,7320,1648,3708,103,218,1007,9980,1517,10352,6228,68,200,175,75,355,2368,4254,9583,7553,2421,3778,74522,2030,494,215649,29054,6079,42707,11897,16649,5287537,748,2205647,6287,956,128,223,18127,378,1842000,6118758,3849593,24857,15740,4774,12379,514,7072,107,11368,4078,194,14803,5189,685,1011,205653,46898,216,9919,82364,4677,966,5301,75785,8927,109945,898,1616,3165,88908,68,79347,258,19936,5508,2808,8800,272657,607,11850,9066,871,159,10278,11809,8807,189981,2636,23500,287,220,375,1758,7155,3870,1522,489,247,216,1091,2529715,1347,345289,1384,1011,987,6335332,1566,205,4050,5124,3346,1038,11593,711,739417,150,4967,24796,68,3413,1644,158,4161,2430087,295,10324,3747,993,349075,686,664,267,4971,52121
"WANDRO_21",68854,15634,26593,22464,3245,19059,2214,332913,38710,24332,9423,147976,20675,3425,1955,12342,3751,5054,274107,8665,29446,4695,7608,32392,37047,6776,1549,3205,9895,214490,918,6052,6796,1756,2500,7561,4901,1097,2407,15534,2780,5387,2341,2135,8332,2800,6796,1270,1343,761268,9496,113004,191521,5287,758,1835,4728,4123,463420,5034,1057,2494,106407,7827,2720,21386,55953,108076,136186,1150,197040,22231,1556,136818,38191,11312,3292,119660,5134,5480,268042,2534,2151561,9669,4342,559,2826,177622,9463,212076,5160,1822,7641,281795,24113,6743,31361,496517,11312,2653,605,49137,18374,48698,32419,90919,21825,4229,18494,5749441,7488,69839,28695,9436,10447,11631,11524,119215,3012,153469,90806,35890,931,2700,489668,2301,349944,489355,5004599,28462,13327,516593,23381,565,39468,14231,4090,1264,858,199221,21466,12562,732,103375,35352,4043,40299,3298,7096,652,6663,965909,82700,217402,5393,8758,1490,18075,579303,107524,163564,22271,162427,95281,276900,134576,5533,40425,19465,4575,1530,34906,9563,12828,6451,725,10028,2766,4323,10068,4136,30996,7355,3338,499,5958,16984,6058,820945,14025,46889,3205,2281,898,99092,11990,5280,24412,30590,25556,5347,8771,2587,39907,6618997,164162,178806,1902,3977,19797,62637,26301,29007,3372,13154,88213,12835,6582701,2347,25855,3172,5134,19411
"WANDRO_22",1170,437176,81330,5595,1071,7654,633,77636,27712,10814,1794,2776,3311,1863,837,1109,1876,1422,10976,23567,2536,1218,3415,14558,7179,924,49104,455,2577,7320,263,1790,3665,155,281,17206,20094,259,2793,376,201,8654,486,401,4995,5448,268,296,1136,725,769,833915,152231,2238,1572,4104,704,1036,437407,67530,224,25500,160604,492,328,15240,11194,103088,127450,792,37005,7536,1327,3203,945,1882,2381,6905,7708,1574,27803,919,2928859,415,807,175,378,43062,6864,2478,224,1129,9848,47925,4233,335785,38110,1682,17018,3611,179,6344,1919,12066,109475,60201,7493,7989,42248,1487,876,479627,71126,10022,6281,53456,219154,396757,1230,9266707,1030,6074,298,585,9802,151,1892178,1830231,10205042,10821,8444,14037,24897,378,8181,1045,27226,10374,3259,46215,24927,3771,669,138005,53617,574,8149,18299,11706,1738,26585,248003,3594,263286,62770,4630,4645,40942,1496,133723,52029,26687,13068,10637,87259,790679,613,4924,6385,218,326,514,8209,4131,5979,2437,58655,986,622,2998,3682,30147,26939,1584,328,2949,272,6387,2379173,3326,57058,1230,4190,3996,2215750,8550,738,9699,7827,8609,1569,12393,1673,141710,3909,68652,17983,153,3825,7149,587,3041,1031220,3350,3123,19794,78143,243052,555,6027,423,591,57196
"WANDRO_23",2881,201268,40144,2324,506,3275,15169,1447253,31108,76213,4569,2000,18326,2377,719,994,2646,5131,21709,41498,8798,713,1913,314713,3094608,111,87391,515,32428,14825,969,1191,11715,9774,660,2236,3493,190,602520,504,430,2946,886,396,1672,4906,98,1175,977,163,431,523694,374479,18313,524,5528,2920,1394,393741,10258,144,3741,249902,3531,1394,3855,3969,223363,6729,1061,61388,1949,1716,12365,4983,9757,902,11240,35055,2130,238291,582,1133584,602,180,44,365,4358,1740,8441,969,591,7385,17167,21485,5354,7889,133,217,3401,64,753,4170,7507,14746,10187,6139,6925,125882,68780,669,388352,84499,14408,33358,31168,223925,5165526,728,2505454,16231,15602,448,820,131081,2855,1789307,5514408,4001642,28943,12585,961074,1957,241,5971,592,20385,2009,215,74728,22413,1837,1803,204405,37621,224,26777,133591,2176,394,4602,79235,42417,271535,545,5856,2467,140057,133,240084,65937,2493,34734,56649,12640,346540,2319,18000,18135,2437,83,239,6935,3815,284076,2113,16448,902,6182,601,9409,18254,3741,4413,1588,1021,1042,1638,361591,4997,329761,10585,5269,532,876209,4727,1620,436,4790,4006,2509,17633,423,2260384,141,3363,11321,112,2180,15424,291,5215,2126988,667,5433,7657,25803,696734,1711,14058,681,809,44845
"WANDRO_24",2655,104729,37661,2641,18152,3685,14983,1551086,1068734,74573,3263,1176,67399,1183,234,135,562,563,13950,48017,390,540,1685,176462,2107914,102,108636,154,37184,49660,114,880,13305,226,55,1962,4069,103,651545,284,63,174,2239,166,1132,2243,131,5611,1033,102,183,350829,336868,5209,893,4245,1161,498,571875,13043,72,6057,178562,3185,972,1841,6224,320140,4758,402,105086,1732,860,5379,7840,1028,1718,8092,58214,3904,60963,1033,850782,679,239,38,367,10473,1883,6480,959,328,5061,12403,20136,1277,2337,57,160,1282,49,2805,2298,4057,9434,6237,1684,4200,120141,24677,82,405562,175273,3828,61426,52894,352304,4995938,429,3438027,5715,5250,204,285,49531,2006,1680422,4297582,3794799,40732,16250,311095,1491,493,2481,483,12348,1051,130,54719,13460,1196,1658,278659,24034,240,12335,188975,1532,698,4140,58338,5389,206988,406,3192,3155,153723,57,177988,30110,4630,12399,10455,4531,457628,923,4990,4005,1047,110,1001,7020,2885,330617,1745,14013,521,1571,298,3274,23892,3149,809,2190,326,686,549,2351224,1142,479415,500,3710,737,1342416,3001,498,109,4680,3320,1153,16123,515,1860493,115,1321,12844,72,3153,4170,390,5972,2388214,1190,4647,7769,11907,84367,1257,9983,640,5019,36824
"WANDRO_25",2465,334590,38867,5310,882,5429,2122,212424,637426,15316,4415,1935,52776,2989,1812,3155,4597,2174,32923,50984,6278,743,2773,37659,140006,102,946663,1384,31413,65484,885,1406,16296,11387,1735,8926,7051,727,572341,3770,613,2899,1051,611,1327,453,103,5408,1854,250,710,486305,1118358,15061,320,6047,1162,1830,903391,12955,108,9601,274185,2499,1620,5285,6136,1024658,10664,672,232941,4655,2960,2309,703,1766,2900,17556,141782,2547,4774,5150,981204,320,222,183,437,14983,2024,11396,934,332,1642,58931,5681,149123,296,70,137,2294,105,6188,2983,17355,3421,7219,5361,8310,165620,13966,223,1846625,37505,44345,78629,51803,657242,4790288,690,1023566,26550,27475,111,196,26674,5497,1470236,4876377,3540857,123665,60971,272596,1490,764,1437,527,26579,1857,339,78637,21092,2181,745,312494,88813,182,25030,110246,2713,1254,6222,74019,100925,480984,1130,3932,14267,148742,70,225109,51351,3807,38708,13782,5849,868297,343,2335,16297,1409,195,199,3681,4636,75955,8836,23302,975,3206,670,3656,62332,6650,6561,1079,1894,1730,1050,2400740,3542,443027,1927,4464,1617,421042,2173,6798,324,7157,2949,1312,23636,581,1454838,537,1634,6801,100,17345,9410,475,6336,3363951,1793,1646,16935,42397,553195,4471,13050,553,2749,41134
"WANDRO_26",1269,228259,49793,3042,1043,2324,3262,422802,376179,22890,4676,4136,19126,9922,837,883,2228,1089,34238,56739,12692,657,2038,65508,299106,68,210050,353,198113,29194,321,1309,14744,4279,499,5055,3855,239,821946,593,192,778,993,468,894,788,112,16604,433,214,421,18272,445762,260430,900,12497,729,733,817350,7548,2313,3061,563973,3696,1063,3374,6476,334864,9356,579,114935,2158,1300,7425,5873,7374,1242,14355,54086,488,53899,2634,673782,1100,131,105,262,2355,10706,56920,1163,262,28183,113988,6627,18684,1731,80,169,26220,170,1617,3335,6612,2934,16468,8841,6203,126450,91577,389,623427,67257,73934,75947,39192,224714,4252594,603,2074474,9901,10509,304,1072,86077,2139,1426894,5211743,3059842,52161,30722,2989661,1392,303,3333,529,16838,1214,204,164044,18215,1195,562,202941,41559,193,40142,236547,1125,1431,2246,23908,25416,795161,557,3423,3737,115718,80,469970,136471,2802,265332,198442,5655,533532,720,6715,10833,476,106,199,12559,4261,106441,20795,21314,1173,99051,1548,25861,10784,5356,2500,44666,874,1665,1660,528688,3399,342114,901,2750,222,1436248,1975,2451,332,6189,3058,1312,16591,508,2053391,53,969,1905,76,2760,4660,376,6995,3964651,1672,5509,9454,9798,423547,1142,33837,1143,1458,29962
"WANDRO_27",977,83676,124743,5859,42322,4599,4356,799342,667271,28928,1660,3288,25507,12589,433,436,668,474,52992,50000,948,432,12618,53449,295321,1249,205460,258,19647,46682,117,5315,3649,108,69,3650,6504,172,337619,752,169,5085,923,130,2035,12697,41,673,389,512,174,378356,200943,33204,3081,2642,521,556,1845555,26554,245,10916,115328,2951,8445,3083,4372,83632,26275,744,35588,1687,482,2603,12856,11277,699,6080,9612,556,155185,238,879950,123,177,32,298,32139,16598,36714,560,409,2448,18085,955,1489,23885,68,196,5292,125,514,13554,5186,7164,4283,7965,3819,73086,11994,1076,4423167,50856,173325,38405,509858,1810002,418528,440,2160876,691,3845,148,204,36125,161,947173,2206902,1811862,10683,1923,665073,1588,2059,5942,384,11225,27351,141,437506,10844,1805,1155,71650,13675,197,11549,602794,2926,614,6243,39564,10449,1840188,2766,5063,309,29408,68,699103,327656,1561,18712,70261,5408,3477629,3119,30345,5215,7161,87,13084,15438,5512,31807,3868,4602,885,7798,1148,9562,98108,7928,284,766,467,2632,2995,699969,1901,81332,565,3599,1460,4229905,2137,977,11898,7213,3174,1920,5862,599,488255,306,1756,850,67,7944,3218,1334,21435,3588835,19590,7236,23205,20885,215617,632,23280,270,1154,11556
"WANDRO_28",564,59790,1167,260,97810,8810,455,42936,11399,622,263,4134,420,3233,14228,318,244,988,4586,1046,6389,3281,15286,8400,82751,301,734,301,484,38462,164,937,153751,263,128,423,2146,988,1443,241,2745,14734,885,430,41470,638,471,170,2098,314,500,729451,751251,811,231,266,609,1556,1206,1479,247,526,1700,279,192,757,420,118452,638,269,10510,1549,234,4192,57298,799,1344,117948,100074,3778,5029,2341,144822,276,375,244,542,6921,199,4096,346,164,173,20831,3127,2200,260,282,1501,391,510,552,1216,635,3024,8153,277643,4285,815,3964,1235,401,718,257,47827,1488,555,25841084,2511,6131655,398,298,212,577,1684,991,100683,2361403,1122925,61182,5757,5712,821,321,4750,411,8249,1960,183,24276,423,266,411,214379,5969,289,1450,725,1459,3733,257,452,4712,1187,17121,738,593,6113,282,1116,840,257,14776,2268,12541,552,356,882,18596,334,199,526,1940,10376,3284,14994,83415,330,292,2806,369,452,17092,321,231,247,173,2498,200668,1549,9962,969,86090,507,1039,953,241,1956,131,21149,7829,119744,1004,96511,115,773,1081,218,241,170,619,311,180,2258,1264,295,260,811,10991,128,455,840,9045
