"sample_id","(+)-12-methyl myristic acid","(+/-)-Tryptophan","(12 or 13)-methylmyristate (a15:0 or i15:0)","11Z-Eicosenoic acid","13.36_acetic acid","16.89_propanoic acid","2-(1H-indol-3-yl)acetic acid","2-Aminobenzoic acid","2-Aminobutyric Acid","2-Methylbutanoic Acid","2-Methylsuccinic Acid","2-Oxobutanoic Acid","21.49_3-methyl-1H-indole**","26.93_hexanoic acid","3-methyladipate/pimelate","3-methyladipic acid","3-Phenylpropionate","30.08_Heptanoic acid","31.35_4-methylphenol","39.01_1H-indole","5-Aminopentanoate","5-Oxo-L-Proline","7Z, 10Z, 13Z, 16Z, 19Z-docosapentaenoic acid","AA","acetoacetate","Ala","Anteisomargaric Acid","Asp","azelaic acid","behenate (22:0)*","beta-Ala","caprate","Caprylic Acid","Cinnamic acid","citrate","Cys","Decanedioic acid","DHA","Dl-Proline","dodecanedioate","dodecanoate","Eicosatrienoic Acid","ethylmalonate","FA 18:1","FFA C11:0","FFA C14:0","FFA C18:0","FFA C9:0","Glu","Glutarate","Glutarate semialdehyde","isoheptadecanoic acid NIST","Isomyristic Acid","Isopalmitic Acid/Anteisopalmitic Acid","Isotridecanoic Acid","Isovaleric Acid","L-tyrosine","malonate","Margaric Acid","N-Acetyaspartic acid","niacin","Octanedioic acid","Palmitic Acid","Pentadecylic Acid","Phenylacetic Acid","putrescine","sarcosine","stearidonate (18:4n3)","succinate","Tridecanoic acid","undecanedioate (C11-DC)","Valeric Acid"
"Gran_54_UT",362481.363,37410.199,98791.63,80962.076,753282.043,17098.719,32287.524,5297.808,112727.919,207727.178,220559.638,30450.939,5160.675,199935.87,8747.51,168740.801,299242.754,964.739,210892.295,155262.367,118625.726,55159.236,2844.124,15507.1,2347.228,26452.945,13692.492,475265.303,33398.317,12150.79,144515.205,31278.192,32082.976,21993.636,24630.892,4550.631,3939.976,272.45,264491.492,9036.722,9157.776,29352.789,3835.506,215338.555,11748.654,107057.048,628770.225,9740.212,604360.738,186635.986,2275.684,22041.171,22461.005,27071.009,13313.489,447907.517,71728.315,229450.988,14037.954,302499.11,284338.841,13742.164,2262298.845,153699.905,116147.087,83945.135,79648.282,7526.099,584975.125,22053.436,2840.237,325262.548
"Inf_66a_UT",82840.67,26906.073,6845.484,14947.572,5115814.184,20386.437,8779.564,1672.055,68492.247,51711.898,15519.803,55609.333,342.086,749.283,5338.584,734.71,1351.936,2102,0,10861.821,1627916,28124.135,568.265,12378.334,1958.038,21043.075,1389.685,519413.088,7332.927,7854.376,41208.42,17149.329,11263.543,102421.882,96350.568,6190.939,1028.655,2444.547,186185.706,2342.72,182457.487,4730.416,331.27,85099.316,11597.982,277314.128,510284.163,299.524,322397.694,8857.057,4636.37,2838.116,4314.455,2627.257,1290.303,155116.439,36751,440769.918,12190.93,117249.839,84939.167,2720.208,3189696.071,31280.756,36918.816,178923.095,267547.204,1446.893,280870.331,179486.271,786.46,1727.383
"Inf_49_UT",554469.913,88965.43,34685.771,0,4660792.762,25347.173,11968.436,1485.352,590166.673,140167.127,13112.458,44124.002,1951.628,455.882,5299.852,10127.994,0,5367,0,5292.11,3822313,22555.048,3189.433,4807.187,1720.412,27760.527,5131.843,570347.882,6005.959,4568.479,172025.012,7124.247,2109.368,85138.525,30057.309,9431.341,460.974,1923.256,263550.119,4706.634,4970.586,17168.352,2039.221,68626.899,2044.577,59343.682,748494.688,2052.206,265735.154,25758.927,6600.148,6326.536,16233.489,5278.995,2394.388,341747.907,72635,154222.367,12668.26,141047.823,133255.953,4999.165,2206182.991,74347.351,90367.138,329835.481,2169159.614,2375.39,719529.617,81750.417,1968.074,953.188
"Moth_26_UT",108112.166,77506.394,16935.201,1295.571,2395966.741,39895.997,3332.92,6498.469,2171756.262,129630.84,27479.201,69665.982,2335.776,9959.916,4664.469,1571.764,29939.496,1634.01,7724.123,249300.397,3033501.27,26850.702,1363.317,36420.888,1356.043,39837.885,2533.137,808916.416,38662.32,2315.425,1083895.471,14875.529,36659.395,4948.734,34832.05,42799.795,1862.619,3118.186,264336.086,7936.385,6893.547,7989.618,1144.575,89228.793,0,40384.388,275269.499,0,454670.05,19842.074,5885.867,2592.568,7904.614,3223.679,5581.248,238587.036,290477.362,160261.055,3425.334,93375.134,176023.797,7199.374,1385008.258,10935.01,30663.898,976263.765,181177.424,1122.235,3510909.695,1103.655,671.622,54702.668
"Gran_08_UT",316712.662,14315.326,84818.669,149566.164,572966.312,8156.384,6432.477,16837.854,77416.661,243850.306,290340.974,5880.019,34217.56,11058.853,39950.985,130407.459,92437.893,928.682,440928.184,32073.889,215217.943,22392.953,1486.605,2668.185,2649.902,21906.885,13094.808,365295.222,184284.8,2141.977,224301.12,30172.493,4603.718,14405.067,15056.67,4816.664,8121.553,1017.774,290353.286,3371.263,10247.724,453,1516.651,321606.373,55454.004,178050.507,708869.011,11496.554,419777.238,13972.013,8802.806,14340.626,57658.905,64690.063,12990.907,593093.937,59720.568,99203.267,10682.778,102653.632,55824.35,53610.55,2495612.474,131056.237,152518.359,9962.33,14873.891,1599.628,487723.474,47215.472,5684.119,167754.812
"Moth_32_UT",437799.341,52312.012,69983.955,7542.485,1190360.972,17452.237,7895.877,10477,491916.307,530900.242,28398.69,33191.023,32138.584,210148.76,37666.924,5890.172,58810.225,2139.612,505435.692,169958.079,93012.27,57688.324,319.438,8768.797,1767.481,36972.831,12725.694,484086.452,106445.374,12936.688,346076.785,6612.436,18523.813,50703.645,29839.083,8791.805,6152.876,807.605,363090.465,7921.871,8454.698,1753.034,760.919,251262.135,1628.74,72043.696,777291.218,0,547939.358,213885.776,2546.194,21680.605,54083.669,29029.117,11667.698,901294.25,448737.165,56447.861,16802.664,38808.037,155337.693,25553.046,1865586.947,92238.859,212089.701,9311.34,18684.625,1251.303,806618.849,19546.471,4082.213,345910.091
"Gran_67_UT",246283.713,50738.812,44079.306,61501.784,638825.375,7683.404,56058.521,7803.298,1053234.131,265400.438,196898.449,7559.732,79678.897,79698.229,4797.054,75146.889,182740.433,3007.198,351425.662,91745.216,584673.982,41861.25,711.031,2089.76,1085.417,67501.696,11938.615,192528.373,98859.057,4133.48,119106.027,18056.449,14127.607,713998.907,12926.431,5487.984,5693.793,1800.678,833829.445,14566.067,12828.542,2341.324,3051.031,163600.152,7112.1,106304.357,592118.895,23856.129,631488.961,25771.379,3728.136,40641.932,35238.745,28733.119,4999.03,596206.204,5655.752,53201.464,16776.874,38541.332,82035.938,17157.195,2129533.729,80112.91,226160.824,106310.06,65215.661,978.022,1984966.322,61788.506,4010.104,250600.129
"Inf_13_UT",107629.1,42034.804,19400.499,22768.283,1204131.291,7398.699,5459.517,3273.211,362605.619,147580.061,6501.47,5938.469,678.373,4323.865,4120.942,1630.425,39872.71,1064,31374.905,112077.714,1922956,263808.472,7377.077,11477.764,1242.784,38109.616,643.751,1071373.883,9058.085,2232.965,41643.894,148165.439,29275.183,5187.429,65142.468,92775.595,5141.14,1807.959,538926.018,16620.759,194945.272,57010.93,502.581,118583.749,1454.795,280704.695,50234.415,14913.007,456115.434,23552.861,2919.05,498.18,9942.748,2156.554,4963.975,159862.035,62288,18974.061,1456.28,156677.088,45308.312,3544.147,2038044.09,7286.263,62845.052,187746.207,15817.077,5185.952,3666200.116,12994.356,2126.712,22583.22
"Moth_15_UT",134482.719,15857.486,66922.033,12186.824,884278.406,14944.894,2732.189,9397.352,660947.504,377094.324,89341.883,15057.377,99882.416,111134.317,38732.84,52789.926,32469.312,2090.551,894399.838,415089.551,899195.485,17822.578,434.664,1575.479,2152.139,38460.436,5208.18,179465.251,166444.176,16158.204,484553.434,5305.813,28477.086,43142.046,17434.09,6040.062,2762.754,298.161,126263.759,4899.796,3404.764,697.11,2280.015,288369.812,659.507,39345.362,904782.921,3830.002,345780.289,28663.34,7491.46,17613.644,24076.411,15192.418,4421.073,793458.686,271008.815,162847.244,9355.491,14434.157,11710.97,30956.112,1838490.642,63307.678,169733.265,23005.546,12802.857,5918.53,644769.307,7381.129,1299.889,244967.335
"Moth_58_UT",416313.387,39730.481,102618.565,22278.766,1834183.647,57845.504,6008.608,11683.215,109268.446,888329.932,82946.026,92778.142,604.658,129391.338,9122.953,1754.44,1143761.2,2307.238,652417.213,855538.531,95314.243,27105.804,6388.197,14661.317,2346.903,25432.78,7820.389,455949.959,69692.704,29166.358,170326.348,49102.616,24700.565,14456.753,19844.547,14860.562,3293.679,1781.193,234389.571,5801.224,19036.273,28906.151,3376.176,235883.862,2926.295,136410.706,820707.312,0,530784.596,222635.648,2486.365,14396.584,34761.348,11961.966,10015.733,1547243.563,156447.117,108934.285,15568.945,75497.805,214398.154,13521.811,2311339.477,101544.321,281228.336,203610.947,10992.319,4140.018,289448.018,17424.344,1966.947,1813234.196
"Moth_08_UT",212413.145,22140.21,38409.83,21076.605,481504.217,6741.018,7254.232,6312.428,52127.979,199875.479,16522.858,10789.551,20271.855,81429.702,43161.542,67957.676,278534.983,992.126,258963.227,73515.705,299726.414,17617.943,0,2869.588,3279.335,20391.903,7213.227,485699.194,149858.019,11899.149,169836.835,12879.944,26018.897,15312.549,31616.387,2614.013,8941.934,728.501,219845.285,4413.941,9529.339,765.896,399.185,240074.437,2236.745,52387.227,866734.75,1290.682,419009.153,191809.513,5864.289,8852.273,14498.26,9453.703,7556.229,471465.987,255635.076,188032.901,8960.036,30169.592,37046.868,33935.089,1637707.981,50954.563,109742.292,8060.806,10180.28,406.892,323945.674,4954.578,2434.724,182127.946
"Moth_67_UT",237276.282,47319.355,71096.899,24498.092,1042955.807,22285.242,12821.871,11372.131,155140.801,860644.672,99895.274,25250.688,38554.537,345364.642,41939.275,6091.395,65116.753,1892.944,1421067.829,479767.482,113951.995,10979.067,0,2488.855,3027.359,22935.586,9576.217,492463.11,247461.504,5727.944,472010.52,31885.684,1050975.027,5331.568,17824.65,8633.989,4672.133,1155.122,277306.026,6420.764,19816.448,633.152,1579.385,303677.795,6396.935,92880.418,980010.715,19092.101,641594.211,303592.443,3495.623,19441.301,29977.998,24372.76,7336.6,1646006.83,214282.617,152097.893,15966.061,19140.219,60497.465,47103.296,2401489.249,90381.552,305741.833,56378.535,17049.514,911.679,393058.246,18071.362,2300.096,680920.313
"Inf_67b_UT",70818.029,17679.977,14473.735,13166.549,1403453.041,2325.681,5298.171,960.693,28480.037,13206.501,3979.489,13894.97,264.392,358.861,2000.355,0,636.328,8422,2245.581,3369.918,45023,17442.768,3373.86,9643.425,2608.341,27500.511,1571.343,124383.168,4737.165,7135.089,30025.586,145364.208,78937.787,112362.58,1111054.403,10134.14,745.881,6725.263,261634.822,5256.04,258093.247,10018.598,980.395,173341.673,1436.73,417654.798,192495.155,5772.853,262482.137,5737.081,1195.815,3165.59,5044.253,3944.78,2220.291,42012.685,38133,39005.206,6014.15,45952.557,42045.493,8524.127,2576549.483,11603.088,14389.04,37928.208,4100.959,1583.259,1079072.24,17193.099,914.332,2304.256
"Moth_22_UT",203982.13,20383.722,58175.2,11229.294,1737477.754,11963.443,8216.051,4503.105,41724.449,180956.404,68890.464,12561.659,3793.66,736601.579,19363.938,70944.49,268214.573,787.704,98467.295,35565.208,55006.977,82353.03,94.691,1515.766,2198.396,18998.285,9118.021,769318.759,169968.366,7987.642,252279.265,65822.211,198091.186,7052.256,27249.692,3744.552,5080.312,361.715,213279.367,2760.05,20571.018,1989.963,4926.331,398767.368,2082.24,157615.626,954607.298,3253.281,509849.137,450349.666,2340.223,12144.716,14729.795,12537.623,7661.852,285990.177,102945.02,93566.266,13172.125,140339.296,274358.278,15425.832,1944878.285,51810.125,66954.65,22377.709,15380.199,1995.631,686439.641,6570.727,2670.514,317989.168
"Moth_07_UT",207929.797,109445.689,52607.827,17338.984,1784202.269,29935.389,63081.943,6891.138,1281040.848,461514.363,20818.314,91894.857,21328.741,19393.494,2120.665,2407.256,586213.891,2583.888,251370.021,565017.797,176806.903,23486.673,1625.143,8288.701,1365.781,53538.6,3642.267,551632.631,33190.402,38509.309,268311.413,4664.089,33767.895,23872.991,44661.415,11833.357,2238.649,2929.215,635183.892,6707.235,3424.769,2930.036,1849.772,229305.127,0,49908.553,652176.398,0,581632.209,123654.158,3711.402,7367.533,15408.496,6207.86,4570.286,1210056.516,353289.225,65270.154,6274.933,37225.241,155168.814,30026.95,1873331.934,33842.669,230475.671,80052.174,21018.135,1123.875,792322.639,6823.018,2265.868,585322.72
"Inf_21_UT",63732.815,59121.306,8266.17,29123.736,356659.334,19279.141,32467.203,3223.581,422477.6,98941.999,26202.398,13725.892,346.724,3205.201,4544.575,1637.558,10869.729,5730,21412.562,43713.825,3015016,59775.742,23962.822,69584.551,480.797,55689.743,7445.714,1117102.008,7529.515,5696.517,43204.173,20501.976,8905.523,146602.378,21293.002,41555.671,2518.284,56812.097,445905.231,3568.695,95147.086,82301.007,2880.296,168245.382,4412.206,265757.589,172538.004,5930.805,467220.732,58817.109,11808.3,6694.655,7602.569,6371.738,2878.114,118464.605,112781,65253.782,6380.596,111736.206,87924.717,5364.687,2081995.467,22089.121,62075.624,846569.354,1509581.791,9521.616,1605940.495,85875.658,572.059,14869.299
"Gran_15_UT",360585.56,52066.081,74387.33,98174.918,1067024.956,18410.986,11956.445,14781.093,2755336.56,1144909.926,39693.488,23440.187,13981.785,48750.556,4929.775,56232.385,244879.379,1477.557,245865.748,385654.431,1049709.59,25020.075,452.859,5049.81,1644.663,77062.337,15285.647,349530.274,198588.158,2163.636,480499.174,83036.637,12395.794,364687.119,59967.697,5135.697,7948.421,340.302,927675.488,10406.729,38690.118,3110.531,863.365,177500.644,22788.008,264564.187,330144.058,16671.013,819531.38,26234.752,5652.505,24647.634,53094.045,52078.068,14553.041,1597486.472,84772.33,110653.443,7647.142,36870.22,66134.996,31127.686,2235983.808,115474.43,170852.975,301406.051,29486.099,2853.447,2197873.374,43403.303,5507.97,205340.331
"Moth_19_UT",310423.788,121903.631,69270.768,16284.089,1020760.401,23520.818,5224.086,11137.292,41789.127,935684.706,9692.496,19619.631,45792.09,292611.362,17168.821,46167.192,726951.938,1251.06,1234905.865,224455.422,92551.009,33857.367,0,1619.906,1712.704,46695.822,14252.071,619073.828,137133.049,4980.099,129064.534,18086.825,84317.16,11848.022,12546.076,4133.832,6755.889,833.297,611079.133,11440.496,4963.514,3265.92,5439.699,271095.404,3236.736,67548.216,626337.283,18520.932,477260.793,204831.432,4287.14,50620.105,31056.796,21930.374,9940.847,1605852.975,272790.514,107019.574,11233.9,37487.072,56796.463,27377.641,1803349.077,91490.324,374597.516,5496.355,13214.394,1853.437,597198.909,13302.045,2696.375,866873.336
"Moth_09_UT",240207.178,21987.84,54639.812,10085.857,1123245.662,9891.845,16760.068,9112.954,303797.706,812545.313,19409.332,9538,190743.031,197086.374,36509.183,115730.941,138885.717,1246.971,973531.265,67830.542,397233.27,22312.789,157.437,2128.186,3240.382,32681.82,11185.197,530809.967,190088.232,3937.031,168849.688,60011.931,51338.609,31093.098,15668.831,8551.733,8670.139,598.013,302613.841,7783.601,26631.578,1292.852,707.937,229894.218,16772.372,73224.67,600238.076,2670.213,442608.999,352486.32,10495.695,28315.007,24209.353,17763.48,6263.047,1438995.004,383737.686,90017.024,10747.889,38650.545,57285.7,37365.59,1609766.609,82967.986,292683.669,6006.847,10282.888,1618.271,258099.994,12436.717,2433.203,369274.307
"Gran_13_UT",273635.193,27302.385,41502.284,10880.295,953604.118,20716.51,24189.777,12138.685,221961.598,304126.422,49822.125,21327.231,11868.797,231426.188,6503.321,61572.517,491522.907,964.739,150544.859,115417.752,109598.482,26520.885,480.369,1926.315,1542.435,29091.981,7079.795,529664.4,33354.276,7928.394,150668.689,12345.323,51842.769,16224.312,18233.791,9176.083,6253.293,1613.825,330675.346,7135.085,4874.544,1319.349,2804.608,173574.573,30077.115,61180.364,377835.362,6528.669,474586.677,258672.111,2915.392,13121.704,39417.736,27740.398,6701.548,737406.668,84842.763,56033.737,9335.15,33742.069,101786.418,10657.269,1791628.556,57763.815,176993.371,10007.248,12240.636,1777.835,588213.627,22859.051,1641.215,424055.964
"Gran_10_UT",571306.922,129133.548,92732.063,51587.673,2353830.523,50143.897,10531.604,24775.071,1332928.046,649490.773,26399.167,85576.244,52122.252,402805.031,20936.713,73056.808,496487.274,2858.16,831815.603,91529.001,283440.084,62777.796,479.311,4692.142,1947.337,81846.362,40908.718,1077762.182,139921.39,23630.147,152395.762,165016.21,62013.649,72225.503,20937.626,12028.671,9989.814,135.703,892527.143,10548.76,20027.032,3848.019,2759.401,100942.769,26964.855,144644.76,620986.306,35397.67,701044.892,33180.224,7540.169,25685.75,91126.308,81841.096,14678.49,1743902.381,387908.031,103200.037,19948.463,107625.506,134343.351,29641.085,2418927.456,115327.636,324774.566,11277.914,16821.638,8876.448,1278150.764,39529.907,5435.081,1209951.76
"Moth_18_UT",346667.261,77080.605,36085,14302.091,1295471.921,17594.107,30574.931,6658.586,1476419.473,512196.834,77022.533,53012.785,1352.891,209838.042,19213.792,79850.223,287733.587,3250.303,325667.482,102506.354,116391.48,49034.903,0,7174.209,2490.541,48443.151,10734.061,848115.137,90158.135,6903.736,330655.949,443259.576,746076.83,63996.185,365145.523,4327.037,4253.239,311.345,603029.026,7645.331,134521.398,2700.75,3640.168,177204.094,4102.965,97478.936,706127.098,3498.407,616379.405,313132.891,3615.282,6418.6,66183.256,53038.629,6067.449,898394.536,589957.728,172001.002,10664.811,67965.742,216069.541,22691.575,1858196.394,71568.976,192505.843,46548.993,18617.323,1228.333,1097071.335,22634.936,3040.933,409966.791
"Moth_49_UT",281995.127,23817.973,41815.065,62851.611,1828801.645,18920.162,43891.675,4277.416,25098.586,112212.644,77300.182,30004.921,13662.994,11653.798,5091.332,3060.998,589109.97,1000.303,39125.582,114124.703,347446.337,13440.906,418.692,4780.418,1765.046,12789.153,8268.7,329477.22,26359.072,3692.429,132133.853,1851.197,8956.933,3086.654,17969.174,3552.303,2647.802,1806.885,121629.906,5373.427,2407.741,6510.521,1351.019,369520.367,21.459,82062.875,678660.045,0,369096.879,54119.233,1730.157,12215.664,13255.988,15675.723,3808.572,206016.75,69382.458,98733.894,13359.052,84631.366,141593.014,8052.375,2082120.033,45143.136,73072.011,60074.463,16502.27,2298.612,2471281.859,3362.168,1394.965,450541.185
