"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-Aminocyclopropane-1-carboxylate","1-Methyl-xanthine","1-methylnicotinamide","1-methylurate","1,5-Anhydro-D-glucitol","1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE","1,6-ANHYDRO-B-GLUCOSE","1,7-dimethylurate","1,7-Dimethylxanthine","12-Hydroxydodecanoic acid","1H-Indole-3-propanoic acid","2-(1H-indol-3-yl)acetic acid","2-AMINO-2-METHYLPROPANOIC ACID","2-Aminobenzoic acid","2-METHOXYCINNAMALDEHYDE","2-METHYLHIPPURIC ACID","2,6-DIMETHOXYBENZOIC ACID","3-aminosalicylic acid","3-Carboxypropyl trimethylammonium","3-HYDROXYINDOLE","3-HYDROXYPROPIONIC ACID","3-Methyl-L-histidine","3-METHYLCATECHOL","3-methylxanthine","4-acetamidobutanoate","4-acetamidophenol","4-aminophenol","4-HYDROXY-PHENYLGLYCINE","4-Hydroxybenzenesulfonic acid","4-methylcatechol","4-pyridoxate","4-QUINOLINECARBOXYLIC ACID","5-Aminopentanoate","5-HIAA","5-Hydroxy-L-tryptophan","5-Hydroxyindole","5-HYDROXYMETHYL-2-FURANCARBOXYLIC ACID","5-Oxo-L-Proline","5,6-DIHYDRO THYMINE","5'-Deoxy-5'-methylthioadenosine","7-methylxanthine","ACETYL-CARNITINE","adenosine","Ala","ALLO-ISOLEUCINE","allo-threonine","alpha-glycerophosphocholine","Alpha-Lactose","Alpha-n-phenylacetyl-l-glutamine","AMINO(4-HYDROXYCYCLOHEXYL)ACETIC ACID","Arg","Asp-Phe","azelaic acid","betaine","biotin","BUPROPION","butyrylglycine","C10 carnitine","C3 carnitine","C8 carnitine","carnitine","catechol","choline","choline phosphate","Cinnamaldehyde","citrulline","creatine","creatinine","cystine","diltiazem","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","doxylamine","elaidic acid","Galactitol","Gln","Glu","guanosine","hippurate","His","homocitrulline","homocystine","hypoxanthine","indole-3-lactate","INDOLEPYRUVIC ACID","inosine","isovalerylglycine","kynurenine","L-(-)-Phenylalanine.1","L-malic acid","L-serine","L-tyrosine","lisinopril","metformin","N-6-Trimethyllysine","N-Acetyl-DL-tryptophan","N-Acetyl-L-tyrosine","N-acetylneuraminate","nifedipine","Octanedioic acid","Octyl gallate","omeprazole","PANTOTHENIC ACID","PHENYLACETIC ACID","propionylglycine","propyl 4-hydroxybenzoate","putrescine","pyridoxamine","serotonin","taurine","theophylline","TMAO","trigonelline","TRYPTOPHAN ETHYL ESTER","uracil","uridine","VALPROIC ACID","xanthurenate"
"4069_3",27621268,23768,81821,21980,6469,15364,10989,27072,85964,32583,2216847,37994,56434,47579,249855,54531,5069,737,140689,51913,477830,33985,46406,30433,64990,46310,62135,1850,5125,7086,71957,25900,14969,10040,8026572,11253,29561,29573,91987,1028132,47322,15219,65378,1333146,0,541671,35430068,276310,523488,7098,91196,8427,259534,23610,549228,21456,0,217,40794,1915596,411364,1149796,3096041,35743,6095614,13233,12144,88824,285710,1670306,45228,473445,415384,2393378,263960,4885263,156,158452,3490,704646,155669,1581,1278126,66518,3665,501,525140,48156,55300,10983,15498,351810,18318992,0,42563,7357657,0,295,81458,10976,3384,5109,6578,98027,18163,329,97395,106153,44044,214415,7977,142325,30754,78887,366510,520970,320982,12587,1091800,40202,10347,9309
"4069_2",28000854,20527,82899,30092,6343,22311,11620,25681,85057,47929,3100539,12351,65818,36565,202958,46637,3852,269,206807,54950,471451,19636,50486,29042,75695,64835,54295,7840,6266,4210,24773,17390,15430,7907,7149306,11206,27741,29056,100920,855641,41727,18083,78564,740179,0,573350,30888968,297179,576902,5922,192114,8782,329001,14258,502263,20463,685,740,49550,1600242,356232,926746,3227008,45757,5068181,13889,10382,90714,349993,1662381,28019,459956,366017,2735592,181078,6404403,233,148649,2850,784601,95707,79372,475085,68388,4008,1145,637480,64201,50834,309688,13946,343666,15033794,7172,35520,9576041,0,878,75054,10237,1519,4301,6786,88513,15687,0,79187,141480,47286,231128,12995,120151,51008,38182,492664,616898,362361,15382,778250,32434,7592,5352
"4069_1",23426390,20293,72592,46206,9859,32244,11809,17661,86166,68126,3465802,15985,62379,37196,209267,148454,13460,470,140072,51123,439177,10935,42193,42843,71379,75722,50094,12589,5225,2230,21585,27121,14354,7994,6395692,9848,28655,31177,92891,726097,45028,16513,124146,1023192,3993,559792,27053324,256061,399277,7388,240484,7656,328074,23078,480780,20169,1102,254,30487,1483394,364404,965931,2515726,42408,4846985,7917,13861,81750,336102,1416506,32267,411564,361499,2407577,176984,4349826,479,185899,3015,697720,98045,76550,276844,57997,2465,319,411027,48439,53632,205089,13528,395399,13669130,6608,35560,6470508,113,0,91013,9489,2557,4777,5366,71045,25208,556,106796,122606,42440,226833,11478,119387,33653,41226,550129,2361358,368578,18112,683771,51170,9475,2872
"4068_4",28684528,26243,84169,148223,18942,22673,27170,28356,143655,33002,2402180,137472,126080,49288,299479,74028,52267,2006,318277,74151,462238,26479,59793,84796,23904,189388,57730,10196,95481,7983,77267,14708,30138,7082,6374989,10580,35174,24268,58692,835036,39356,13726,392753,271704,357,644005,34568348,312861,1261063,10040,134735,25915,292958,134551,115842,15804,442,3342,34458,2072162,247149,832593,5000547,29426,4824883,23566,11018,91915,971335,985007,23658,138735,319412,2030234,129143,6235911,621,35309,2239,935999,77250,182379,708535,47309,5225,832,477098,84517,52393,427918,16246,401389,13429648,11908,43460,7184374,0,0,79467,11923,1094,20722,40924,51990,18781,137,87438,62211,40183,1093446,17590,101307,57257,76986,363472,1160082,640126,18811,565174,41120,24606,7393
"4005_4",30847244,24064,86097,21565,3286,11026,47564,35178,163448,13289,1387674,83453,56904,31513,171540,79344,40926,4372,159891,49457,391012,20289,68955,25477,16855,39479,50231,31416,5965,2910,32115,5004,3204,7885,9108874,11383,35084,43224,57296,970436,49660,16679,70416,371070,0,775281,39677840,282980,896677,14473,1126122,11028,357573,248576,118885,11982,42,2440,10907,1735503,391490,740005,4867961,22920,4417720,17849,15008,89250,341181,1259497,21816,158711,295758,2849070,164841,11398900,173,19761,636,976354,183663,62254,564618,45308,5205,361,528367,42647,48576,171498,16927,417094,13752409,2727,42229,6144500,318,2677950,65698,8480,2226,22841,26598,59684,0,276,36210,45881,46709,132434,11943,89999,66112,149730,184993,1341761,305979,15569,756683,42073,21110,6221
"4068_3",26217766,25445,80717,52433,12435,12834,25787,33468,143203,26345,580444,14942,74863,28640,346603,72853,41648,924,451417,51760,341218,25317,58108,39882,26142,65714,53996,6075,5629,4592,170528,24042,17497,7169,6722755,8483,36366,32554,97273,819150,35652,13128,136832,150479,0,540242,33549222,297168,1510827,13445,184921,18996,341171,125563,169431,9486,1263,617,35172,2746345,182010,1061512,3535790,35299,4007198,27821,13924,113771,689850,698311,38918,268716,592472,1907115,147883,4847594,0,35948,2807,868116,78550,194565,499278,64068,5618,1058,537460,50613,49734,664125,14441,363056,13035940,11687,43883,6995048,119,300,68122,9647,2798,11886,38105,77268,13140,288,105999,68362,37318,852653,24733,153757,54455,48877,174844,10799534,825564,9419,729622,39527,30769,4964
"4068_2",26009398,25752,83235,39178,12294,18227,27569,34482,143682,62249,1557356,91289,82985,46710,287122,44214,44759,618,594931,66074,416363,11410,64930,85189,34844,72597,60451,3052,5897,8371,154881,28161,15116,8393,6036982,8348,40807,39279,125189,791670,36817,13742,114874,113432,294,528587,33150050,318186,1290195,11119,378638,22032,333061,199733,244872,13834,1707,2664,39177,2001155,178746,832563,4999758,30513,5291330,27994,16033,114113,734848,979688,37292,402119,309115,2331564,130686,6539103,504,43726,3139,895371,84920,229270,568366,44601,6712,906,551234,75106,44769,704367,14276,366710,13381370,17778,44934,7783035,125,0,71811,10329,823,23783,55991,92865,9487,1090,72173,78370,36942,1067514,17779,106960,59309,46799,291831,1167231,381658,12859,557933,32689,25620,7686
"4068_1",27776716,24106,75319,157928,15169,19126,30006,33243,149871,19210,1547940,159202,144002,19868,288947,76728,48831,1407,166931,62087,466421,19717,55353,58839,11277,183093,60939,21650,60208,6913,38449,19869,14549,6584,6486000,9014,33481,30638,98599,782758,34084,11397,409184,220151,362,499575,33991008,298323,1312940,10390,346696,30266,311040,90835,71527,12339,1281,831,14425,3594542,216764,1354429,6197798,28395,4493024,20469,10958,134522,803325,1007867,45353,78591,341981,2016383,126023,5336118,112,45182,4652,946973,64064,242624,468102,41979,6079,702,585405,65822,42046,752540,13284,365061,13636312,15993,57031,8103992,0,0,60979,10260,211,17621,26840,44809,29968,417,56508,32979,46153,1199527,17747,110504,65472,38829,409803,1579919,335783,13173,544523,39678,32465,5168
"4067_3",12986368,15766,70710,30844,4249,10395,16344,18914,82884,126203,1010766,13404,172879,51049,150048,113032,19051,1155,290221,44208,481402,43658,39566,24021,159460,43440,64160,8695063,8031,3108,52752,52199,8732,12491,5349336,12055,27332,40412,168301,905128,39454,14345,86679,1376832,5209,582521,24649524,220166,453364,4418,180427,4367,219992,1622,593901,25577,0,0,65841,1721458,359698,978690,3761117,79267,4856696,13001,13712,75688,241592,1457190,29686,457232,255081,2072818,117982,7446799,743,306191,5495,719023,67373,87722,311837,53264,2967,6288,884399,30165,47589,365091,12747,322712,8060254,9178,31767,4671668,0,709,47797,10893,1347,2800,17213,77849,17546,0,186241,284801,44867,105078,11512,86620,15084,43529,226280,543307,330232,9447,845124,54528,10929,2425
"4067_1",19028498,23268,70588,23333,2761,10785,13159,21478,77316,90714,868162,6100,62260,71712,167520,122183,2693,1969,207588,34414,575248,38260,30258,22124,117414,42046,50811,63935,9250,261,32457,7731,12157,9505,5496358,11401,28539,49192,102728,823315,28389,12247,96467,1571423,32599,602699,27446970,263634,422815,5460,200206,4572,193250,1042,248601,16541,0,0,59614,2206006,384294,1177225,3884879,53548,4414622,11554,12581,54400,235425,1576806,30058,176972,319229,2189688,119357,7686343,133,259250,339,768481,40000,75812,474405,55429,3362,706,552588,27533,45939,316286,11689,408529,9740944,4506,30582,4506248,0,0,49523,8296,1615,2132,26320,31019,13525,106,237996,175260,36913,74658,8048,102304,22143,32157,172991,1448343,346868,8267,643893,57580,11111,3645
"4066_4",29563096,33741,71337,27845,10694,19011,26235,26857,142326,43995,2671547,22989,117882,56903,191521,68416,44903,3705,249935,56589,421325,16859,62621,14671,26610,50480,46884,3240,11250,9369,47809,6116,3542,6402,5444517,10339,33732,53229,137074,671004,53554,12467,62319,308339,0,609096,32625008,277643,833710,9914,993484,5102,309703,413601,249726,12099,755,2219,41111,2575814,328725,827230,3992595,42199,5552748,14937,11671,96270,385670,1321690,25267,253685,243016,2346585,118815,5175276,428,38073,715,849844,81391,111120,1212851,37599,10311,873,506252,67331,39982,437318,19281,456205,13224467,8421,63020,8009101,0,0,44735,10602,24392,32959,40917,75006,18093,0,69096,78032,47826,1035080,6051,86669,51615,34485,499956,1260697,277202,9416,893944,53050,24721,11764
"4066_3",25271358,26987,82048,30928,16108,19442,13080,47926,144186,113177,3291041,53877,1548285,467477,127606,132049,14467,1884,1417468,109620,404765,24246,66398,75193,100517,78223,76385,6819,3577,4765,159348,80012,24741,8845,5350241,17130,10920,88288,134030,1144720,82902,17786,24334,175325,1233,492250,27115334,296122,1328916,10853,1225314,4654,369680,52668,2365263,22631,1430,412,43834,6402,169188,424485,3390188,79292,5143144,31838,23961,76276,344356,1729102,14398,748012,685971,1341186,224296,4845236,379,170772,1154,857412,97231,6725,1620400,108106,9690,500,590932,235345,54036,22668,19548,424593,16078866,2510,42241,6510751,110,0,54194,13385,18138,3333,34448,740719,31515,774,154352,192185,55766,2933651,6810,147548,64164,62022,739899,2072247,523841,43604,435688,39682,14625,8109
"4066_2",26672258,36108,80076,29802,12554,17839,25082,32268,124654,40292,2532127,62510,117566,45928,223832,59622,47926,800,212966,40732,380939,31756,49762,15839,26902,59668,50286,4075,7267,5189,60884,4904,7373,4689,6714560,11311,30824,40836,48135,643277,46725,12199,81622,255954,0,517302,32409606,326049,916198,8674,1110822,5687,288581,243582,217219,13789,467,443,28180,1184968,214920,436643,3181604,29411,6230740,16071,8293,95536,312913,1184741,52027,209403,262361,2254538,103728,4719517,476,43523,1217,851287,73989,46950,601297,41331,6809,96,539881,60589,38159,205399,16840,429911,11762113,3757,62462,6753160,125,399,43302,8195,12623,26682,38246,59737,50541,448,65981,68496,40840,412973,5320,83592,38049,31612,472802,2071810,319538,9645,678194,41190,28360,7357
"4005_3",29076156,34655,84149,35805,8439,12406,49578,38243,150092,23488,1046751,29193,48157,47436,311042,80734,38881,1253,179852,46744,529889,26818,60730,44371,22342,59861,48602,5940,8583,964,63870,9878,5117,7954,8557337,9417,38686,32959,103327,1005004,49079,13422,122209,1410024,0,641547,38582652,306627,790707,15494,942211,14351,366174,194287,161284,9614,832,2532,13426,3231064,455258,1325270,5119842,24302,4888001,15742,14293,107765,280784,1313280,23268,219533,388419,2160101,162922,7272763,379,19070,4117,1009564,120028,127092,216991,48268,8649,586,492927,31663,53780,341746,12665,435493,13066986,9877,48163,5338892,1759,301644,76491,8460,2100,12621,40681,69645,6092,131,45586,58322,40240,162375,12987,115863,72684,57334,182316,2221431,208078,16263,657761,37646,20580,2765
"4066_1",26642710,36971,86256,26312,9308,14443,25869,40487,140089,64107,3158398,58460,211346,43495,160402,76988,42094,2176,415173,55823,415195,12564,51432,24794,45432,58512,45242,2374,9847,5582,49922,32635,6708,4846,6137600,7939,30168,27769,133372,732290,37712,9385,80325,171294,0,603377,32480778,320346,1128424,12363,692157,5964,295918,512531,683932,11087,321,1506,53028,1555543,243030,602985,4325090,38774,4867664,21884,10049,96626,449690,1221454,16997,679388,275663,2273607,131915,4657510,458,33951,1228,838651,157305,0,814376,45482,6687,387,709682,51708,40693,4885,14212,373782,14049596,326,61604,7677973,0,0,40876,12835,29641,70243,45348,176044,27603,0,95191,104597,38530,597344,2906,88148,47000,50135,452256,1212732,350442,9650,249800,51688,24574,9302
"4065_4",27148778,23980,76024,9818,13668,10565,14722,19007,62718,31216,953165,3875,150412,155754,266191,97280,14158,3568,175204,55950,450033,34996,36286,94076,70336,27455,67005,11178,4035,1744,49598,29916,15936,10147,7921074,12299,37239,41502,95612,702424,49861,16583,42798,992253,7,542033,35066484,217704,396121,4257,1554595,8121,419699,16142,429371,40046,0,182,17159,93488,552502,1979460,2917900,36636,5942338,7841,19377,151376,336511,1645986,30807,413942,470765,3129242,170257,6229584,326,271742,792,731292,61047,80329,1942859,64000,3067,3,395516,54552,48265,289519,20583,482075,15461412,6140,32833,9231866,144,1208,89352,11748,1049,3037,6572,83456,21592,107,86195,103222,51901,1377708,15478,152949,142560,34186,245478,1862761,272864,11168,428600,48823,7483,12359
"4065_3",24370672,24770,71933,226742,7806,9350,14152,22507,59796,53733,840615,7855,153270,158899,142317,79550,5778,17068,276125,76490,571730,28397,33212,23266,92555,216268,50424,12962,4711,7766,53402,29910,6324,6652,5664556,10273,38901,45582,98357,1064768,55326,12439,618418,1548480,10,801656,33540024,172945,545247,4230,1646293,11318,314891,24698,838749,15072,704,0,37957,43124,699710,2161068,3952210,53619,4538675,15501,20400,109332,222399,1695905,22355,816688,276965,2727214,181147,13630950,586,149291,2486,732059,109111,2870,3846830,64400,5827,886,961498,70123,44705,34506,15439,286404,17494458,782,35736,8849842,242,0,124015,17167,1970,3824,8145,167879,11424,534,70865,162775,50940,414390,7996,83928,188391,61459,216805,2525904,660465,19350,1162891,43160,10997,18052
"4065_2",25435776,23176,74781,117990,6792,7045,12960,23803,62832,46524,664014,16532,82891,165845,163076,106368,11579,6352,228013,58240,555044,53662,31186,74339,82147,126722,58667,6121,11242,2866,43069,30708,6958,8575,6825328,12020,39767,59265,87114,875000,74546,16625,368373,1337183,0,835654,37516400,220904,492700,4241,3109090,8226,328773,15190,603888,20650,926,532,16074,81863,644335,1867826,3373759,48188,4157320,14757,22035,111865,257461,1834801,27355,550666,377570,3281933,179764,13742413,517,183201,1934,704706,86577,24201,1407212,60522,5249,172,1042064,80646,44590,176948,17526,348376,16800902,837,31411,9204846,0,250,90501,13770,663,5025,7329,107883,28835,221,73820,129424,43054,399895,8450,124842,170938,45358,154082,2912826,621562,27223,817465,58922,10958,10722
"4065_1",26957400,22161,76673,25421,8521,5116,13428,14793,60600,64886,312078,10457,79355,101021,191340,134783,4815,3458,217586,50572,528063,35714,31170,51951,86364,47692,45433,10188,5029,3462,53375,18172,7683,8247,7311094,9762,32230,40731,150144,777698,47137,15520,104703,1536419,0,715508,33161264,234022,552716,5156,1334793,5853,362753,13144,598252,21643,0,0,39713,2943922,600767,1488911,3472316,43554,5757012,13493,11638,99197,362592,1461149,23833,538491,445033,3409264,169069,9587564,417,214042,151,716131,92284,54866,1378074,67216,4477,407,817164,66065,48187,326841,16437,395052,16465808,4467,38463,9467686,0,0,84571,9831,932,3665,6224,107103,23364,5,89613,132673,44472,579507,7592,159684,105507,19782,85060,2192137,470545,9624,668318,64112,9785,10138
