"","sample_id","GALACTITOL","MALIC ACID","HOMOCYSTINE","N-ACETYLTRYPTOPHAN","GLUTAMIC ACID","2-AMINO-2-METHYLPROPANOIC ACID","ELAIDIC ACID","ALLO-ISOLEUCINE","5-AMINOPENTANOIC ACID","BETA-LACTOSE","PANTOTHENIC ACID","ALLOTHREONINE","ALANINE","PYROGLUTAMIC ACID","ORNITHINE","PROLINE","TRIMETHYLAMINE N-OXIDE","PUTRESCINE","3-HYDROXYPROPIONIC ACID","1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID","CHOLINE","SERINE","4-AMINOPHENOL","CATECHOL","URACIL","CREATININE","BETAINE.1","4-METHYLCATECHOL","3-METHYLCATECHOL","TAURINE","5,6-DIHYDRO THYMINE","METFORMIN","PROPIONYLGLYCINE","CREATINE","ASPARAGINE","CINNAMALDEHYDE","5-HYDROXYINDOLE","1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE","HYPOXANTHINE","PHENYLACETIC ACID","TRIGONELLINE","2-AMINOBENZOIC ACID","1-METHYLNICOTINAMIDE","5-HYDROXYMETHYL-2-FURANCARBOXYLIC ACID","VALPROIC ACID","N-BUTYRYLGLYCINE","4-ACETAMIDOBUTANOIC ACID","DEOXYCARNITINE","GLUTAMINE","LYSINE","METHIONINE","4-ACETAMIDOPHENOL","3-AMINOSALICYLIC ACID","HISTIDINE","ISOVALERYLGLYCINE","CARNITINE","1,6-ANHYDRO-B-GLUCOSE","2-METHOXYCINNAMALDEHYDE","1,5-ANHYDRO-GLUCITOL","PHENYLALANINE","1-METHYLXANTHINE.1","3-METHYLXANTHINE","7-METHYLXANTHINE","4-HYDROXY-PHENYLGLYCINE","PYRIDOXAMINE","3-METHYLHISTIDINE","4-QUINOLINECARBOXYLIC ACID","AMINO(4-HYDROXYCYCLOHEXYL)ACETIC ACID","PHENOLSULFONIC ACID","SUBERIC ACID","ARGININE","INDOLEACETIC ACID","CITRULLINE","SEROTONIN","HIPPURIC ACID","THEOPHYLLINE","PARAXANTHINE","PROPYLPARABEN","TYROSINE","1-METHYLURIC ACID","2,6-DIMETHOXYBENZOIC ACID","4-PYRIDOXIC ACID","PHOSPHOCHOLINE","AZELAIC ACID","NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE","INDOLEPROPIONIC ACID","HOMOCITRULLINE","5-HYDROXYINDOLE-3-ACETIC ACID","2-METHYLHIPPURIC ACID","1,7-DIMETHYLURIC ACID","INDOLEPYRUVIC ACID","ACETYL-CARNITINE","TRYPTOPHAN","XANTHURENIC ACID","INDOLELACTIC ACID","KYNURENINE","OMEGA-HYDROXYDODECANOIC ACID","PROPIONYLCARNITINE","5-HYDROXY-TRYPTOPHAN","N-ACETYL-TYROSINE","TRYPTOPHAN ETHYL ESTER","BUPROPION","CYSTINE","URIDINE","BIOTIN","SN-GLYCERO-3-PHOSPHOCHOLINE","PHENYLACETYL-GLUTAMINE","ADENOSINE","INOSINE","DOXYLAMINE","ASP-PHE","OCTYL GALLATE","GUANOSINE","OCTANOYLCARNITINE","5'-METHYLTHIOADENOSINE","N-ACETYLNEURAMINATE","DECANOYLCARNITINE","OMEPRAZOLE","NIFEDIPINE","LISINOPRIL","DILTIAZEM","3-HYDROXYINDOLE"
"11","4069_3",3490,0,501,10976,155669,249855,158452,35430068,8026572,7098,97395,276310,541671,1028132,263960,4885263,520970,7977,46406,81821,6095614,42563,5125,35743,1091800,1670306,21456,25900,64990,78887,47322,295,44044,285710,23768,12144,29573,27072,525140,106153,320982,54531,6469,91987,10347,40794,62135,477830,704646,415384,2393378,1850,51913,66518,15498,3096041,85964,5069,10989,18318992,21980,46310,65378,7086,142325,30433,10040,8427,71957,98027,259534,47579,88824,30754,1278126,366510,2216847,214415,7357657,15364,140689,14969,13233,549228,81458,56434,3665,11253,737,32583,55300,1333146,27621268,9309,48156,351810,37994,411364,29561,3384,12587,217,45228,40202,0,523488,91196,0,10983,156,23610,18163,1581,1149796,15219,5109,1915596,329,6578,0,473445,33985
"12","4069_2",2850,7172,1145,10237,95707,202958,148649,30888968,7149306,5922,79187,297179,573350,855641,181078,6404403,616898,12995,50486,82899,5068181,35520,6266,45757,778250,1662381,20463,17390,75695,38182,41727,878,47286,349993,20527,10382,29056,25681,637480,141480,362361,46637,6343,100920,7592,49550,54295,471451,784601,366017,2735592,7840,54950,68388,13946,3227008,85057,3852,11620,15033794,30092,64835,78564,4210,120151,29042,7907,8782,24773,88513,329001,36565,90714,51008,475085,492664,3100539,231128,9576041,22311,206807,15430,13889,502263,75054,65818,4008,11206,269,47929,50834,740179,28000854,5352,64201,343666,12351,356232,27741,1519,15382,740,28019,32434,685,576902,192114,0,309688,233,14258,15687,79372,926746,18083,4301,1600242,0,6786,0,459956,19636
"13","4069_1",3015,6608,319,9489,98045,209267,185899,27053324,6395692,7388,106796,256061,559792,726097,176984,4349826,2361358,11478,42193,72592,4846985,35560,5225,42408,683771,1416506,20169,27121,71379,41226,45028,0,42440,336102,20293,13861,31177,17661,411027,122606,368578,148454,9859,92891,9475,30487,50094,439177,697720,361499,2407577,12589,51123,57997,13528,2515726,86166,13460,11809,13669130,46206,75722,124146,2230,119387,42843,7994,7656,21585,71045,328074,37196,81750,33653,276844,550129,3465802,226833,6470508,32244,140072,14354,7917,480780,91013,62379,2465,9848,470,68126,53632,1023192,23426390,2872,48439,395399,15985,364404,28655,2557,18112,254,32267,51170,1102,399277,240484,3993,205089,479,23078,25208,76550,965931,16513,4777,1483394,556,5366,113,411564,10935
"14","4068_4",2239,11908,832,11923,77250,299479,35309,34568348,6374989,10040,87438,312861,644005,835036,129143,6235911,1160082,17590,59793,84169,4824883,43460,95481,29426,565174,985007,15804,14708,23904,76986,39356,0,40183,971335,26243,11018,24268,28356,477098,62211,640126,74028,18942,58692,24606,34458,57730,462238,935999,319412,2030234,10196,74151,47309,16246,5000547,143655,52267,27170,13429648,148223,189388,392753,7983,101307,84796,7082,25915,77267,51990,292958,49288,91915,57257,708535,363472,2402180,1093446,7184374,22673,318277,30138,23566,115842,79467,126080,5225,10580,2006,33002,52393,271704,28684528,7393,84517,401389,137472,247149,35174,1094,18811,3342,23658,41120,442,1261063,134735,357,427918,621,134551,18781,182379,832593,13726,20722,2072162,137,40924,0,138735,26479
"15","4005_4",636,2727,361,8480,183663,171540,19761,39677840,9108874,14473,36210,282980,775281,970436,164841,11398900,1341761,11943,68955,86097,4417720,42229,5965,22920,756683,1259497,11982,5004,16855,149730,49660,2677950,46709,341181,24064,15008,43224,35178,528367,45881,305979,79344,3286,57296,21110,10907,50231,391012,976354,295758,2849070,31416,49457,45308,16927,4867961,163448,40926,47564,13752409,21565,39479,70416,2910,89999,25477,7885,11028,32115,59684,357573,31513,89250,66112,564618,184993,1387674,132434,6144500,11026,159891,3204,17849,118885,65698,56904,5205,11383,4372,13289,48576,371070,30847244,6221,42647,417094,83453,391490,35084,2226,15569,2440,21816,42073,42,896677,1126122,0,171498,173,248576,0,62254,740005,16679,22841,1735503,276,26598,318,158711,20289
"16","4068_3",2807,11687,1058,9647,78550,346603,35948,33549222,6722755,13445,105999,297168,540242,819150,147883,4847594,10799534,24733,58108,80717,4007198,43883,5629,35299,729622,698311,9486,24042,26142,48877,35652,300,37318,689850,25445,13924,32554,33468,537460,68362,825564,72853,12435,97273,30769,35172,53996,341218,868116,592472,1907115,6075,51760,64068,14441,3535790,143203,41648,25787,13035940,52433,65714,136832,4592,153757,39882,7169,18996,170528,77268,341171,28640,113771,54455,499278,174844,580444,852653,6995048,12834,451417,17497,27821,169431,68122,74863,5618,8483,924,26345,49734,150479,26217766,4964,50613,363056,14942,182010,36366,2798,9419,617,38918,39527,1263,1510827,184921,0,664125,0,125563,13140,194565,1061512,13128,11886,2746345,288,38105,119,268716,25317
"17","4068_2",3139,17778,906,10329,84920,287122,43726,33150050,6036982,11119,72173,318186,528587,791670,130686,6539103,1167231,17779,64930,83235,5291330,44934,5897,30513,557933,979688,13834,28161,34844,46799,36817,0,36942,734848,25752,16033,39279,34482,551234,78370,381658,44214,12294,125189,25620,39177,60451,416363,895371,309115,2331564,3052,66074,44601,14276,4999758,143682,44759,27569,13381370,39178,72597,114874,8371,106960,85189,8393,22032,154881,92865,333061,46710,114113,59309,568366,291831,1557356,1067514,7783035,18227,594931,15116,27994,244872,71811,82985,6712,8348,618,62249,44769,113432,26009398,7686,75106,366710,91289,178746,40807,823,12859,2664,37292,32689,1707,1290195,378638,294,704367,504,199733,9487,229270,832563,13742,23783,2001155,1090,55991,125,402119,11410
"18","4068_1",4652,15993,702,10260,64064,288947,45182,33991008,6486000,10390,56508,298323,499575,782758,126023,5336118,1579919,17747,55353,75319,4493024,57031,60208,28395,544523,1007867,12339,19869,11277,38829,34084,0,46153,803325,24106,10958,30638,33243,585405,32979,335783,76728,15169,98599,32465,14425,60939,466421,946973,341981,2016383,21650,62087,41979,13284,6197798,149871,48831,30006,13636312,157928,183093,409184,6913,110504,58839,6584,30266,38449,44809,311040,19868,134522,65472,468102,409803,1547940,1199527,8103992,19126,166931,14549,20469,71527,60979,144002,6079,9014,1407,19210,42046,220151,27776716,5168,65822,365061,159202,216764,33481,211,13173,831,45353,39678,1281,1312940,346696,362,752540,112,90835,29968,242624,1354429,11397,17621,3594542,417,26840,0,78591,19717
"19","4067_3",5495,9178,6288,10893,67373,150048,306191,24649524,5349336,4418,186241,220166,582521,905128,117982,7446799,543307,11512,39566,70710,4856696,31767,8031,79267,845124,1457190,25577,52199,159460,43529,39454,709,44867,241592,15766,13712,40412,18914,884399,284801,330232,113032,4249,168301,10929,65841,64160,481402,719023,255081,2072818,8695063,44208,53264,12747,3761117,82884,19051,16344,8060254,30844,43440,86679,3108,86620,24021,12491,4367,52752,77849,219992,51049,75688,15084,311837,226280,1010766,105078,4671668,10395,290221,8732,13001,593901,47797,172879,2967,12055,1155,126203,47589,1376832,12986368,2425,30165,322712,13404,359698,27332,1347,9447,0,29686,54528,0,453364,180427,5209,365091,743,1622,17546,87722,978690,14345,2800,1721458,0,17213,0,457232,43658
"20","4067_1",339,4506,706,8296,40000,167520,259250,27446970,5496358,5460,237996,263634,602699,823315,119357,7686343,1448343,8048,30258,70588,4414622,30582,9250,53548,643893,1576806,16541,7731,117414,32157,28389,0,36913,235425,23268,12581,49192,21478,552588,175260,346868,122183,2761,102728,11111,59614,50811,575248,768481,319229,2189688,63935,34414,55429,11689,3884879,77316,2693,13159,9740944,23333,42046,96467,261,102304,22124,9505,4572,32457,31019,193250,71712,54400,22143,474405,172991,868162,74658,4506248,10785,207588,12157,11554,248601,49523,62260,3362,11401,1969,90714,45939,1571423,19028498,3645,27533,408529,6100,384294,28539,1615,8267,0,30058,57580,0,422815,200206,32599,316286,133,1042,13525,75812,1177225,12247,2132,2206006,106,26320,0,176972,38260
"21","4066_4",715,8421,873,10602,81391,191521,38073,32625008,5444517,9914,69096,277643,609096,671004,118815,5175276,1260697,6051,62621,71337,5552748,63020,11250,42199,893944,1321690,12099,6116,26610,34485,53554,0,47826,385670,33741,11671,53229,26857,506252,78032,277202,68416,10694,137074,24721,41111,46884,421325,849844,243016,2346585,3240,56589,37599,19281,3992595,142326,44903,26235,13224467,27845,50480,62319,9369,86669,14671,6402,5102,47809,75006,309703,56903,96270,51615,1212851,499956,2671547,1035080,8009101,19011,249935,3542,14937,249726,44735,117882,10311,10339,3705,43995,39982,308339,29563096,11764,67331,456205,22989,328725,33732,24392,9416,2219,25267,53050,755,833710,993484,0,437318,428,413601,18093,111120,827230,12467,32959,2575814,0,40917,0,253685,16859
"22","4066_3",1154,2510,500,13385,97231,127606,170772,27115334,5350241,10853,154352,296122,492250,1144720,224296,4845236,2072247,6810,66398,82048,5143144,42241,3577,79292,435688,1729102,22631,80012,100517,62022,82902,0,55766,344356,26987,23961,88288,47926,590932,192185,523841,132049,16108,134030,14625,43834,76385,404765,857412,685971,1341186,6819,109620,108106,19548,3390188,144186,14467,13080,16078866,30928,78223,24334,4765,147548,75193,8845,4654,159348,740719,369680,467477,76276,64164,1620400,739899,3291041,2933651,6510751,19442,1417468,24741,31838,2365263,54194,1548285,9690,17130,1884,113177,54036,175325,25271358,8109,235345,424593,53877,169188,10920,18138,43604,412,14398,39682,1430,1328916,1225314,1233,22668,379,52668,31515,6725,424485,17786,3333,6402,774,34448,110,748012,24246
"23","4066_2",1217,3757,96,8195,73989,223832,43523,32409606,6714560,8674,65981,326049,517302,643277,103728,4719517,2071810,5320,49762,80076,6230740,62462,7267,29411,678194,1184741,13789,4904,26902,31612,46725,399,40840,312913,36108,8293,40836,32268,539881,68496,319538,59622,12554,48135,28360,28180,50286,380939,851287,262361,2254538,4075,40732,41331,16840,3181604,124654,47926,25082,11762113,29802,59668,81622,5189,83592,15839,4689,5687,60884,59737,288581,45928,95536,38049,601297,472802,2532127,412973,6753160,17839,212966,7373,16071,217219,43302,117566,6809,11311,800,40292,38159,255954,26672258,7357,60589,429911,62510,214920,30824,12623,9645,443,52027,41190,467,916198,1110822,0,205399,476,243582,50541,46950,436643,12199,26682,1184968,448,38246,125,209403,31756
"24","4005_3",4117,9877,586,8460,120028,311042,19070,38582652,8557337,15494,45586,306627,641547,1005004,162922,7272763,2221431,12987,60730,84149,4888001,48163,8583,24302,657761,1313280,9614,9878,22342,57334,49079,301644,40240,280784,34655,14293,32959,38243,492927,58322,208078,80734,8439,103327,20580,13426,48602,529889,1009564,388419,2160101,5940,46744,48268,12665,5119842,150092,38881,49578,13066986,35805,59861,122209,964,115863,44371,7954,14351,63870,69645,366174,47436,107765,72684,216991,182316,1046751,162375,5338892,12406,179852,5117,15742,161284,76491,48157,8649,9417,1253,23488,53780,1410024,29076156,2765,31663,435493,29193,455258,38686,2100,16263,2532,23268,37646,832,790707,942211,0,341746,379,194287,6092,127092,1325270,13422,12621,3231064,131,40681,1759,219533,26818
"25","4066_1",1228,326,387,12835,157305,160402,33951,32480778,6137600,12363,95191,320346,603377,732290,131915,4657510,1212732,2906,51432,86256,4867664,61604,9847,38774,249800,1221454,11087,32635,45432,50135,37712,0,38530,449690,36971,10049,27769,40487,709682,104597,350442,76988,9308,133372,24574,53028,45242,415195,838651,275663,2273607,2374,55823,45482,14212,4325090,140089,42094,25869,14049596,26312,58512,80325,5582,88148,24794,4846,5964,49922,176044,295918,43495,96626,47000,814376,452256,3158398,597344,7677973,14443,415173,6708,21884,683932,40876,211346,6687,7939,2176,64107,40693,171294,26642710,9302,51708,373782,58460,243030,30168,29641,9650,1506,16997,51688,321,1128424,692157,0,4885,458,512531,27603,0,602985,9385,70243,1555543,0,45348,0,679388,12564
"26","4065_4",792,6140,3,11748,61047,266191,271742,35066484,7921074,4257,86195,217704,542033,702424,170257,6229584,1862761,15478,36286,76024,5942338,32833,4035,36636,428600,1645986,40046,29916,70336,34186,49861,1208,51901,336511,23980,19377,41502,19007,395516,103222,272864,97280,13668,95612,7483,17159,67005,450033,731292,470765,3129242,11178,55950,64000,20583,2917900,62718,14158,14722,15461412,9818,27455,42798,1744,152949,94076,10147,8121,49598,83456,419699,155754,151376,142560,1942859,245478,953165,1377708,9231866,10565,175204,15936,7841,429371,89352,150412,3067,12299,3568,31216,48265,992253,27148778,12359,54552,482075,3875,552502,37239,1049,11168,182,30807,48823,0,396121,1554595,7,289519,326,16142,21592,80329,1979460,16583,3037,93488,107,6572,144,413942,34996
"27","4065_3",2486,782,886,17167,109111,142317,149291,33540024,5664556,4230,70865,172945,801656,1064768,181147,13630950,2525904,7996,33212,71933,4538675,35736,4711,53619,1162891,1695905,15072,29910,92555,61459,55326,0,50940,222399,24770,20400,45582,22507,961498,162775,660465,79550,7806,98357,10997,37957,50424,571730,732059,276965,2727214,12962,76490,64400,15439,3952210,59796,5778,14152,17494458,226742,216268,618418,7766,83928,23266,6652,11318,53402,167879,314891,158899,109332,188391,3846830,216805,840615,414390,8849842,9350,276125,6324,15501,838749,124015,153270,5827,10273,17068,53733,44705,1548480,24370672,18052,70123,286404,7855,699710,38901,1970,19350,0,22355,43160,704,545247,1646293,10,34506,586,24698,11424,2870,2161068,12439,3824,43124,534,8145,242,816688,28397
"28","4065_2",1934,837,172,13770,86577,163076,183201,37516400,6825328,4241,73820,220904,835654,875000,179764,13742413,2912826,8450,31186,74781,4157320,31411,11242,48188,817465,1834801,20650,30708,82147,45358,74546,250,43054,257461,23176,22035,59265,23803,1042064,129424,621562,106368,6792,87114,10958,16074,58667,555044,704706,377570,3281933,6121,58240,60522,17526,3373759,62832,11579,12960,16800902,117990,126722,368373,2866,124842,74339,8575,8226,43069,107883,328773,165845,111865,170938,1407212,154082,664014,399895,9204846,7045,228013,6958,14757,603888,90501,82891,5249,12020,6352,46524,44590,1337183,25435776,10722,80646,348376,16532,644335,39767,663,27223,532,27355,58922,926,492700,3109090,0,176948,517,15190,28835,24201,1867826,16625,5025,81863,221,7329,0,550666,53662
