"","Acetanaerobacterium_elongatum","Acidaminococcus_fermentans","Actinomyces_odontolyticus","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Allobaculum_stercoricanis","Alloprevotella_rava","Anaerofilum_agile","Anaeroglobus_geminatus","Anaerostipes_hadrus","Anaerotruncus_colihominis","Anaerovorax_odorimutans","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coprocola","Bacteroides_coprophilus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_helcogenes","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_plebeius","Bacteroides_salyersiae","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Barnesiella_intestinihominis","Barnesiella_viscericola","Bifidobacterium_pseudocatenulatum","Bilophila_wadsworthia","Blautia_faecis","Blautia_glucerasea","Blautia_hansenii","Blautia_luti","Blautia_producta","Blautia_schinkii","Blautia_stercoris","Blautia_wexlerae","Butyricicoccus_pullicaecorum","Butyricimonas_synergistica","Butyricimonas_virosa","Caulobacter_vibrioides","Cellulosilyticum_lentocellum","Cellulosilyticum_ruminicola","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_aldenense","Clostridium_aminobutyricum","Clostridium_bartlettii","Clostridium_butyricum","Clostridium_citroniae","Clostridium_cocleatum","Clostridium_colinum","Clostridium_disporicum","Clostridium_glycolicum","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_hylemonae","Clostridium_innocuum","Clostridium_irregulare","Clostridium_lactatifermentans","Clostridium_lavalense","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_nexile","Clostridium_propionicum","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_saccharogumia","Clostridium_scindens","Clostridium_spiroforme","Clostridium_sporosphaeroides","Clostridium_symbiosum","Clostridium_tertium","Clostridium_thermocellum","Clostridium_viride","Collinsella_aerofaciens","Collinsella_intestinalis","Collinsella_tanakaei","Comamonas_kerstersii","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Desulfovibrio_desulfuricans","Desulfovibrio_fairfieldensis","Desulfovibrio_piger","Dialister_invisus","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Enterorhabdus_caecimuris","Epulopiscium_fishelsoni","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_brachy","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_dolichum","Eubacterium_eligens","Eubacterium_fissicatena","Eubacterium_hallii","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_siraeum","Eubacterium_ventriosum","Eubacterium_xylanophilum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_equinum","Fusobacterium_mortiferum","Fusobacterium_necrogenes","Fusobacterium_periodonticum","Gemmiger_formicilis","Geobacter_sulfurreducens","Geothrix_fermentans","Haemophilus_parainfluenzae","Hespellia_porcina","Holdemania_filiformis","Hydrogenoanaerobacterium_saccharovorans","Intestinimonas_butyriciproducens","Ipomoea_purpurea","Koukoulia_aurantiaca","Lachnospira_pectinoschiza","Lactobacillus_rogosae","Megamonas_funiformis","Megamonas_hypermegale","Megamonas_rupellensis","Megasphaera_elsdenii","Metabacterium_polyspora","Methanobrevibacter_smithii","Methanosaeta_concilii","Mitsuokella_multacida","Odoribacter_laneus","Odoribacter_splanchnicus","Oribacterium_sinus","Oscillibacter_valericigenes","Oxalobacter_formigenes","Parabacteroides_chinchillae","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_gordonii","Parabacteroides_johnsonii","Parabacteroides_merdae","Paraeggerthella_hongkongensis","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parasutterella_secunda","Parvimonas_micra","Peptoclostridium_difficile","Peptococcus_niger","Petrimonas_sulfuriphila","Petrobacter_succinatimandens","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Phocaeicola_abscessus","Prevotella_bivia","Prevotella_copri","Prevotella_corporis","Prevotella_stercorea","Pseudoflavonifractor_capillosus","Pyramidobacter_piscolens","Rikenella_microfusus","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Sarcina_ventriculi","Sedimentibacter_hongkongensis","Slackia_equolifaciens","Slackia_piriformis","Sporobacter_termitidis","Streptococcus_anginosus","Streptococcus_mutans","Streptococcus_pleomorphus","Streptococcus_sanguinis","Streptococcus_sobrinus","Subdoligranulum_variabile","Sutterella_parvirubra","Sutterella_stercoricanis","Treponema_caldaria","Turicibacter_sanguinis","Veillonella_dispar","Veillonella_magna","Victivallis_vadensis"
"Y60.109",0,0,0,0,22,110,0,53,0,353,0,0,46,0,0,49,0,0,0,82,97,46,27,0,0,162,0,66,0,90,81,0,225,318,94,932,0,375,1987,0,24,0,0,11,173,0,0,131,0,0,0,0,0,106,57,0,0,0,0,0,25,0,0,0,0,0,3,129,0,0,0,0,0,0,202,21,147,44,0,0,368,0,0,15,0,67,0,0,0,68,94,0,0,0,0,0,0,0,894,0,0,0,0,54,91,469,0,0,0,0,0,0,158,17,180,76,6449,0,149,0,309,145,0,7,123,0,119,271,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,125,0,363,0,14,1236,64,0,0,807,0,425,0,513,0,0,0,0,0,0,207,0,0,0,34674,0,743,0,0,0,3105,138,1511,218,0,0,5127,629,0,0,0,395,531,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y60.120",0,0,0,0,0,28,0,38,0,0,0,0,0,0,0,566,12,0,0,1841,0,0,67,0,0,0,0,70,0,0,86,0,1037,21326,272,168,0,3195,26930,0,0,0,0,6,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,18,0,130,0,7,0,38,0,402,0,0,0,0,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,91,0,0,0,0,0,0,7,42,76,0,0,0,0,0,0,0,0,0,0,7413,224,0,0,59,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,1689,0,0,558,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,213,0,24,0,0,0,41,0,0,0,0,0,11,0,0,292,0,187,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y80.147",0,24,0,0,15,0,0,321,68,9,0,0,0,0,0,113,0,0,0,350,0,0,19,109,0,0,533,90,0,0,77,0,219,82,0,280,0,262,2030,0,27,0,0,45,120,0,0,24,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,13,0,0,129,0,0,0,0,0,0,106,0,41,0,0,0,17,0,0,0,0,0,0,0,0,0,229,0,0,0,0,84,0,74,0,0,0,0,17,0,141,49,0,77,0,0,0,0,55,0,431,0,466,0,25,0,174,479,21,0,25,0,3818,49,0,0,0,0,0,398,0,0,0,0,10,0,0,0,0,0,0,7375,0,86,1298,0,0,0,0,0,96,5,256,0,0,327,0,0,0,287,0,270,0,49,34,0,0,0,0,0,279,13,0,0,45065,0,35,0,0,0,96,162,0,1683,0,0,0,0,10,26,276,97,189,0,0,0,0,0,0,0,0,0,9,0,244,0,0,0,210,0,0
"Y80.159",0,0,0,169,31,28,0,1046,0,99,0,0,0,0,0,49,6,0,0,90,0,15,247,1580,0,0,0,0,0,0,65,0,0,2649,182,453,0,657,274,0,0,61,0,0,141,0,0,47,0,0,28,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,142,171,0,0,1992,0,0,0,92,0,13,0,12,0,13,0,0,6,0,9,0,0,0,56,29,0,0,0,0,0,0,63,31,0,0,0,0,551,53,154,0,0,0,0,0,0,1149,0,311,0,1623,0,82,15,35,335,0,118,24,0,5289,48,0,0,0,0,0,70,0,0,0,163,10,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,193,0,162,0,0,282,0,0,0,212,0,0,0,0,0,0,0,7,0,0,212,8,0,0,32528,0,0,0,0,0,1571,350,182,2026,0,0,1185,0,750,0,434,190,36,0,0,0,0,47,0,0,0,0,0,0,1039,0,0,0,0,0,0
"Y80.167",0,0,94,0,0,0,0,18,0,28,0,0,10,0,0,151,0,0,0,69,159,0,76,0,0,0,246,60,0,0,7485,12,522,474,0,845,2,1746,1590,0,38,0,0,104,367,0,0,529,0,0,136,155,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,555,0,0,116,177,27,0,104,0,0,0,42,0,43,0,0,73,0,0,19,0,0,102,596,0,0,0,0,0,240,261,0,0,0,243,0,0,736,967,0,0,0,0,662,0,773,0,371,6,0,0,279,0,28,182,0,0,316,0,1964,85,0,0,0,0,0,38,0,0,0,0,20,0,0,0,0,0,0,184,0,0,0,0,16,0,0,0,0,0,0,0,0,659,126,0,61,432,0,11,0,0,0,0,0,0,0,0,0,0,0,0,143,8,3125,0,0,0,0,0,195,2944,20,0,186,0,0,328,29,1416,2723,0,0,0,122,0,0,14,0,0,0,0,0,47,0,0,0,0,0
"Y80.191",0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,614,0,0,837,0,0,0,46,21,0,0,0,2948,0,30,91,0,0,7057,0,1407,0,3007,21446,876,0,0,0,0,346,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,58,0,0,0,0,0,827,0,0,0,0,70,0,22,0,139,933,0,0,10,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,622,3,0,0,6,0,0,54,0,0,0,0,4452,212,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,215,28,0,0,0,0,0,0,0,0,0,240,0,0,0,186,0,47,147,0,0,0,0,0,37,0,0,0,0,0,1220,0,1921,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y80.194",0,473,0,183,0,11,0,0,0,0,0,0,0,0,0,332,0,0,103,18,0,0,31,76,0,0,0,1128,81,0,57,102,0,107,0,3359,0,4975,29659,0,0,0,350,304,149,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,708,0,0,14,0,0,0,0,0,26,1511,0,0,0,0,0,12,0,0,0,0,1166,0,0,519,0,0,0,0,0,0,0,0,82,0,0,0,0,381,0,27,39,0,0,5,0,72,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,118,0,0,3999,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,155,0,33,0,0,0,48,0,0,20,0,0,226,0,0,1390,87,389,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y80.201",0,0,21,17,0,0,0,15,0,0,20,0,0,0,0,664,0,0,378,0,0,0,32,0,888,0,0,21427,0,0,77,0,0,100,0,2583,120,82,6983,92,5,0,0,0,992,0,3373,0,435,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,2209,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,191,655,0,0,0,0,0,51,0,0,0,0,62,52,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,60,0,0,0,2690,0,284,30,12,0,0,0,0,4095,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y100.213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,440,0,0,0,0,0,0,0,0,14722,0,0,83,0,6541,72,0,0,0,8209,275,1313,0,0,0,123,139,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,93,95,0,55,0,0,0,302,0,5375,0,0,0,0,0,0,13,86,26,128,0,0,0,0,0,0,0,6,0,0,201,0,0,0,0,0,31,0,376,0,0,0,0,0,0,63,10,143,23,2659,0,71,53,0,7359,0,0,17,0,4520,643,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,664,0,748,0,0,419,0,0,0,15,0,0,0,36,30,0,0,0,0,0,0,14,0,0,277,0,0,0,0,0,512,482,0,2412,0,62,40,1008,0,0,0,196,892,470,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
"Y100.218",0,0,0,0,14,24,0,1656,0,0,0,0,0,0,0,251,0,0,0,356,0,0,90,0,21,0,390,71,0,24,6246,0,146,4224,74,1232,0,1062,8405,0,782,0,0,0,145,0,0,92,0,0,82,0,0,0,220,0,0,0,0,0,0,0,112,0,20,0,0,713,0,0,0,0,0,66,75,0,0,0,0,0,0,0,0,0,25,51,0,0,0,0,113,0,145,0,0,0,17,651,0,0,0,35,0,0,159,1117,0,0,0,0,0,0,223,0,55,22,1190,0,97,0,65,3149,0,0,26,0,3075,127,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,391,0,480,0,0,540,0,0,0,386,0,0,0,0,132,0,0,0,0,0,0,0,0,0,18687,0,19,0,0,0,392,0,0,3192,0,0,3177,108,0,213,1167,283,2112,0,0,0,0,0,0,0,0,0,0,0,1985,0,0,145,0,0,27
"Y100.219",0,78,16,0,0,474,0,2456,59,1089,0,0,0,0,0,111,73,0,56,419,0,0,64,0,0,0,0,46,0,0,3120,32,89,127,0,4217,0,6251,10069,0,432,0,0,273,97,0,0,51,0,0,0,0,6,0,665,0,0,0,0,0,93,112,0,0,0,0,0,0,0,0,45,0,0,0,331,0,0,999,0,0,87,0,0,0,0,31,0,0,0,0,909,0,56,0,13,0,100,143,424,0,0,411,0,0,606,500,0,0,0,0,1150,0,128,0,383,0,203,0,139,37,0,683,0,0,76,0,2576,0,0,0,0,0,0,46,0,0,0,0,0,0,188,0,0,0,556,21,0,0,0,0,0,0,0,0,119,0,2562,0,0,1326,67,0,318,664,0,0,0,0,20,9,0,46,0,0,1193,11,0,0,502,0,680,0,0,0,1134,0,363,1261,0,0,20,27,121,0,0,133,877,0,0,0,0,0,0,38,0,0,0,0,0,1342,0,0,0,0,24
"Y100.220",0,0,0,0,285,135,0,498,0,348,0,0,0,0,0,12,24,0,0,2517,0,117,64,0,0,2502,0,15174,0,0,4460,42,149,123,0,139,0,4812,4136,0,55,0,0,15,170,0,0,468,0,0,0,0,0,0,1244,0,0,0,97,0,40,0,0,0,0,0,0,0,0,0,2425,0,122,0,131,0,10,795,0,0,13,0,0,0,0,73,0,0,0,0,111,0,16,0,293,0,153,110,897,0,0,381,0,0,133,339,0,0,0,0,0,0,0,12,70,50,271,0,173,32,38,2603,0,0,27,0,2003,32,0,0,0,0,0,332,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,1399,0,0,874,0,0,0,534,0,0,0,0,0,0,0,0,0,0,672,0,0,41,180,0,0,0,0,0,0,0,122,81,0,0,1403,96,0,36,282,270,1968,0,0,0,0,93,0,0,0,0,0,0,0,14,0,0,0,0,105
"Y100.221",0,21,0,0,0,32,0,0,0,341,10,0,20,4,0,28,9,0,0,181,0,0,20,380,0,0,322,0,0,27,62,0,0,588,0,761,0,360,2147,0,120,0,0,11,141,0,0,77,0,0,97,0,0,0,130,0,0,0,0,0,0,39,0,0,0,0,0,54,0,0,6,0,0,0,101,0,46,0,55,0,10,0,0,0,0,15,0,0,0,54,162,0,0,0,0,0,26,226,93,0,0,163,0,0,478,400,0,0,0,0,246,0,623,0,244,10,2181,0,106,0,89,2077,0,0,119,0,2773,0,0,0,0,0,0,232,0,0,0,0,27,0,0,0,0,0,0,24,0,0,234,0,0,0,128,0,177,0,1234,0,0,304,21,0,0,255,0,0,0,0,10,0,0,15,0,0,0,1294,0,0,27121,0,5581,0,0,26,3433,577,477,1520,0,0,33,77,422,0,0,194,252,0,0,0,0,45,0,0,0,0,0,0,0,677,0,0,0,0,8
"Y100.222",0,0,0,3512,53,106,738,1582,106,0,0,0,0,13,0,37,61,0,0,31,0,0,1782,991,0,0,28,2528,0,0,56,95,573,2560,0,124,0,356,9301,0,474,0,0,288,0,0,0,0,0,66,0,0,0,0,271,0,0,0,0,0,146,0,0,0,0,0,57,0,0,0,0,0,16,0,249,0,59,8,0,92,105,0,44,0,21,85,0,0,0,0,26,0,0,0,0,2,0,43,0,137,0,0,0,0,60,0,24,0,0,0,0,0,451,0,255,1389,0,0,0,0,54,0,0,0,0,0,1769,533,0,0,0,0,0,4814,0,0,0,0,102,0,34,0,0,0,0,7503,0,0,0,0,0,0,0,0,194,0,1091,0,0,2934,0,24,647,418,0,0,0,0,0,0,0,0,0,0,580,0,0,0,161,0,1061,59,0,0,0,0,0,57,0,0,464,14,0,995,0,236,5548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y120.232",0,0,0,1876,257,0,0,3038,0,518,0,0,0,0,0,77,12,16,0,6280,511,23,26,0,1249,244,0,0,0,307,3830,166,124,134,0,0,0,4614,0,0,61,0,0,110,189,0,0,114,0,0,0,0,0,49,793,0,0,0,0,1021,88,0,0,0,0,0,0,81,0,27,628,0,16,0,16,26,7,0,0,0,902,0,0,42,0,0,0,1344,6,48,119,0,0,0,0,53,19,21,0,0,87,0,0,0,156,80,0,0,0,20,25,0,102,341,57,17,1663,0,312,0,104,1826,0,23,51,0,780,115,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,479,0,99,0,0,3562,131,258,0,444,0,5,0,17,70,0,0,56,0,0,212,0,2,0,179,0,55,0,0,0,509,0,34,66,0,0,664,7,0,40,22,1205,255,0,12,0,0,194,35,0,0,0,0,0,0,0,0,35,0,0,283
"Y120.233",0,0,21,6,0,0,0,16,0,0,0,377,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,325,0,0,16,0,0,45,0,0,0,141,151,0,24,0,0,0,728,0,0,202,0,0,0,0,0,0,0,0,0,142,0,0,0,0,462,0,0,0,0,715,0,0,363,0,0,185,0,0,96,0,0,0,26,0,226,0,104,0,0,0,0,0,545,0,0,0,0,0,154,134,112,0,0,0,342,0,105,272,0,0,0,170,0,0,125,0,28,0,0,0,265,0,123,1683,0,76,121,0,931,58,0,0,0,0,0,88,0,0,0,52,0,0,40,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,156,9,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,101,0,22,0,11,0,231,254,0,150,0,0,1505,0,0,4299,182,901,61,0,0,0,0,25,0,0,20,0,0,0,0,0,0,163,0,0,0
"Y120.241",0,0,0,0,0,19,19,2860,0,1523,0,0,0,0,0,5,127,0,0,560,78,0,1209,0,0,0,0,203,0,295,9615,366,305,54,0,6696,0,4264,10092,0,1241,0,0,53,154,0,0,0,0,0,0,0,0,35,173,0,0,0,9,0,24,17,0,0,0,0,0,430,0,0,136,0,25,35,31,25,1687,0,124,53,51,0,0,48,0,0,36,0,0,0,0,0,0,0,0,0,0,0,13,0,0,210,0,0,34,148,0,0,0,0,0,0,0,0,58,33,53,0,0,0,0,93,0,0,18,0,4279,147,0,0,0,0,0,0,0,0,234,0,20,0,66,0,0,0,0,12,0,0,0,5,0,0,0,0,575,0,227,18,39,979,318,65,413,382,0,0,0,4,0,0,0,24,0,0,155,0,0,0,379,0,8,0,0,0,2130,0,0,1550,0,0,3648,0,0,86,0,22,1161,0,0,0,0,0,0,0,0,0,0,0,272,0,0,37,44,0,59
"Y120.243",0,0,0,3,0,0,0,496,0,44,0,0,0,0,0,14,0,0,0,140,32,0,58,47,184,83,76,60,0,0,11000,0,0,685,0,392,0,735,3528,0,70,0,0,439,291,0,306,338,0,0,0,47,0,0,13,116,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,21,0,89,0,0,0,91,0,55,0,0,57,0,119,0,0,0,0,42,0,0,0,0,0,0,957,35,0,0,0,0,0,942,2578,0,0,0,0,0,0,422,0,1291,142,172,0,0,0,58,480,0,0,0,0,3215,0,44,0,166,0,0,391,493,10,3,5,54,0,0,0,4,0,0,229,0,0,0,0,0,0,0,0,46,0,56,0,0,311,0,0,0,198,0,16,1326,7,0,0,0,0,19,7,36,0,0,0,4068,0,49,61,0,0,0,0,7596,509,0,0,77,0,0,2547,0,1077,2068,0,0,0,0,0,0,0,0,0,0,200,0,325,24,0,0,0,0
"Y120.244",12,0,0,0,23,284,0,0,176,335,0,0,0,20,0,0,70,0,268,1471,170,0,12,20,0,0,0,0,0,0,3365,3600,5338,924,0,1622,0,3327,26252,437,632,0,0,216,0,145,0,0,0,0,0,0,0,0,881,0,0,0,0,0,23,0,0,0,45,0,0,9,0,59,55,0,75,0,59,270,900,0,1170,58,564,0,0,146,0,171,329,0,0,52,0,0,0,0,0,0,0,0,0,0,0,533,0,0,7,14,0,0,0,0,0,23,0,0,110,0,0,57,0,0,0,86,0,0,0,0,57,1215,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,1188,0,0,1733,48,0,0,327,0,0,0,0,0,0,32,0,0,0,398,0,0,0,332,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1759,0,287,536,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y120.246",0,0,0,332,165,284,0,3198,0,312,12,0,0,0,0,29,6,8,0,207,267,0,0,0,0,0,0,561,0,0,514,0,99,3885,0,567,0,1967,2877,0,1420,0,0,92,118,0,0,140,12,0,0,0,0,127,402,0,0,0,0,0,0,0,41,0,0,0,18,115,0,0,52,0,28,0,0,49,418,0,31,0,72,0,0,0,0,43,0,0,0,0,897,0,0,0,0,0,10,26,21,0,0,274,0,0,400,272,0,0,0,0,1125,0,151,0,100,0,0,0,64,0,73,1398,0,0,0,0,2499,46,0,0,0,0,0,440,0,0,0,0,0,5,0,0,0,0,0,504,0,0,0,0,0,0,0,0,267,0,385,20,0,586,36,0,0,353,0,260,0,25,76,0,0,38,0,0,249,0,0,0,22797,0,28,0,0,0,2451,275,0,347,0,0,3001,779,17,87,0,144,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
