"","Acidaminococcus_fermentans","Acidaminococcus_intestini","Actinomyces_odontolyticus","Adlercreutzia_equolifaciens","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Alloprevotella_rava","Anaerostipes_butyraticus","Anaerostipes_caccae","Anaerostipes_hadrus","Anaerotruncus_colihominis","Anaerovorax_odorimutans","Bacteroides_barnesiae","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coagulans","Bacteroides_coprocola","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecichinchillae","Bacteroides_faecis","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_pectinophilus","Bacteroides_plebeius","Bacteroides_salanitronis","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Bifidobacterium_adolescentis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bifidobacterium_stercoris","Bilophila_wadsworthia","Blautia_coccoides","Blautia_glucerasea","Blautia_hansenii","Blautia_luti","Blautia_producta","Blautia_stercoris","Brachyspira_aalborgi","Butyricicoccus_pullicaecorum","Butyricimonas_virosa","Butyrivibrio_crossotus","Carnobacterium_divergens","Carnobacterium_maltaromaticum","Catabacter_hongkongensis","Catenibacterium_mitsuokai","Christensenella_minuta","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_algidixylanolyticum","Clostridium_aminophilum","Clostridium_bartlettii","Clostridium_bolteae","Clostridium_cellulosi","Clostridium_chauvoei","Clostridium_citroniae","Clostridium_clostridioforme","Clostridium_disporicum","Clostridium_fusiformis","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_lavalense","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_neonatale","Clostridium_nexile","Clostridium_paraputrificum","Clostridium_propionicum","Clostridium_ramosum","Clostridium_scindens","Clostridium_spiroforme","Clostridium_stercorarium","Clostridium_symbiosum","Clostridium_xylanolyticum","Clostridium_xylanovorans","Collinsella_aerofaciens","Collinsella_tanakaei","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Coriobacterium_glomerans","Dialister_invisus","Dialister_propionicifaciens","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Eggerthella_sinensis","Enterococcus_avium","Enterococcus_faecium","Enterorhabdus_caecimuris","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_eligens","Eubacterium_hallii","Eubacterium_limosum","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_siraeum","Eubacterium_tenue","Eubacterium_ventriosum","Eubacterium_xylanophilum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_mortiferum","Fusobacterium_varium","Gordonibacter_pamelaeae","Haemophilus_parainfluenzae","Holdemania_filiformis","Hydrogenoanaerobacterium_saccharovorans","Intestinimonas_butyriciproducens","Lachnospira_pectinoschiza","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_mucosae","Lactobacillus_reuteri","Lactobacillus_rogosae","Lactobacillus_sakei","Lactobacillus_salivarius","Lactococcus_lactis","Lactonifactor_longoviformis","Megamonas_hypermegale","Megasphaera_elsdenii","Megasphaera_micronuciformis","Mitsuokella_jalaludinii","Odoribacter_laneus","Odoribacter_splanchnicus","Olsenella_uli","Olsenella_umbonata","Oscillibacter_valericigenes","Oxalobacter_formigenes","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_merdae","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parvimonas_micra","Pediococcus_acidilactici","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Prevotella_copri","Prevotella_stercorea","Pseudobutyrivibrio_ruminis","Pseudoflavonifractor_capillosus","Rikenella_microfusus","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Selenomonas_bovis","Slackia_isoflavoniconvertens","Sneathia_sanguinegens","Solobacterium_moorei","Streptococcus_anginosus","Streptococcus_australis","Streptococcus_gordonii","Streptococcus_mitis","Streptococcus_mutans","Streptococcus_oralis","Streptococcus_parasanguinis","Streptococcus_pasteurianus","Streptococcus_pleomorphus","Streptococcus_salivarius","Streptococcus_thermophilus","Subdoligranulum_variabile","Sutterella_stercoricanis","Sutterella_wadsworthensis","Terrahaemophilus_aromaticivorans","Turicibacter_sanguinis","Varibaculum_cambriense","Veillonella_parvula","Veillonella_ratti","Victivallis_vadensis","Xylanibacter_oryzae"
"SC003-T5",0,0,0,0,0,24,0,0,352,49,0,0,0,0,0,388,0,0,0,0,0,0,0,714,0,292,0,0,0,72,0,0,0,0,0,0,0,0,0,127,1049,0,45,0,0,0,157,0,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,222,54,0,0,0,0,22,0,9,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,220,251,0,0,0,296,0,0,9,85,2153,0,178,0,0,10,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,393,0,0,0,0,0,77,0,0,0,164,0,0,0,0,0,0,0,32,0,83,0,90,372,0,0,227,0,0,385,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC003-T6",0,0,0,41,0,0,0,0,153,0,0,0,0,0,0,396,0,0,0,0,0,0,0,2121,0,259,0,0,0,57,0,0,0,41,0,0,0,0,0,67,920,0,169,0,0,0,143,0,0,0,0,0,0,694,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,1260,0,0,0,138,2323,0,245,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,231,0,0,0,0,0,165,0,0,0,170,0,0,0,34,0,0,0,93,0,106,0,964,431,0,0,316,0,37,219,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC007-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,5333,0,1489,0,0,0,793,0,0,46,0,0,0,636,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,114,0,0,0,0,0,0,139,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,44,0,0,126,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,3290,93,586,0,0,0,180,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,20,0,63,0,0,0,0,648,0,98,0,0,0,0,0,59,0,0,0,0,0
"SC007-T2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,3848,0,1282,331,0,0,880,0,0,0,0,0,0,1117,0,0,0,0,0,0,31,39,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,112,0,0,0,0,30,0,0,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,66,0,76,0,0,0,0,0,0,0,108,925,0,0,0,0,0,0,0,0,1532,107,770,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,2844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC007-T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,5506,0,1265,149,0,0,847,0,0,31,0,0,0,588,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,41,0,0,0,0,0,0,0,0,52,0,0,0,26,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,42,0,0,0,0,66,525,0,0,0,0,0,0,0,0,3172,44,171,0,0,0,0,0,0,0,311,0,0,80,0,466,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,283,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,44,0,0,0,0,0,0,0,0,0,0,0
"SC007-T4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,4707,0,1505,301,0,0,795,0,0,0,0,0,0,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,210,0,70,0,0,0,0,0,0,0,189,784,0,0,0,0,0,0,172,10,3598,103,198,0,0,0,0,0,0,0,245,0,0,0,0,261,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,219,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,7,0,0,0,0,471,0,150,0,0,0,0,0,0,0,0,0,0,0
"SC007-T5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,3390,174,3039,546,0,0,973,0,0,195,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,34,11,0,0,16,0,11,0,0,0,0,38,0,0,0,0,0,0,0,80,0,0,431,0,116,0,0,0,0,0,0,0,73,287,0,0,0,0,0,0,0,0,584,123,43,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,337,0,27,0,0,0,0,0,0,0,11,0,0,0,58,404,0,57,0,0,0,0,0,0,0,0,0,0,0
"SC007-T6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,3101,74,2528,309,0,0,1360,0,0,0,0,64,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,17,0,0,0,0,0,0,0,0,11,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,159,318,0,0,0,0,0,0,0,0,0,94,489,0,0,0,327,0,0,0,0,82,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,467,0,80,2216,0,0,0,0,0,0,0,0,0,0,49,201,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC012-T1",0,0,0,0,0,0,0,140,69,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,290,0,0,0,0,126,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,996,0,0,0,0,0,533,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,43,0,88,0,0,41,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,186,0,0,0,105,0,0,0,0,0,0,0,169,0,0,0,83,0,0,46,0,0,0,29,10,2360,46,371,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,53,0,47,12,0,181,20,157,55,0,66,855,251,0,0,0,0,233,133,0,0,0,0,0,0,0,0,0,0,14,0,0,0,48,0,0,0,0,0,0,0,0,0,0
"SC012-T2",0,0,0,0,0,0,0,116,62,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,47,44,0,30,0,0,0,0,56,820,0,0,0,0,0,136,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,111,67,0,2503,14,189,0,0,0,49,0,0,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,85,0,1103,0,0,0,0,414,0,306,0,0,38,790,209,0,0,0,0,94,0,0,0,0,0,0,0,10,0,0,0,57,0,0,39,0,52,0,0,0,0,0,0,0,0,0
"SC012-T3",0,0,0,0,0,0,0,454,70,0,0,0,0,0,0,398,0,0,0,40,31,0,0,0,320,0,0,0,0,76,0,0,0,69,0,0,0,0,0,133,0,0,0,0,0,0,43,515,0,0,0,0,0,106,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,268,0,0,0,113,0,0,0,0,0,0,0,47,0,0,425,52,0,0,50,0,0,0,82,36,2528,92,295,0,0,12,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,72,23,0,0,242,0,0,0,0,0,0,0,0,0,77,0,268,0,0,28,0,303,0,131,86,0,124,1030,127,0,0,0,41,332,103,0,0,0,0,0,0,8,0,0,0,49,0,0,145,0,0,0,0,0,0,0,12,0,0,51
"SC012-T4",0,0,0,0,0,0,0,156,93,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,336,0,0,0,0,127,0,0,0,0,0,0,0,0,65,219,0,0,0,0,0,0,0,185,0,0,0,0,0,232,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,46,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,345,0,0,0,57,0,0,0,0,0,0,0,0,0,0,77,179,0,0,0,0,0,0,42,0,2806,74,331,0,0,0,0,0,0,8,152,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,51,0,134,0,0,18,0,501,19,377,349,0,53,855,157,0,0,0,43,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,30
"SC012-T5",0,0,0,0,0,0,0,82,51,0,0,0,0,0,0,275,0,0,0,0,13,0,0,0,270,0,0,0,0,67,0,0,0,104,0,0,0,0,0,70,0,0,0,0,0,0,30,437,0,0,0,0,0,278,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,22,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,52,0,0,0,212,0,0,0,82,8,0,0,0,0,0,0,123,0,0,57,49,0,0,35,0,0,0,107,14,2482,37,229,0,0,0,31,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,165,0,0,0,0,0,0,0,0,0,75,0,726,0,0,0,0,403,19,137,43,0,22,903,133,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,52,0,0,95,0,0,0,0,0,10,0,0,0,0,60
"SC012-T6",0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,291,0,0,0,52,9,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,146,0,240,0,0,0,0,59,225,0,0,0,0,0,455,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,6,0,9,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,8,0,0,0,0,0,0,108,0,0,136,60,0,0,31,0,0,0,53,0,2738,0,330,0,0,0,175,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,196,0,671,0,0,0,0,606,0,995,584,0,125,630,149,0,0,0,26,279,0,0,0,0,0,0,0,0,0,0,0,26,0,0,554,0,0,0,0,0,125,0,29,0,0,63
"SC017-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,277,0,0,0,312,0,1536,3875,0,0,0,0,0,424,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,296,0,0,50,1985,0,0,53,0,824,0,501,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,400,0,0,0,0,0,0,36,0,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,224,0,0,0,0,0,0,0
"SC017-T2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,454,0,1678,2971,730,0,0,0,0,463,0,0,44,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,37,0,0,0,0,0,0,0,0,106,0,0,0,311,0,0,0,291,52,0,0,0,0,0,0,0,0,0,0,276,0,0,124,2640,0,0,111,0,776,0,545,0,0,6,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,466,0,109,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,119,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,147,0,0,0,0,0,0,0
"SC017-T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0,416,0,1336,2914,401,0,0,0,0,177,0,0,0,0,0,0,318,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,2,0,0,0,0,35,0,9,0,0,0,0,0,0,0,0,75,0,0,0,218,0,0,0,303,24,0,0,0,0,0,0,0,0,28,0,318,0,0,122,1196,0,0,0,0,876,45,560,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,54,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,51,0,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,164,0,142,0,3,0,0,0,0,0
"SC017-T4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,0,305,0,0,0,314,0,1195,2849,0,0,0,0,0,192,0,0,28,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,232,30,0,0,0,0,0,0,0,0,38,0,345,0,0,90,2460,0,0,90,0,986,0,379,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,379,0,49,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,679,0,0,0,0,0,0,0,0,187,65,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,122,0,181,0,0,0,0,0,0,0
"SC017-T5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,477,0,0,0,0,0,398,0,1870,3515,0,0,0,0,0,238,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,27,0,0,0,0,0,0,0,0,139,77,0,0,249,0,0,0,176,47,0,0,0,0,0,0,0,0,61,0,221,0,0,60,1689,0,0,145,0,1279,27,307,37,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,105,0,68,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,52,0,276,34,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,219,0,15,0,0,0,0,0
"SC017-T6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,223,0,0,0,474,0,1326,3870,1080,0,0,0,0,159,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,71,0,0,223,0,0,0,234,0,0,0,0,0,0,0,0,0,41,0,196,0,0,57,1544,0,0,161,0,584,31,74,102,0,7,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,87,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,217,0,0,0,0,0,0,0
"SC018-T1",0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,49,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,69,0,47,0,34,245,0,0,20,428,47,0,0,0,0,0,0,55,20,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,680,0,52,52,0,0,0,0,0,0,0,143,0,35,0,0,0,0,0,0,0,0,41,268,0,6,0,0,0,80,0,0,48,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"SC018-T2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,51,36,0,0,57,133,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,139,0,0,0,0,191,0,0,0,552,41,33,0,0,0,0,0,38,18,0,0,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0,699,0,36,27,0,0,0,0,0,0,0,230,0,202,0,0,0,0,27,0,0,0,24,269,11,0,0,0,0,318,0,0,55,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0
"SC018-T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,56,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,77,0,0,55,378,45,240,0,0,0,0,0,33,0,42,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,583,0,130,13,0,0,0,0,0,0,0,164,0,27,0,0,0,0,101,40,0,0,14,398,0,0,71,0,0,223,5,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,81,0,0,0,0,0
"SC018-T4",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,12,0,0,0,0,0,0,0,54,0,0,64,35,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,139,0,0,0,0,0,0,72,0,0,0,0,0,0,54,0,0,74,0,0,0,424,39,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,741,0,148,0,0,0,0,0,0,0,0,152,0,38,0,0,0,0,23,0,0,0,12,172,0,0,86,0,0,0,0,0,26,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"SC018-T5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,53,0,0,132,55,0,0,0,0,0,0,262,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,39,0,0,32,0,0,0,0,0,0,21,0,0,51,0,0,0,111,0,322,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,298,134,0,0,0,0,0,0,0,164,0,4,0,0,0,0,17,0,0,0,16,293,8,0,0,0,0,241,39,0,41,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0
"SC018-T6",0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,64,0,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,18,0,0,0,0,0,0,0,0,22,0,0,0,80,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,53,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,59,180,0,0,3,0,0,0,28,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1045,0,343,255,0,0,0,0,0,0,0,115,0,0,0,0,0,0,24,0,0,0,16,221,8,0,0,0,0,161,245,0,65,0,0,0,0,0,0,10,0,0,0,0,327,0,0,0,0,0,211,0,0,0,0,0
