"sample_id","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","alanine","arginine","asparagine","aspartate","citrulline","gentisate","glutamine","glycine","histamine","histidine","homovanillate","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indolelactate","isoleucine","leucine","lysine","methionine","methylimidazole acetic acid","N6-acetyl-L-lysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","quinolinate","serine","taurine","threonine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9033-D_S",787951,5412924,542,12844,150785,1810573,40381,18982056,84410,1681605,1176957,11073,155,111461169,4331967,665,166004,54059,1198355,2809360,77511986,145259684,934211,136124,2801261,5183,27398793,92710593,1465479,17922,3895558,3931203,11531,275383,54755,53989153,29145383,30543,145683873,NA
"9033-E_S",817713,4353731,348,12553,136236,1766668,43660,16044283,99957,2121306,1233999,12123,22,131373590,4018797,683,204279,53353,598052,2711055,76920774,147190879,1078779,136366,3489579,5876,30023894,83176134,1160443,20053,4599125,3905516,14008,262172,70168,54795266,34241638,29218,161533696,NA
"9032-A_S",831309,7235688,770,9051,91407,1549421,46862,17027139,63701,NA,1085396,12378,3178,76832851,2515247,711,95203,45877,NA,1699498,97254003,143975520,1104628,131971,NA,6347,21034790,96061091,1389783,11836,2806470,4348429,16832,240288,68566,51477658,25571315,45564,163500932,284369
"9032-B_S",755813,6069822,568,8173,85429,1428234,35984,15287426,64148,NA,1010524,9996,389,73809991,2478689,826,83132,51862,NA,1460162,75377975,142764034,698695,112304,NA,6023,19652466,99856954,689874,7905,1974152,4015194,16624,221995,52245,49295521,21579377,29635,127517162,250056
"9032-D_S",1017637,5478779,902,12397,111083,1632031,46481,16419486,73761,39577,1128495,12334,1145,80191780,2483278,778,88760,46538,208767,1512656,96932645,158544159,1101310,123322,14376,6461,20729087,94724791,900729,12066,2831760,2921962,16535,215395,67342,52408462,25372197,40666,165846487,327931
"9032-E_S",441309,4485304,245,12082,151797,1845827,45781,13890681,75930,304157,1185336,12346,749,98258644,2000202,1628,70011,38978,1184141,1417103,120521086,182910612,883453,167520,2159688,5370,20163953,114224989,641636,16172,2752227,5835052,15190,233786,58685,90409755,23979893,46573,169715138,135386
"9031-A_S",142977,5910469,355,14407,112477,1973863,57223,13616720,107551,2093020,1224766,22391,30,117524108,1635642,2561,96587,73673,NA,1546323,82640694,132134729,981715,126728,8297,7206,34115078,86811415,1197668,21984,3030369,3220120,31500,324105,67826,43621136,21072889,36755,129925982,NA
"9031-B_S",NA,6097366,166,16164,210095,1895656,53689,13459514,106030,622974,1402959,28954,12,117233136,2731020,2178,103866,62096,NA,1818731,72595437,127144897,1080145,168657,5746,8010,30813017,101027069,2509149,54426,4033769,2374215,30558,404441,77552,58238669,29837461,30772,120927602,NA
"9031-C_S",NA,5179537,NA,10540,187883,1772119,54955,15002638,77208,NA,1375297,33139,17,109128652,2534118,2339,73933,74908,NA,1221928,71752844,112057764,965380,171408,4117,6781,30662512,90781765,804277,13109,3999996,2129667,29957,371417,81286,49508460,25611390,67117,106169909,NA
"9031-D_S",196290,5611709,100,16024,130670,1440459,44143,12345663,80559,4650958,1098402,19139,NA,105811583,2382854,2113,101255,75134,6943882,1366397,55498943,99657783,798936,116628,60951,7315,23673257,85470846,1150387,79789,2659888,1652025,23211,413823,51571,48318311,23540418,120762,101738851,NA
"9030-A_S",661507,7441036,234,10256,116936,1944067,47554,15985714,85002,1269909,1075930,14654,3436,90381377,2372049,1313,83440,47146,391543,2099686,109648000,175135971,980699,152995,2654462,6051,26762418,117973438,928125,16487,3042622,3227862,24832,279393,87329,77612565,19909372,47511,159083214,NA
"9030-B_S",242870,2480656,59,11857,126256,2119928,52706,19495025,78632,NA,1179685,15874,1209,97638930,1720723,1000,62575,50658,NA,2041864,105711830,166987037,1121327,157683,1980259,5777,33195306,106200140,436884,18853,3157694,4170172,30901,233953,98204,66716951,18963229,63873,164558688,88898
"9003-A_S",585669,4569806,412,11544,157543,1846126,57857,7862408,84379,NA,1193060,15609,11083,104673129,2027694,695,75133,55786,NA,1871701,96652904,153916929,1147529,171957,83158,6113,22977770,102807174,1498842,17540,4896198,3704536,23511,292392,95209,76664302,23638126,189436,149210813,203229
"9030-C_S",605795,8800372,311,8802,114918,1705387,51214,14570613,40335,58033,1160746,15776,1382,93811968,2460033,440,72874,50484,NA,1884942,118824933,180877037,1071597,157802,1434335,6054,27466129,111887417,837970,17599,3351987,3598177,24621,286030,82910,66714111,19593000,46036,166797496,NA
"9030-D_S",469381,8208352,229,12022,112011,2257022,49202,13303652,83950,3563147,1184939,14264,4271,92607190,2384053,457,83754,55442,1271418,1569398,101203977,170245767,1002818,152418,1663831,5851,32028648,105367627,918302,26093,2942441,2327772,24972,284812,79236,58447645,21578219,49947,149871483,NA
"9030-E_S",749478,9735423,NA,12667,86492,1765204,37241,12896156,75370,2482642,874949,10020,2563,82380976,2516211,843,118785,61262,999403,1961284,91490632,175835082,820232,109109,387592,5905,26887880,103272395,560370,51788,2147496,2508868,16304,215405,45615,53602791,17664683,35356,148396423,81079
"9029-A_S",786934,6523997,605,7569,190600,1840496,57335,13916002,60764,23183,1267304,10939,2195,102123614,2862718,134,64103,44212,NA,2310160,97867237,160795933,1367743,151546,12751,5141,20971728,116288909,2634855,16439,3654622,2807850,14295,216408,53482,74830025,28921624,64661,161946113,329200
"9029-B_S",777893,7052607,434,6278,193048,1730407,54489,43036810,60555,73723,1311241,11541,1835,99433193,3038612,204,29297,41499,NA,2112897,100189097,155350451,1329389,143770,4583,4611,21262432,117423257,2804408,16408,3888698,2389774,14018,193692,55114,76634787,27861102,38534,163808151,NA
"9029-C_S",721063,6388343,422,7644,139446,1493711,57572,14003826,23673,17968,1275748,10866,1429,94893002,2690744,503,61259,47787,NA,1619543,104876346,156211797,1232028,137942,28069,4630,20409854,107023518,558804,12763,3321086,2888666,16348,183026,59454,53594834,25199462,68663,168163835,271874
"9029-D_S",765500,5960142,490,7294,178015,1766787,53889,13013666,57684,41971,1249916,10782,1629,95346414,3326029,310,47326,44720,326904,1822040,98138970,161377946,1344550,143083,3810,5112,22553092,108768869,1348703,16272,3547815,2583964,13119,225386,55184,62753887,29136343,49006,167065136,326971
"9029-E_S",968932,8216701,495,7052,128689,1727531,52959,12932930,60378,694125,1129067,10148,1409,99923137,2784363,682,65304,47265,857160,2430146,95983358,184681778,1234909,127999,2192535,4843,23684005,113034589,1433173,31394,2264019,3045396,16871,228306,52684,61965192,25788788,39827,187432490,416532
"9027-C_S",NA,5430696,NA,12098,151555,2234883,85298,17754183,75196,NA,1415806,25734,96,121375315,1840147,373,100482,55198,NA,1490832,74325200,120971117,834613,137727,5831,4970,26844821,89547891,812344,272782,2613949,2312482,28651,185771,115600,53332454,20838805,21800,113730997,NA
"9003-B_S",660826,4498979,294,10008,147476,1863373,62264,12001458,83913,NA,1193615,15881,1543,117489077,2042433,745,78841,49469,NA,2003748,93148347,144986456,1223180,175567,163425,5361,24012730,105692470,1540876,17712,5184737,4155329,23517,301429,95196,98477277,19411158,61831,148389695,162886
"9027-D_S",NA,4745681,189,14826,119328,2311279,66246,25949844,72594,6814385,1250892,15042,156,112426993,1759203,408,134659,50196,9747408,1511921,57459220,107166473,542111,110864,8275,5116,50610838,85083852,1101421,313966,2122130,2019649,20189,185086,85762,51037225,16104520,47571,95759317,NA
"9026-A_S",NA,5797543,NA,10404,106232,1153261,50639,11748897,56864,3914204,1076329,28558,32,71474253,1792392,591,96348,68497,33690,1245487,43438036,78840547,352362,96239,12369,4931,20555028,84059133,822205,74437,2917119,1631155,21055,223373,52128,50421868,18267102,74708,86447172,NA
"9026-C_S",NA,4802797,209,8917,139493,1457101,62144,22467919,42590,32479,1234749,35120,451,73344188,2155759,115,88740,67191,NA,1255275,71384056,99261638,597005,134445,8841,6171,29626437,101548139,868332,21100,3761837,1568955,26127,318440,70406,54535879,25651477,87971,90955823,NA
"9026-D_S",NA,7995602,NA,6414,126236,1818160,49740,10091599,55550,339502,1233580,26652,204,75700567,1429483,217,54339,63852,1679089,685669,62880761,92090136,833445,140532,8028,5129,24636072,79210610,703914,52357,2588071,1044568,24614,265101,58632,41601806,17137546,28466,89304201,NA
"9025-A_S",613169,5224397,NA,13189,155901,1553218,59103,15871628,83477,NA,1056115,13343,68,98449466,2401830,450,155737,44572,NA,2104753,75625479,127908565,975045,137874,13020,4852,16166513,93254994,1006442,31139,3795785,2598518,14869,231864,72287,63226710,22097526,19728,132174952,NA
"9025-C_S",358237,5802679,192,6980,121421,1340935,65204,24871895,64151,NA,1191134,14239,55,119086553,2629666,888,121336,52355,NA,1455503,72948286,132417515,946300,151109,43621,4941,17789442,95700871,1059760,26529,4113320,2774480,17810,207440,65285,49203495,22982254,28654,146910747,NA
"9025-E_S",313324,4614135,73,6544,153934,1838117,54088,14290113,84225,1224183,927359,17743,18,97746728,2003419,211,112037,54915,3018473,1337197,74153193,114105195,705304,103948,617809,4415,21749222,65682516,408483,24838,3621231,1369174,14706,231776,70926,36784215,17752556,30883,135572782,NA
"9024-A_S",530361,5071324,383,15178,140156,1866247,39329,14566877,91951,NA,1164058,13082,216,86038837,2817001,872,75407,45895,NA,1365021,94623277,144576188,1291048,173123,5067,4824,24814973,100200184,944741,20316,4126320,2578617,20986,211111,81297,70263732,32498564,59100,165018509,NA
"9024-B_S",397027,4369895,543,16529,134578,1768387,40647,21094563,90992,NA,1275365,12254,370,91173523,2743281,856,69476,48664,NA,888707,99383119,146493616,1248266,158199,6901,4741,28392720,104437581,697643,22810,4232621,2920389,22226,195851,85746,65559081,33751805,57342,166191375,NA
"9003-C_S",616656,4426410,369,9928,137968,1688949,63296,14389494,62208,NA,1274657,16003,3097,118874429,2543405,809,69064,54845,NA,1979177,113858663,185183818,1321736,194308,750251,5314,25059922,115310537,1335710,19437,5986488,4889888,22820,238991,101900,93035772,26340481,64730,182271301,153066
"9024-D_S",384575,4922364,431,15194,151059,2067355,45065,10431325,90224,NA,1225973,12763,1003,94945275,3372541,1294,66811,48282,NA,1087977,96058537,153386519,1359834,176052,NA,4754,27180743,110264156,999100,25478,4254664,2910824,21781,239418,92119,67787617,38529393,77026,180181412,NA
"9024-E_S",472126,7728304,578,10164,111972,1646820,32336,18366699,77035,126133,1123352,12216,105,84967798,2609872,1654,96943,49439,NA,1210629,88079439,130203045,886909,140662,1113908,4976,22944839,99812666,986942,24481,3008558,2822136,20825,223505,53812,52671807,27131606,36531,133719019,NA
"9022-A_S",NA,3828249,112,22446,123285,1956181,56171,16296214,124237,1065296,1407562,24458,82,117446830,2180638,1430,72793,60099,NA,2725379,95887503,154806791,666912,144064,3536,7514,38540934,104274007,948302,29646,3441177,2122288,24789,253110,57832,72753595,24372835,22982,142332396,NA
"9022-B_S",525452,4010585,225,22283,185574,2384649,64823,16038312,170610,11533703,1539668,24815,29,135098995,3579209,1211,73896,63329,NA,2319136,112341072,176402639,534010,178744,10041,7451,50729531,151941471,1574092,591703,6426859,2276687,27811,246050,77510,76924581,39981539,34479,175704247,NA
"9022-C_S",274819,4108810,443,17622,150414,2072136,64285,21754103,102154,200226,1372486,28767,14,120088638,2708173,668,72978,59853,NA,2822150,105836460,181825398,890194,187342,7773,7509,39231957,118457931,1148654,23180,4187316,2657856,24067,253526,78832,83098019,30399215,26392,165872731,NA
"9022-D_S",179136,3772435,166,27405,130520,2124532,56562,15760813,110881,5256885,1446452,24022,35,116621004,2706949,394,120514,61230,17239878,2328658,82556171,152158311,826714,167339,3666,6551,35256568,112858614,1109922,27661,3311856,1734700,22403,257060,57520,65794676,27061757,47660,136638641,NA
"9019-A_S",845783,8378163,553,13596,142127,1965085,48066,17292336,110116,2312813,1180245,13829,298,107240566,4406916,1288,242395,49904,NA,6069383,95655577,167490360,1101592,153539,1289531,5336,29566655,98307192,2776067,20699,2873496,2637966,21639,280352,65789,55807945,19844390,63285,175772290,NA
"9019-B_S",667463,8810808,364,10118,117910,1852736,49391,16365734,100460,4471918,1125381,13708,710,108264961,5442637,332,178384,42576,NA,5826569,95560294,170525530,1072792,156539,1276236,4569,31116710,93785732,3599136,18572,2458153,3142569,26050,220011,70035,53706490,18606417,65987,180760461,NA
"9019-C_S",500044,8705654,172,10294,111753,1447082,49916,31326218,80327,209544,1107464,15866,490,102958306,4296142,1116,208627,52412,NA,4489444,93118648,166430610,990847,154867,852569,4527,28938624,95045129,2707536,20296,2619395,2431129,23839,214172,59647,45277636,18250894,93390,162600755,NA
"9019-D_S",620476,8243147,494,10224,103981,1734296,47155,22726447,103404,10783763,1226345,13115,NA,111331227,3770583,347,204385,51566,7965119,5179522,94174768,171382767,984896,139104,1371937,4958,29627827,91733246,2536725,21243,2470157,2598178,23193,248760,55193,48190050,17058659,58776,166972382,NA
"9019-E_S",625419,6473524,404,12238,120179,1679772,50756,24702695,101973,2812144,1178002,13854,NA,120410068,3267019,397,172012,49011,2353837,4508558,81809851,148968313,977539,136672,1078102,5447,32001491,79202488,1469796,33695,2528604,2653560,20794,309165,62804,50681534,18263135,90397,156762773,NA
"9017-A_S",NA,6718434,197,10760,180416,2095950,58931,26014943,94918,1590441,1636534,24116,211,104118234,2354659,1171,217101,52252,NA,3190979,86518848,135680363,683845,147517,5798,5467,27623414,102437367,1005570,100065,4333164,3771781,21825,312498,90792,71902551,21535037,50154,129008945,NA
"9017-B_S",249519,5830153,NA,10888,171166,1767843,55307,17436842,93140,2398838,1632236,22757,336,102991525,1646996,1270,201881,61983,NA,2066757,81042904,155356267,558310,143026,7485,5706,27203958,104623355,1596968,175359,3770658,2061984,24163,331944,81050,66710612,19931651,35564,143892971,NA
"9017-C_S",209232,5825340,294,11054,119530,1539782,57659,20326191,56179,NA,1654240,23334,163,111767558,1739238,1823,227854,55458,NA,1833413,92742717,160248283,1001735,148997,78618,6290,29288830,94888141,696115,32850,3885211,3441661,23753,335410,80010,67873946,21602583,58447,152312165,NA
"9017-D_S",382892,5962194,NA,10491,138312,1785678,51239,17334711,76792,3510622,1516994,19681,288,95171238,1878101,2191,180802,60398,2096573,1656446,82725214,143849790,515441,106700,61978,5475,30125437,98423955,1075609,223990,3754028,2624124,22469,259836,81870,58563188,20687212,48107,141505245,NA
"9016-A_S",320842,4144305,197,14022,166440,1955749,55179,15267563,106407,NA,1385603,23853,1142,110712543,1841024,446,92406,45187,NA,1159771,77411439,132258195,1459024,140519,6892,4949,25616735,84134572,1313499,23585,4239207,2255779,21458,246582,91390,54702393,25929261,57418,149159648,149112
