"sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"139A",128888832,324432,5167872,47448064,NA,4997888,NA,NA,2636800,NA,15750144,28261376,15181824,3614464,23312384,NA,10429440,NA,NA,13642752,NA,NA,13234176,3505408,3958272,NA,14898176,NA,49508352,NA,NA,1515072,NA,NA,5767936,32450560,NA,NA,7013120,10843136,NA,15496192,NA,42737664,1375104,NA,399261696,NA,NA,NA,NA,NA,NA,NA,365280,NA,NA,NA,11820032,26420224,183369728,NA,10255360,117936128,8054016,10716160,17018880,2894080,NA,NA,1223424,NA,NA,435617792,17751040,2059648,4436736,NA,NA,NA,NA,NA,NA,7943936,2233600,NA,981120,1686528,NA,16121856,NA,1565696,949120,NA,NA,NA,24448000,2143488,13124608,4194560,NA,25662464,4270336,NA,927040,1591680,NA,NA,NA,4572416,NA,NA,NA,1403518976,NA,NA,NA,31760384,NA,1353664,1297728,NA,2168064,443200,NA,NA,NA,NA,NA,783616,NA,1479671808,NA,NA,NA,NA,NA,1616256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3655424,NA,NA,NA,NA,NA,765952,NA,NA,NA,NA,NA,NA,1437204480,NA,303939584,NA,21159936,NA,6965504,1403776,NA,NA,2518784
"143A",67371008,NA,13551616,106934272,NA,2477312,4352256,NA,NA,NA,5668608,66576384,28141568,NA,25501696,NA,13698048,NA,NA,31273984,NA,NA,59265024,60301312,2496768,NA,1022016,NA,81473536,NA,NA,1218752,NA,NA,NA,279019520,NA,NA,28874752,NA,NA,139608064,NA,21780480,19607552,NA,1089863680,NA,NA,1048896,NA,NA,4885248,201584,NA,NA,NA,NA,308428800,71782400,47685632,NA,85741568,35192832,14145536,22713344,NA,2729984,NA,17614848,NA,NA,NA,550502400,NA,NA,1947072,NA,860480,NA,1547840,NA,NA,10696704,NA,3090944,NA,5281792,NA,555352064,NA,52645888,16685056,NA,NA,NA,16902144,NA,3679232,2217984,NA,48332800,22594560,NA,NA,NA,NA,NA,NA,11817984,NA,NA,NA,10175488,NA,16197632,NA,18775040,NA,2384384,1946496,NA,1483776,503584,NA,NA,NA,NA,NA,1975232,899456,137920512,NA,6694912,8098048,NA,7229440,NA,NA,NA,NA,733376,NA,NA,NA,NA,NA,1810112,345792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462944,NA,NA,NA,NA,8530944,NA,139362304,NA,10916864,NA,NA,802304,14408704,NA,881792
"145A",5516032,NA,11528192,NA,17936384,2291712,NA,NA,1120640,NA,59199488,NA,27934720,1070592,NA,NA,5503232,NA,NA,NA,5186048,19615744,NA,606464,NA,NA,6036992,NA,14509056,NA,1321280,1202304,1690688,NA,1928128,NA,5830144,NA,NA,4375808,NA,NA,7183104,NA,335616,NA,72077312,NA,NA,NA,405824,2899968,1500672,NA,NA,NA,1379840,NA,NA,NA,17283072,26903552,NA,14914560,6045440,NA,NA,1799552,4193024,NA,21551104,NA,NA,28509184,NA,NA,7320832,NA,NA,NA,2058112,3439616,NA,12040192,NA,NA,1716416,1840448,NA,NA,1008960,NA,7394048,NA,NA,NA,13176832,NA,12091392,1272768,NA,47325184,136003584,NA,NA,1143936,NA,NA,NA,133697536,NA,NA,NA,9207808,NA,NA,NA,62758912,NA,1600512,1403200,NA,1399104,NA,NA,NA,NA,NA,NA,NA,2712576,1512964096,454901760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,986624,NA,NA,NA,NA,455728,NA,1340864,NA,NA,1212416000,6388224,8699904,NA,23325696,NA,NA,NA,NA,NA,7543040
"147A",19790848,407664,9340928,21206016,NA,4220672,3850240,NA,NA,NA,14148608,73506816,29169664,2883328,8714240,NA,18265088,NA,NA,6672640,NA,NA,15644672,25752576,1561216,NA,3352320,NA,100151296,NA,NA,748928,NA,1224768,2481664,14015488,NA,NA,7453184,4989696,NA,36712448,NA,44519424,16903168,NA,895614976,NA,NA,874624,NA,NA,NA,NA,67194880,NA,NA,NA,16402432,9049088,145457152,NA,23873536,87724032,31273984,21549056,NA,2379520,NA,65515520,2221312,NA,NA,718667776,8660992,2504192,NA,NA,NA,NA,NA,4361216,10543104,18914304,5562368,2518272,1011136,4029952,NA,58683392,NA,36892672,NA,11269120,NA,NA,10351616,NA,5282816,NA,13076480,102412288,30417920,1047658496,NA,NA,NA,NA,NA,28613632,NA,NA,4060416,69554176,NA,16442368,5632000,52563968,NA,7404032,3792896,2826240,2696448,770048,116330496,NA,NA,500368,NA,4896256,781440,659750912,169754624,10710016,16587776,NA,22425600,NA,NA,NA,1500352,NA,NA,NA,5385984,NA,NA,1914816,1068224,NA,NA,1862016,NA,NA,NA,NA,1503424,810688,3054592,NA,NA,NA,NA,NA,NA,NA,303972352,NA,25375744,NA,12060672,NA,2536448,NA,11521024,NA,1750976
"151A",NA,NA,10704896,NA,136200192,15709184,NA,NA,NA,980928,132608000,NA,77434880,2312960,NA,NA,12494848,NA,NA,NA,NA,85258240,NA,NA,NA,NA,43864064,2434304,15384576,NA,NA,15747072,NA,NA,3812864,NA,3134976,NA,NA,7291136,1152512,NA,8419328,4699904,NA,NA,43106304,5200384,NA,NA,2895360,1707840,NA,NA,78471168,NA,NA,NA,NA,NA,26320896,101994496,NA,21961728,13111296,NA,NA,2774272,2042240,NA,57696256,2317312,NA,78286848,4200960,NA,13106176,NA,NA,NA,109903872,8031232,NA,22128640,NA,NA,4996096,NA,4543488,NA,2821120,NA,5516544,3265792,NA,NA,17933312,NA,28877824,2362624,NA,204128256,33433600,NA,NA,1223040,NA,NA,NA,53129216,3760384,NA,NA,165085184,NA,NA,NA,84664320,489856,4246272,13185024,NA,1754112,NA,1298368,NA,NA,NA,NA,NA,69292032,1487077376,NA,NA,NA,2496768,NA,NA,NA,NA,995776,NA,NA,NA,NA,NA,NA,NA,NA,2144000,2513920,NA,NA,NA,NA,NA,2188800,NA,NA,NA,NA,NA,422048,2368768,NA,NA,440811520,454224,18327552,1115840,43855872,4640000,NA,2027072,NA,NA,24688640
"155A",100233216,NA,12797952,8976384,NA,NA,8182528,NA,NA,NA,28015616,26633216,16162816,6064128,NA,NA,6592512,NA,NA,9056256,NA,9948160,6787584,11839488,NA,NA,6836736,NA,83734528,NA,NA,4915456,1793600,1324800,13302784,12128256,NA,NA,12902400,NA,NA,NA,5618432,18989056,4493312,NA,453050368,NA,NA,NA,NA,NA,2523136,NA,213221376,NA,NA,NA,6966784,3941376,75055104,14892032,NA,41156608,NA,NA,NA,2760192,4096512,6741248,16953344,NA,NA,266354688,7586304,NA,4404224,NA,NA,NA,1306560,NA,NA,46747648,NA,2568960,955904,7405312,NA,1806720,NA,NA,862848,NA,NA,NA,22323200,2944768,7872000,2201600,1619264,105660416,17714176,NA,NA,NA,NA,NA,NA,11594752,NA,NA,NA,13935616,NA,NA,NA,51912704,NA,1950912,NA,NA,1477760,NA,1709248,NA,NA,NA,NA,NA,NA,548274176,NA,NA,NA,NA,NA,971200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244448,NA,NA,NA,NA,509902848,NA,36036608,1497216,8153344,1668224,NA,NA,6017792,NA,3813632
"159A",NA,NA,3713280,NA,59826176,4678144,NA,NA,NA,NA,26894336,44183552,23755776,3098112,NA,NA,24709120,NA,NA,NA,2614528,3906304,NA,NA,NA,NA,151453696,NA,50556928,NA,NA,3682816,NA,NA,3585792,NA,NA,NA,NA,13338624,NA,NA,5152000,104886272,NA,NA,536936448,NA,NA,NA,235072,NA,1686656,216800,NA,NA,NA,NA,NA,NA,377176064,11471872,NA,254099456,39026688,NA,NA,2505984,NA,NA,7143168,NA,NA,573440000,NA,NA,4929792,NA,NA,NA,2806272,NA,NA,11484160,1139072,NA,1792256,NA,1707904,NA,NA,NA,4808960,NA,141361152,NA,18476032,14341120,11635712,2073984,NA,30251008,11296768,NA,NA,NA,701056,NA,NA,9773056,NA,NA,NA,8057856,NA,NA,NA,36573184,NA,2327296,NA,NA,1889088,1466816,41639936,NA,NA,NA,NA,NA,2939136,2257321984,1132658688,NA,NA,NA,NA,4928512,2599168,NA,NA,NA,NA,NA,NA,NA,NA,452336,NA,812736,83488768,NA,NA,NA,NA,NA,865984,NA,NA,NA,NA,2031936,NA,NA,NA,NA,399245312,NA,NA,710464,61132800,6752256,NA,1589888,NA,NA,3973632
"165A",NA,NA,12733440,NA,13720576,NA,NA,NA,NA,NA,112656384,NA,67530752,973632,NA,NA,14109696,NA,NA,NA,NA,47513600,NA,NA,NA,NA,151355392,NA,NA,NA,NA,5349888,NA,NA,NA,NA,2027136,NA,NA,2773248,NA,NA,12162048,NA,NA,NA,18097152,5046528,NA,NA,NA,NA,NA,NA,155090944,NA,NA,NA,NA,NA,4549888,76791808,NA,4891904,12065792,NA,NA,2629888,NA,NA,6792192,NA,NA,5916416,2339328,NA,7799040,NA,NA,NA,2432256,NA,NA,3058688,3393536,NA,1046528,NA,NA,NA,586496,NA,NA,NA,38068224,NA,9417728,2810368,14045184,1802752,NA,59482112,3437824,NA,NA,1021056,NA,NA,NA,1155392,NA,NA,NA,1937792,265744,NA,NA,88576000,NA,2024832,664512,NA,969600,845056,NA,NA,NA,NA,NA,NA,1307456,522911744,NA,NA,NA,NA,NA,557504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175232,NA,NA,267872,NA,391312,NA,476992,NA,NA,303448064,778112,8603648,NA,10261504,6044672,NA,NA,NA,NA,18359296
"4A",NA,1145280,7684096,NA,69345280,NA,NA,NA,NA,NA,32198656,11181056,16355328,3208960,NA,NA,16125952,NA,NA,NA,4415488,5738240,NA,669696,NA,NA,177209344,NA,42209280,NA,28446720,3559680,NA,715968,7058176,1970880,NA,NA,NA,10057728,NA,NA,11301888,54034432,1109760,NA,354172928,NA,NA,NA,NA,1343232,NA,233376,NA,NA,NA,NA,NA,861696,233881600,36700160,NA,158384128,20734976,NA,NA,5721344,3261696,NA,15015936,NA,NA,NA,5416960,NA,6302976,NA,NA,NA,4011520,NA,3560704,7293440,7293440,3896576,7079168,2405632,NA,NA,1840896,NA,3471104,NA,147111936,NA,51052544,4370944,16928768,5571584,NA,26482688,60387328,35598336,NA,3396608,NA,NA,NA,64372736,1383168,NA,NA,2227200,337632,NA,NA,43655168,NA,1744448,741632,NA,7571456,2736384,NA,NA,NA,NA,NA,NA,8266752,1501757440,646643712,NA,NA,NA,NA,3859968,NA,NA,NA,NA,NA,NA,NA,NA,NA,502016,NA,NA,49864704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300096,NA,NA,173686784,NA,9071616,1557632,112009216,2222080,NA,1982016,NA,NA,6065920
"10A",10544128,343472,8639488,NA,16670720,NA,844416,NA,1749248,NA,21519360,73027584,29168640,4926208,NA,NA,20377600,NA,NA,NA,NA,6639360,NA,4418816,NA,2601472,NA,NA,111796224,NA,3304704,NA,NA,NA,4333056,3257600,NA,NA,NA,5258496,NA,4073216,9609216,62087168,2787328,NA,767426560,NA,NA,NA,NA,NA,NA,NA,NA,NA,2599680,NA,5603584,NA,232226816,29024256,NA,130072576,37027840,NA,NA,3798016,NA,15757312,2871296,NA,NA,648675328,7058432,2138368,6256128,NA,NA,NA,2311424,6564608,1410752,NA,1410752,NA,4839424,2947328,NA,11049984,NA,7096064,NA,4863488,NA,NA,15984640,10602496,10365952,7032320,4868352,44670976,10534912,NA,NA,NA,NA,NA,NA,7704576,NA,NA,NA,24564736,NA,5647360,1272768,60469248,NA,5085696,1051776,NA,5764608,1237568,128659456,NA,NA,904832,NA,NA,2415104,638713856,164659200,NA,5286144,799424,2130432,2152960,NA,NA,NA,NA,NA,NA,NA,NA,NA,2251520,NA,NA,NA,894592,NA,1548288,NA,NA,1248512,NA,NA,NA,NA,NA,NA,604800,NA,NA,237862912,NA,11786240,NA,33804288,1118656,NA,1112512,2590464,NA,3350016
"12A",6047488,NA,15645696,NA,10303488,2073024,NA,NA,NA,NA,34701312,18253824,14330880,3914496,NA,NA,3258880,NA,NA,NA,NA,12698624,NA,1263104,NA,NA,17733632,NA,46403584,NA,1592896,8975360,2036736,NA,5506304,2847488,3360000,NA,NA,1408256,NA,NA,4294400,44068864,NA,NA,511279104,NA,NA,NA,627584,NA,NA,565888,218284032,NA,NA,NA,2004032,NA,197656576,20739072,NA,124506112,7365376,NA,NA,2481920,NA,NA,NA,NA,NA,378519552,15349760,NA,8892416,NA,NA,3086592,1853632,NA,NA,36737024,NA,NA,3017984,1696064,NA,7790592,5547264,NA,53149696,NA,NA,NA,32567296,2017152,11333632,3014656,NA,156155904,97751040,NA,NA,2314752,NA,NA,NA,141901824,NA,NA,NA,13591552,NA,NA,NA,73154560,NA,3251712,14449664,NA,2069120,1154304,NA,NA,NA,NA,NA,1336512,2480896,1389756416,938213376,NA,NA,NA,1397632,2754816,NA,NA,NA,606784,NA,2604032,4324864,NA,657216,2122240,NA,NA,NA,NA,NA,23205888,NA,NA,1175232,NA,3457024,NA,NA,2172160,615168,1192000,NA,NA,1257373696,650816,9128960,756352,18074624,3502592,3097600,NA,NA,NA,4783616
"20A",NA,NA,15007744,NA,7942144,NA,NA,NA,NA,NA,57692160,42098688,29331456,5158400,NA,NA,5417216,NA,NA,NA,NA,15874048,NA,NA,NA,NA,4420352,NA,41000960,NA,NA,1048832,2138880,NA,7689728,NA,NA,NA,NA,1650048,NA,NA,6509312,29984768,NA,NA,521076736,NA,NA,NA,995520,NA,NA,NA,NA,NA,NA,NA,NA,NA,119324672,52563968,NA,77750272,11916288,NA,NA,2867456,NA,3241472,9233408,NA,NA,NA,4017152,NA,9698304,NA,NA,NA,2312448,NA,NA,6548992,6548992,NA,NA,NA,693248,NA,2255104,NA,4378112,NA,NA,NA,28676096,NA,12008448,5080576,NA,156499968,9384960,468156416,NA,9861120,NA,NA,NA,735296,1134592,NA,NA,9123840,780800,NA,NA,82657280,NA,3540480,2092672,1856704,3394560,NA,27587584,NA,NA,NA,NA,NA,4632576,981860352,NA,780800,NA,NA,10977280,NA,NA,NA,NA,NA,NA,NA,19938304,NA,1091712,2352384,NA,NA,2207488,NA,NA,NA,NA,NA,2088448,NA,NA,380528,NA,605312,NA,3129600,NA,660288,362741760,NA,9854976,NA,11240448,3032320,6182400,1181312,NA,NA,9185280
"21A",5730560,627584,18760704,NA,35221504,NA,NA,NA,NA,NA,54673408,5227520,27205632,7126528,NA,NA,6640384,NA,NA,NA,NA,101715968,NA,NA,NA,NA,65138688,NA,17463296,NA,2511360,68284416,NA,NA,11230208,NA,NA,NA,NA,1912448,NA,NA,29543424,NA,NA,NA,76181504,NA,NA,NA,2506240,NA,NA,375856,NA,828288,1534848,NA,NA,NA,31823872,68706304,NA,27173888,8367616,NA,NA,4719872,17361920,NA,78725120,NA,NA,42233856,32240640,NA,5976320,NA,NA,NA,11244544,NA,18050048,7936256,NA,NA,4523776,1655104,NA,NA,2464256,NA,49414144,NA,25202688,NA,32155648,1940224,25047040,2349568,NA,237027328,58798080,NA,NA,24718336,NA,NA,NA,39895040,NA,NA,NA,NA,NA,NA,NA,47599616,NA,1463872,941184,NA,1692736,480480,NA,NA,NA,NA,NA,NA,4659712,1243021312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483296,1168448,NA,NA,NA,359366656,NA,8706048,NA,34734080,3374080,4685056,1564416,NA,NA,9672704
"24A",16325632,NA,21272576,11147264,NA,2542592,NA,NA,NA,NA,64909312,33313792,32752640,2759936,NA,NA,8001280,NA,NA,NA,15113216,32308224,NA,2871296,NA,NA,2401536,NA,45268992,NA,3252480,1589440,2644992,NA,5256704,5747200,NA,NA,NA,2374656,NA,NA,3734784,21821440,998528,NA,517505024,NA,NA,NA,1149632,2663168,NA,NA,113692672,NA,NA,NA,2577408,NA,88096768,113491968,NA,61956096,8840192,NA,NA,2103296,3481856,NA,99799040,NA,NA,186777600,NA,NA,12033024,NA,NA,1117312,6076672,NA,8634368,13570048,NA,3641344,814912,3367168,3558912,3763968,3845632,NA,108507136,NA,NA,NA,42717184,3123712,27012096,2652416,NA,483573760,86978560,3523840,NA,NA,NA,NA,NA,NA,1562880,NA,NA,18207744,NA,NA,NA,100139008,NA,6477056,1110656,NA,2258944,1101056,NA,NA,NA,NA,NA,NA,3542784,588251136,NA,NA,NA,NA,NA,1336000,NA,NA,860928,NA,NA,NA,NA,560896,NA,NA,NA,1258304,NA,NA,NA,NA,NA,NA,2149120,NA,NA,NA,NA,10010624,1096768,1476608,NA,NA,75591680,723840,63782912,NA,9570304,356944,5012992,NA,1527232,NA,9626624
"28A",NA,NA,17077248,NA,21337088,3885568,NA,NA,NA,738944,35463168,7058944,16084992,2136320,NA,NA,15685632,NA,2190080,NA,NA,16324608,NA,NA,NA,NA,71376896,NA,23956480,NA,NA,5767936,NA,NA,4281088,NA,2722560,NA,NA,3595264,NA,NA,5793792,16584704,NA,NA,249511936,NA,NA,NA,556352,NA,NA,NA,67203072,NA,NA,NA,NA,NA,73428992,2533632,NA,53362688,19741696,NA,2318592,2938880,3495168,2353920,3844352,NA,NA,204128256,9056256,NA,5678336,1035712,NA,1714432,NA,NA,NA,NA,18763776,NA,1209472,NA,NA,NA,NA,NA,27786240,NA,45043712,NA,12917760,8821760,7482624,3441664,NA,408649728,31920128,NA,NA,NA,NA,NA,NA,19224576,NA,NA,NA,9554944,884928,NA,NA,53575680,NA,2806016,1033856,NA,3377920,NA,28950528,NA,NA,NA,NA,NA,NA,1205796864,NA,NA,NA,NA,NA,1686976,852352,NA,NA,NA,NA,NA,2398208,NA,NA,495072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673728,NA,NA,NA,NA,400474112,NA,8379392,NA,22467584,5977344,NA,NA,NA,NA,4816896
"30A",15516672,NA,43024384,NA,34283520,2066368,NA,NA,NA,NA,82210816,21172224,34762752,NA,NA,NA,32656384,NA,NA,NA,NA,71798784,NA,2047680,NA,NA,85696512,NA,39022592,NA,NA,3497216,NA,NA,3010048,4132352,NA,NA,NA,11625472,NA,NA,11762688,13326336,973440,NA,346161152,4105216,NA,NA,NA,NA,2573056,NA,297697280,NA,NA,NA,NA,NA,50884608,47513600,NA,32065536,32696320,NA,NA,2411776,NA,2496768,19218432,2295552,NA,210534400,4399872,NA,7606272,NA,NA,NA,3907584,NA,16156672,26338304,NA,2404608,NA,3353088,NA,773760,NA,1574144,12409856,NA,29201408,NA,7758336,7102720,6968832,1279360,NA,27731968,8145152,NA,NA,1802944,389024,NA,NA,1716544,NA,NA,NA,14038016,NA,NA,NA,67358720,NA,1740800,NA,NA,856832,441312,4839424,NA,NA,NA,NA,NA,2129408,873070592,NA,NA,NA,NA,NA,693632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420064,NA,741568,NA,NA,202571776,NA,34099200,NA,29441024,NA,3783168,761280,2467584,NA,9529344
"32A",22829056,NA,18672640,NA,28237824,NA,877696,NA,NA,NA,46505984,29972480,21685248,1646400,NA,NA,8222208,NA,NA,NA,NA,19385344,NA,1561728,NA,NA,3655936,NA,143753216,NA,NA,NA,9672704,NA,NA,3192832,3888640,NA,5445120,18910208,NA,NA,11986944,28184576,NA,NA,393904128,NA,NA,NA,1264384,NA,2218240,686208,NA,NA,NA,NA,1976064,NA,125366272,104435712,NA,90005504,16515072,NA,NA,2774016,NA,NA,4651008,NA,NA,608829440,4606208,NA,8174848,NA,NA,NA,6674176,NA,878592,NA,805824,2365184,1651136,5692416,NA,NA,NA,NA,1746880,NA,3258624,NA,3681024,3663360,20788224,1709312,NA,2907392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3219968,44986368,NA,NA,NA,100552704,NA,3834624,1313152,NA,2352896,1233408,NA,NA,NA,NA,NA,1136320,4277504,2085552128,NA,NA,NA,NA,38842368,NA,NA,NA,2447104,NA,NA,NA,NA,NA,NA,3045376,1380352,657664,NA,NA,NA,NA,NA,NA,1436608,NA,NA,NA,NA,NA,NA,705280,NA,NA,956235776,NA,13980672,1365568,10708992,NA,2028736,NA,NA,NA,6468864
"34A",NA,376560,9439232,NA,40361984,NA,NA,NA,NA,NA,64229376,10827776,27631616,3284224,NA,NA,20213760,NA,NA,NA,NA,33796096,NA,NA,NA,NA,24901632,NA,22240256,NA,3298560,5608704,NA,NA,5990400,NA,2242048,NA,NA,13630464,NA,NA,9168896,11651072,NA,NA,213680128,NA,NA,NA,1040512,NA,NA,NA,27641856,NA,NA,NA,NA,NA,69058560,69185536,NA,43945984,8532992,NA,NA,2167552,NA,NA,3781120,NA,NA,123846656,7256576,NA,7798016,NA,NA,NA,5057792,1402240,3194368,3769344,NA,1673472,NA,2461696,NA,NA,963712,NA,NA,NA,11889664,NA,15068160,2698240,11518976,1673920,NA,5404416,5409792,NA,NA,930944,523904,NA,NA,3574016,NA,NA,NA,5900544,NA,NA,NA,84684800,NA,5321216,777792,NA,1424320,906240,NA,NA,NA,NA,NA,NA,2827264,1445265408,NA,NA,NA,NA,NA,1827584,NA,NA,1309120,NA,NA,NA,NA,NA,NA,439952,NA,NA,NA,NA,NA,NA,NA,NA,1988032,NA,NA,NA,NA,NA,NA,NA,NA,NA,241860608,1189632,8911872,795520,55787520,11182080,NA,673792,NA,NA,7670784
