"","10Z-Heptadecenoic acid","12-hydroxystearic acid","2-Hydroxy-2-methylbutyric acid","2-Hydroxy-3-methylbutyric acid","2-Hydroxybutyric acid","2-Hydroxycaproic acid","2-Phenylpropionate","2-Methylbutyroylcarnitine","3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid","3-Hydroxybutyric acid","3-Hydroxyisovaleric acid","Indole-3-propionic acid","3-Methy2-oxovaleric acid","3-Methyladipic acid","3-Hydroxylisovalerylcarnitine","4-Hydroxyphenylpyruvic acid","5-Aminolevulinic acid","5Z-Dodecenoic acid","5-Hydroxy-tryptophan","Dihomo-gamma-linolenic acid","Acetic acid","Acetoacetic acid","Acetylglycine","Adenosine monophosphate","Adipic acid","Adipoylcarnitine","Adrenic acid","alpha-Hydroxyisobutyric acid","Alpha-ketoisovaleric acid","Alpha-Linolenic acid","Phenylacetylglutamine","Aminoadipic acid","Arachidonic acid","Azelaic acid","Benzamide","Benzenebutanoic acid","Benzoic acid","Beta-Alanine","Butyric acid","Caproic acid","Carnitine","Chenodeoxycholic acid","Cholic acid","Cinnamic acid","cis-Aconitic acid","Citramalic acid","Citric acid","Citrulline","Creatine","D-2-Hydroxyglutaric acid","Fructose","Gluconolactone","Glucose","D-Maltose and Alpha-Lactose","Xylose","Xylulose","Capric acid","Decanoylcarnitine","Deoxycholic acid","Dimethylglycine","Docosahexaenoic acid DHA","Docosapentaenoic acid (22n-6)","Docosapentaenoic acid (22n-3)","Dodecanoic acid","Eicosapentaenoic acid EPA","Erythronic acid","Fructose 1,6-bisphosphate","Fumaric acid","Galactonic acid","Gamma-Aminobutyric acid","Gamma-Linolenic acid","Sulfolithocholylglycine","Glucaric acid","Glutaconic acid","Glutaric acid","Glutarylcarnitine","Glyceric acid","Glycine","Chenodeoxycholic acid glycine conjugate","Glycocholic acid","Deoxycholic acid glycine conjugate","Glycohyocholic acid","Glycolic acid","Glycoursodeoxycholic acid","Glycylproline","Guanidoacetic acid","Heptadecanoic acid","Hexanoylcarnitine","Hippuric acid","Homovanillic acid","Hydrocinnamic acid","Hydroxyphenyllactic acid","Hydroxypropionic acid","Hyodeoxycholic acid","Indoleacetic acid","Isocaproic acid","Isocitric acid","Isovaleric acid","Isovalerylcarnitine","Ketoleucine","Alanine","3-Aminoisobutanoic acid","Arginine","Asparagine","Aspartic acid","Cystine","Glutamic acid","Glutamine","Histidine","Homocitrulline","Homoserine","Lactic acid","Leucine","Lysine","Malic acid","Methionine","Phenylalanine","Pipecolic acid","Proline","Serine","threonine","Tryptophan","Tyrosine","Valine","Acetylcarnitine","Dodecanoylcarnitine","Linoelaidic acid","Linoleic acid","Linoleyl carnitine","Maleic acid","Malonic acid","Malonylcarnitine","Mandelic acid","Methionine sulfoxide","Methylcysteine","Methylglutaric acid","Methylmalonic acid","Methylmalonylcarnitine","Methylsuccinic acid","9E-tetradecenoic acid","Myristic acid","Myristoleic acid","Tetradecanoylcarnitine","N-Acetyaspartic acid","N-Acetylglutamine","N-Acetylneuraminic acid","N-Acetylserine","N-Methylnicotinamide","10Z-Nonadecenoic acid","Pelargonic acid","Norvaline","Caprylic acid","Octanoylcarnitine","Oleic acid","Oleylcarnitine","Ornithine","Ortho-Hydroxyphenylacetic acid","Oxalic acid","Oxoadipic acid","Oxoglutaric acid","p-Hydroxyphenylacetic acid","Palmitelaidic acid","Palmitic acid","Palmitoleic acid","Palmitoylcarnitine","Pentadecanoic acid","Phenylacetic acid","Phenyllactic acid","Phenylpyruvic acid","Phosphoribosyl pyrophosphate","Phthalic acid","Picolinic acid","Pimelic acid","Propionic acid","Propionylcarnitine","Protocatechuic acid","Pyroglutamic acid","Pyruvic acid","Rhamnose","Ricinoleic acid","Sarcosine","Sebacic acid","Selenomethionine","Shikimic acid","Stearic acid","Stearylcarnitine","Suberic acid","Succinic acid","Tartaric acid","Taurochenodeoxycholic acid","Taurocholic acid","Taurohyodeoxycholic acid","Tauroursodeoxycholic acid","Threonic acid","trans-Aconitic acid","Trehalose","Tridecanoic acid","Undecanoic acid","Undecylenic acid"
"MB0293",4.904853831,1.105023585,0.684272315,8.619266464,66.24576956,0.248255437,0.17952292,0.061241832,0.286658813,435.3607141,0.605697405,0.707125282,20.84045801,0.570052436,0.049298972,0.552326767,1.351576857,5.099719749,0,1.084151063,45.22738317,100.8878212,19.68766662,30.01578334,0.021286848,0.064688472,8.668190203,9.586691407,9.606810768,34.84645978,2.327036755,2.627295202,10.04767479,0.105705737,0.53094824,0.271726773,1.391478225,2.080480353,1.279090573,0.212916725,33.27548573,0.162651347,0.084776985,0.077889514,78.48543338,0.027427392,32.98791004,42.90547851,52.21778466,0.333616203,1.974789607,3.614699181,4668.356857,0.246047478,2.078995729,1.295410952,51.86894692,1.160047866,1.126121405,2.811683048,28.57805459,2.726425539,10.1640075,7.660794218,1.356594916,1.48570741,1.142980495,1.685737839,0.450863648,0.265326515,0,0.324458378,0.353007662,10.22756109,0.468847787,0.119554196,5.37331816,405.9829152,2.253763751,3.688440186,0.831914618,0.034337423,8.094503823,0.322788515,0.200014664,3.331547716,0.839904667,0.216245018,0.729537079,0.755127731,0.202831261,0.975665584,27.28560922,0.067107064,2.480268505,0.188058811,0.861178633,1.092231189,0.131170395,52.6935144,243.471057,8.8050313,119.6552731,37.02652577,20.18697686,59.1374928,9.006939,980.8001846,88.74369882,0.752787307,0.586212705,677.1588814,130.41226,315.9105411,3.693664781,28.72528883,24.75040081,4.412472732,166.3824592,196.4161388,99.07547849,64.9597389,57.24595218,148.6772931,21.35469902,0.245981913,1.710637676,472.6614995,0.211182722,0.184331918,0.021985491,0.070245537,0.267588088,0.034680352,7.418241283,0.658360687,5.70774484,0.077311538,0.15869417,1.500538035,51.58275341,1.039434822,0.027681458,0.816419671,0.42468465,0.66228689,1.711514752,11.88844024,3.631459907,0.419891393,0.515602692,64.6805942,0.78190895,293.5576425,0.40711439,50.52047506,0.078204997,18.46877603,0.37425871,14.79564422,0.349267631,1.781234516,88.6536152,73.24519509,0.215573438,3.533155807,12.29716833,0.184584583,0.321286364,3.453458885,0,0.027735477,0,1.158224391,0.811168539,0.120333137,8.544431893,77.85869063,1.449102747,0.270619883,2.978855377,0.071497682,0.669340532,0.444321796,40.83179104,0.438419454,6.39085662,4.765587328,0.163757147,0.372489836,0.570079579,0.085769491,0.065207972,1.508408543,93.82209381,0.465359967,0.926596312,0.001416486,19.67674356
"MB0105",3.592874061,0.304492375,0.422955609,37.45292944,46.65291372,0.205761115,0.169637414,0.139616159,0.101715473,103.6223963,1.803543726,0.61181221,42.9357364,1.332529634,0.122854558,0.558072154,1.69898532,4.700481939,0,1.410218847,9.351214402,22.32536019,11.24676978,50.27925052,0.068114093,0.210048785,8.645010503,6.35651319,16.87202759,23.46273534,0.553746392,0.946777762,13.23674142,0.10938552,0.55186593,0.132113323,1.126338624,12.1931828,1.068586892,0.170633361,53.46028528,0.913272143,0.150117529,0.023933603,78.82083602,0.090698372,41.93150481,68.89550688,27.42420733,1.096890223,7.764957802,4.636164602,7109.995144,1.164159142,4.498579266,5.350895895,48.16547377,0.99569604,0.163054247,6.788438156,50.75138013,2.826146195,9.418909069,7.823080689,1.866530101,2.263560979,1.145747409,2.143470193,0.494999846,0.302847945,3.24438153,0.166197408,0.378531994,22.85775792,0.815679179,0.145302343,11.88811301,430.2047938,3.126624926,7.954222037,0.367999218,0.036410742,16.6462461,0.231804106,0.265966846,7.231471296,1.869002269,0.223391394,0.908063682,1.549244537,0.1878186,0.580370662,45.20572518,0.035562809,2.028826652,0.218438344,1.516440242,0.870881606,0.17465735,80.97707165,569.3496879,6.177953122,144.0894906,67.40191487,44.14763644,116.9082776,25.72718417,2055.359026,110.9929053,0.739206118,1.550331007,1679.778988,307.7690987,477.5473564,6.307877662,59.66978982,79.74942708,6.125350584,323.9289886,209.6406484,158.140609,117.007905,129.8982662,309.1857085,18.26786205,0.217860046,2.278624672,317.3195508,0.526081519,0.153605789,0.024543026,0.185455518,0.093131222,0.112205486,9.854765258,0.348513214,11.61224448,0.17385216,0.280538584,1.065698255,43.25536319,1.070119041,0.03158781,1.081676359,0.430980277,1.282652903,3.10393342,3.524065633,2.578820168,0.505504417,0.554860233,93.92571014,0.689418786,224.7246684,0.805686306,150.1884134,0.144643136,17.41811261,0.38010873,16.07683853,0.218905654,1.484609286,125.3310632,72.66097326,0.355697478,1.86518341,5.892388318,0.545686559,0.342366407,4.095826775,0.053793744,0.028798112,0.011767485,1.039409424,1.427607252,0,22.22811355,61.42566842,6.4417994,0.218767668,4.725677758,0.069142494,0.647067404,0.461447702,97.77591258,0.623107874,4.8609418,9.759215369,0.051564436,0.329846179,0.855256173,0.088241509,0.058684763,2.054261815,107.0309714,0.487810222,0.800923704,0.001561683,13.55263549
"MB0121",4.344105643,1.368521918,0.357853367,6.305323959,34.94878942,0.221752628,0.4017189,0.128564788,0.000233995,309.3169827,0.61546032,1.379421675,21.50601651,0.476181796,0.039865984,0.360514501,1.286547684,4.159930675,0.067881235,0.887692717,22.67448226,21.65537191,7.675582863,33.78152812,0.325932906,0.113698414,5.062666507,8.467932817,5.846218896,42.72577004,0.335257539,0.745822149,14.43350968,0.172824049,0.454820862,0.205864982,0.905497619,6.715564993,0.505912619,0.291443079,28.13351543,0.544277297,0.094501131,0.085325321,56.05358834,0.15265312,23.81480502,35.7277463,35.81590013,0.42928621,3.187053343,5.655252105,5489.20247,3.031988517,4.154773149,3.787620224,49.57822747,0.658856723,0.062028352,5.025153948,19.08364361,1.498705044,7.029228098,15.75284661,0.869813702,2.295587083,1.193554867,1.002247295,0.465217729,0.242893254,1.864750986,0.067197576,0.340210129,10.3079242,0.924282921,0.12021341,15.88059601,275.9266228,2.481951665,4.045626766,0.220739962,0.060901464,11.65069601,0.51213844,0.205791392,3.729437965,0.883386631,0.218035824,0.577638383,0.040657536,0.432108503,0.116306746,51.86655825,0.077971884,1.311898511,0.451045667,0.74580622,0.448494859,0.032621287,32.78070078,290.4950452,6.072908413,173.429554,54.33581712,44.46931469,73.94588369,21.68440473,1288.341594,72.85057383,0.338033707,0.72421197,1400.706277,146.9919456,381.1258092,4.680874073,31.15109515,40.30770472,4.56829969,170.2285015,176.5100799,115.508402,54.02070131,62.52503644,146.3012564,14.2568547,0.159533099,2.914846661,373.8931022,0.263111942,0.146737816,0.045424741,0.03331077,0.216502671,0.053927676,7.40609136,1.293956365,7.34923684,0.124769195,0.341532958,0.976068606,34.56339357,0.457495363,0.026546582,0.462058397,0.413886691,1.924418454,2.437498028,4.746924401,1.528671246,0.651161543,0.627220257,90.21797847,0.4085699,277.856188,0.464596007,70.06881196,0.121255567,26.00536583,0.025989517,16.77249464,0.040934214,1.227410447,86.79594665,58.43874542,0.247242079,2.352901688,6.278657288,0.123669738,0.221503029,4.679317414,0.306104714,0.040553005,0.134847319,0.355193053,0.531934174,0.20708211,19.54042424,83.27815137,1.976678355,0.119486961,2.96664899,0.092486788,0.705832036,0.399627295,47.1099679,0.381278668,29.9401618,7.164359406,0.08027373,0.3846203,0.64074049,0.080344696,0.068678647,2.215348896,64.29404545,0.505305516,0.846341257,0.001710727,36.20122903
"MB1098",1.71534701,0.969813599,0.324951419,17.67883621,78.45505252,0.329629027,1.094087258,0.11908695,0.21433094,189.1298019,1.561493768,0.848996982,49.69754037,0.393593996,0.054886789,0.685545585,0.917479293,6.0589602,0.084373213,0.825294769,10.44586458,20.9611689,8.575425361,34.64236766,0.322079572,0.211386794,7.982641891,14.39645724,17.0543522,17.74933351,2.417703859,4.217172531,14.16277445,0.093638362,0.542750821,0.253238327,1.407533834,7.882079651,0.682937394,0.299698683,46.51167143,0.366711711,0.136291,0.070332558,70.3799763,0.051222108,34.2492588,60.09219575,29.14898461,0.454041581,4.946197604,4.298152671,6418.933675,0.514929256,3.079982017,3.086164382,47.01023427,0.723229402,0.283480952,6.951208257,15.54085105,1.885419359,4.309164768,29.47000422,0.537392092,2.146482413,1.202539586,2.478305125,0.461436122,0.329028689,2.711981871,0.109396722,0.426143617,17.66101048,0.737062232,0.177062364,16.18530898,270.442007,0.503470315,0.40119296,0.051865579,0.051772083,11.42203153,0,0.189477723,4.297909212,0.94742104,0.243132704,8.465062337,1.418468513,1.08076824,1.291372483,61.16538395,0.086032168,4.557695512,0.771985494,0.806395643,1.32927401,0.200289486,105.0101884,405.5540217,7.230714669,118.6342256,55.43015074,36.84002924,62.50114941,22.87022668,1230.849824,96.70512481,0.934830803,0.324542026,1562.172189,217.6563716,382.9440139,5.23008671,42.17718106,52.10290292,5.115158066,193.0362861,198.6060863,121.555209,104.2325771,105.5502899,256.8520343,20.41526654,0.204963029,2.590429631,315.830426,0.496347941,0.237964833,0.039547814,0.099413762,0.325004565,0.078176421,10.65469768,0.80334667,7.070276035,0.137144851,0.287941941,0.889759593,47.01047531,0.641297305,0.034252787,0.738654347,0.415187461,1.123460333,2.457946886,12.66446481,2.600247261,0.488114264,0.559673231,106.7375261,0.407294818,330.3044624,0.854604335,113.9743624,0.222736543,16.33681688,0.285351882,19.07776528,1.650691071,2.41389596,89.16484933,57.29560698,0.350199714,1.436689047,10.70226259,0.39511627,0.425436186,3.53979135,0.324735845,0.04912856,0.06660546,0.921237421,1.286944427,0.08945257,22.93226617,123.3882135,1.332006303,0.190317288,2.409419405,0.013161522,0.700216564,0.498963108,50.35184081,0.75110568,16.11768476,7.002408902,0.11813817,0.06215869,0.019708033,0.127126368,0.0461387,1.947939282,84.79833155,0.489260092,0.815158945,0.001460888,20.97367153
"MB0092",0.84111918,0.649183601,0.638870107,11.41964776,59.09248035,0.34405638,0.154714163,0.083750001,0.540057452,67.15930059,0.761802331,0.78274766,37.62876104,0.628223236,0.052994483,0.873111542,0.979127895,3.174311849,0.095144115,0.619379171,11.5102608,14.30879187,7.790913859,54.26384683,0.08673208,0.155677174,3.414341961,8.850751288,12.12674562,10.7095386,2.229039132,3.336751142,7.379967681,0.099835922,0.481945686,0.355251586,1.446692435,2.452897509,1.334579171,0.167261626,41.56996005,0.119579268,0.091118246,0.112728551,47.48020294,0.131983365,22.58376607,44.40504045,61.7918651,0.401083165,3.008030852,4.279786037,5612.981417,4.527549828,4.00627261,4.003754949,32.79903238,0.424509755,1.17904749,4.803927575,13.56361865,1.267700258,2.595676082,0,0.310063025,3.729851718,1.179312661,1.416434027,0.433238669,0.356622354,0.092776925,0.183419208,0.332407728,10.08327987,0.960609197,0.119188841,10.52809691,357.1577551,0.798420697,1.275978333,0.50812063,0,7.327967796,0.143837532,0.19962075,3.26294694,0.952575122,0.139511657,9.430575946,1.085585401,0.222504379,1.528576157,56.41862791,0.13719251,4.212771771,0.219990547,0.437876112,0.934447937,0.086000886,63.88027541,472.7979952,5.817476839,151.2341981,53.26289092,40.1854368,85.61725022,21.97490562,1183.860543,95.314365,0.203165174,0.651632533,1827.599827,184.015831,410.5469879,3.088086936,33.88168672,47.82211302,3.60922699,226.2528538,183.3030975,107.1227661,93.35460955,99.32095172,197.9416086,16.4346704,0.096085001,1.29606246,200.3820097,0.33151307,0.244288044,0.052734285,0.113178426,0.497360664,0.102991101,7.483540434,0.485901672,6.766650511,0.094753342,0.372614392,0.377048728,10.24143346,0.306857322,0.013663468,0.649591992,0.452174529,1.144937044,2.969893367,18.96195634,0.858986944,0.692375605,0.510502269,79.50266262,0.320013886,134.445638,0.306320494,127.7509176,0.47498258,24.40442658,0.212549871,11.88509039,1.147415198,0.56815545,95.71858574,17.71366863,0.164886917,0.129230276,22.28539789,0.317429598,0.382904887,4.802964953,0.054139941,0.024937707,0,1.379148395,1.41939261,0.188188486,20.9585681,154.9198551,4.383510858,0.118319689,1.121924922,0.06836164,0.83840821,0.407789089,86.78525449,0.403462415,7.758563655,6.442275524,0.080051057,0.094616775,0.137776005,0.087126209,0.052163294,3.675748171,52.57372503,0.480633775,0.384490386,0.001372582,6.267758845
"MB0176",1.705204253,1.835509791,0.236051529,14.19994606,46.20963895,0.269040692,0.910291537,0.075970797,0.002817301,47.57301068,0.98123857,7.909500076,27.87818294,0.154733715,0.023646786,0.865382513,0.829013751,4.574762686,0.056583593,1.116909291,10.5022441,5.981908715,10.53475328,23.7895552,0.324920607,0.101552795,4.640837264,9.244873458,10.81163413,17.79768603,2.740896695,1.016974113,11.98853472,0.118058422,0.463671185,0.21215159,0.915458776,5.59911559,0.480854786,0.158278262,36.25917423,0.681171102,0.156032661,0.092236855,46.02778674,0.072825724,18.72401139,48.30851348,61.24966658,0.264170095,2.939890467,4.381182177,5837.528814,0.50723983,2.354095832,2.850801924,63.11993494,0.278053365,0,4.21468756,20.44742783,2.07172806,7.226363528,64.43959272,1.219074943,2.306330025,1.144428288,0.735338545,0.462014636,0.257238843,2.830647128,0.008037257,0.305794834,14.49701896,1.510198828,0.116147338,12.3606111,438.8683206,1.056764175,0.546971691,0.02285549,0.053760145,15.62290263,0.661737088,0.215596213,3.224045881,0.775875388,0.123289145,0.23877639,0.736145584,0.965696994,0.275663278,45.42407802,0.077971884,6.872498474,0,0.715794775,0.753289124,0.09063756,52.91045884,359.0459052,5.936543976,146.2118327,42.98783767,47.03421581,78.03071006,20.25963642,1237.805344,74.47463342,0.316215816,0.538015567,1322.408652,216.9622705,324.0825586,3.089075685,31.00475408,65.2960517,2.928763396,176.9113448,141.3099492,116.4673434,78.19407359,86.16542215,240.2914959,12.5196368,0.054546282,1.525883893,199.3163148,0.032664596,0.187865246,0.06637867,0.041499803,0.047121631,0.049387806,7.82130947,1.417834866,5.505972729,0.137837915,0.548451467,0.544092116,44.3670137,0.681499529,0.016442793,0.68043228,0.420799281,1.033806463,2.275846678,26.14987505,1.501530508,0.602008343,0.605577354,91.36114233,0.080392134,157.7610725,0.213035018,66.74760967,0.128671317,20.64049962,0.16734824,15.97590224,0.446945016,0.991214134,90.06983967,42.81818601,0.185070678,0.575062294,26.43586161,0.29223825,0.368523904,3.914957764,0.400141759,0.031203317,0.237690016,3.003352739,1.332208045,0.160800961,18.34835773,111.6525625,2.713616484,0.097826338,4.335630965,0.058229393,0.733742043,0.382800595,61.82125059,0.280058553,16.66637458,5.310426278,0.100131592,0.095682695,0.135337835,0.099466228,0.058767681,2.198077253,49.10952075,0.47759805,1.063377634,0.00148341,2.908193055
"MB1158",2.524695182,0.31033928,0.188175705,7.909515496,48.95851063,0.230306428,2.581713579,0.043065091,0.087758586,100.5068735,0.452149637,2.135028444,28.90476503,0.36982035,0.037458193,0.494392014,1.714508263,4.805592067,0,1.268462397,40.7230182,26.85895244,8.659885571,43.56589626,0.023313646,0.022938907,8.562216377,10.14977136,12.26039141,25.96382486,0.57790874,0.435321996,14.61590589,0.124261938,0.665806386,0.108523557,1.274287579,4.33166108,1.197338574,0.172134939,32.60132707,0.035415924,0.11218949,0.111843761,55.7786008,0.076186339,22.42433854,48.78024129,21.9742694,0.39306093,4.196784636,3.822894452,5109.484735,1.26601087,2.342366286,3.663897635,34.53657015,0.412971941,0.511559331,4.655808759,29.04050766,2.658292716,5.765396836,9.674002038,1.309852197,2.197295169,1.187322469,0.823784126,0.431715789,0.244446266,2.216308753,0.510652434,0.374839858,9.975995694,0.456948467,0.173469178,8.192708933,387.7095058,0.885040901,1.088510202,0.235236632,0.008851982,10.92130871,0.032541237,0.216040856,2.546109086,0.983108259,0.121988743,3.62406781,0.671377057,2.690646321,0.360522467,26.68102205,0.00012848,2.211288743,0.238480904,0.790738477,1.329998253,0.175678479,58.94582254,340.5969477,5.001284905,114.8961313,43.55675238,30.9539739,107.2507128,18.12801208,1179.878567,79.53228894,0.165483995,0.906448599,1327.107085,145.4118494,325.0158228,3.333688219,33.91827533,44.93602948,4.275827876,205.2527847,166.1464753,121.3521731,79.51706182,76.89658306,169.1083857,13.5277425,0.09528906,1.820937906,294.1040975,0.288709814,0.140664679,0.037329038,0.098091473,0.05905419,0.066197671,7.803979838,1.433519075,5.697165954,0.098501281,0.146718536,0.656920286,33.87955525,1.403488039,0.017210125,0.750256848,0.427766373,0.800917758,2.4168112,5.220748,1.499552508,0.566343323,0.600452041,67.71916495,0.279127118,184.5122613,0.462162562,198.2837238,0,19.62028513,0.249343986,14.78482979,0.319327415,1.097680469,98.63536725,67.0373798,0.230672569,0.960663399,4.186250204,0.158373862,0.333816567,5.112265295,0.066392434,0.027844996,0.027587811,1.049387403,1.051621052,0,17.00169047,145.8131596,1.56648156,0.152376267,4.408611663,0.06102249,0.713525419,0.549722246,64.66520009,0.332422782,5.122926249,4.946894677,0.06852116,0.123548575,0.079153841,0.080554854,0.051835687,1.860945982,64.99028068,0.517158833,0.594925681,0.00100528,22.36497542
"MB0163",3.039061514,0.666950519,0.767613262,12.85206977,94.86818944,0.314787709,0.945405645,0.179254132,0.119881278,941.0924627,1.381891167,0.714314085,44.02059276,0.275355464,0.140435008,0.71747719,0.956603994,11.1298968,0.308832362,1.337062164,114.7959699,150.537709,11.11064555,26.32311335,0.217065946,0.215913515,8.786914251,15.92976344,18.62553827,34.65823772,0.693873024,4.642268554,9.700374333,0.116674883,0.549183355,0.21975214,1.374790244,4.954186881,1.290661845,0.230719438,41.52361527,0.155248222,0.091066514,0.117708627,88.79922077,0.071154188,39.08229702,48.63727562,33.98792576,0.510572898,4.83943359,3.647962103,6436.441619,0.266266808,2.618233472,1.418814359,59.27245784,1.067571535,0.153205733,8.68119071,19.72481909,2.747990195,5.626587489,44.04699092,0.175915529,1.947323253,1.158921714,2.876512248,0.524215725,0.12237271,2.253130485,0.09737951,0.379722259,10.13326302,0.991401635,0.125623988,10.17056849,276.7958078,0.645378938,1.030118193,0.020319851,0,16.34972934,0.044415834,0.195704908,5.731104576,0.914565925,0.325975931,3.491884073,1.055888969,1.068879388,1.549789142,37.67294586,0,1.886508974,0.201608814,1.264456305,1.188701785,0.198374737,103.4088067,363.6345136,7.600238792,137.8418787,46.02329203,35.87334158,96.60121559,23.06996282,1367.028463,97.6958592,0.504211125,1.22247747,1379.265108,234.7249684,409.0226866,5.904781165,41.02853509,55.02945385,7.034529469,204.5456452,243.6976043,122.8299311,106.8718623,103.3026863,244.2089836,31.83421908,0.333826777,3.891333888,501.6463248,0.534003525,0.385570113,0.046042753,0.107522101,0.39646939,0.111054878,7.092413286,1.508052376,7.071067592,0.217656003,0.453585552,2.099063266,54.25197948,1.298711138,0.048225115,0.797776767,0.425167857,0.956571941,2.305085608,4.414734287,2.927089832,0.496824083,0.488599769,114.9591409,0.734367774,305.2198671,0.869902061,103.2043226,0.218943819,20.15171128,0.49948629,24.17815725,0.507942405,1.96271698,94.42273612,75.83517828,0.399539591,2.389897885,4.944145955,0.348782526,0.333710592,4.514242393,0.121022821,0.033474982,0.11284276,1.604598706,1.382042454,0.158505977,26.60961774,112.3859093,4.040209217,0.257223224,2.907614962,0.13948688,0.86085719,0.346949052,48.11614382,0.660069359,11.10899832,6.503480727,0.161483984,0.117282191,0.123854519,0.087508348,0.051515801,2.076311104,97.44585584,0.475512834,0.682417713,0.00155248,20.69853918
"MB0501",2.212871065,1.110523003,0.952305304,10.57705294,65.28180407,0.151833419,2.448505889,0.152235382,0.544552478,100.4516492,0.967897542,2.163336413,37.98324529,0.345747507,0.070248021,0.690675804,1.584536146,4.878276615,0,1.428413799,9.713629697,18.76174743,8.00510837,25.24480546,0,0.134343236,11.34291307,10.66442586,11.48371829,31.88589791,2.757656132,3.139055934,18.94184001,0.100809142,0.573982875,0.166308061,1.289311166,4.715175583,1.199118178,0.234985236,44.8831272,0.953280439,0.276117703,0.081784945,83.96370028,0.101098075,37.27640365,61.59243154,37.02582273,0.541191713,5.18408325,6.478392936,8251.932858,0.550935594,5.76617566,6.276845975,51.55918326,1.19327013,0.751046795,3.48576855,32.24991121,2.646387799,7.364212773,11.79902737,1.129397607,5.241420221,1.145813244,2.132861471,0.493004338,0.367157585,3.88221023,0.246659199,0.417680072,13.20816697,0.580628145,0.131499072,11.10164845,394.8621044,0.87344258,1.438819973,0.293459889,0.041131153,15.96871801,0.108219486,0.218221172,4.806512094,0.754898967,0.252200955,19.10604698,1.368839962,2.473178534,1.390485321,38.8434024,0,1.841517816,0.291802017,1.214872166,0.995550855,0.16557143,80.96415687,495.4925213,6.741455039,191.3457528,56.45570415,53.96460916,104.2645936,19.28661899,1492.124003,119.6497167,0.420886696,0.831206377,1647.12297,227.0649788,446.4153014,4.392430666,42.64700278,55.67009857,5.551414232,214.6204875,253.8981404,140.0416468,99.52246124,107.4182954,206.4171142,21.64750986,0.262934371,3.837907004,492.1016109,0.356129662,0.205780788,0.025929718,0.115405954,0.312671094,0.135117388,6.910305844,0.904907744,8.498530407,0.218205023,0.215517893,1.592107258,43.38221911,0.596965429,0.029948025,0.600008705,0.440026527,1.653512745,3.376865467,10.80914807,2.128590789,0.493881614,0.506135584,88.11858482,0.862029633,273.7610819,0.500468295,136.8611475,0.274364406,24.90925735,0.452633375,12.75285837,0.129394419,0.948839072,95.18118228,57.08894237,0.325875825,0.945493714,12.83474064,0.305964196,0.433739799,5.295022643,0.061197804,0.046600242,0,1.09886753,2.431120521,0.057592465,19.02264849,137.261474,3.065399913,0.18528927,2.109173987,0.080616701,0.797633581,0.346949052,42.40030771,0.471973806,7.417621288,7.751241802,1.601652719,0.147445384,0.131661789,0.080629423,0.06086417,4.796013846,94.52622906,0.467963656,0.56523994,0.00151929,9.388180411
"MB0443",4.404993768,0.313784841,0.432110416,8.497744215,75.14443793,0.293556992,0.230449926,0.097395022,0.141031525,120.5976899,0.801587668,1.637548859,24.45809624,0.521575036,0.06452486,0.787300049,1.320599734,6.343486476,0,1.442526494,27.45174505,30.76325636,6.132965204,31.65021914,0,0.080236401,8.323065558,9.20585079,12.64983573,35.49841842,1.593584689,2.610358219,15.68242451,0.089510427,0.522148876,0.142356866,1.350632109,3.88576466,1.437373114,0.196421288,46.01274208,0.909702705,0.06201,0.109107425,70.65474971,0.061472898,33.22103717,44.27011998,61.68141522,0.369860822,3.553322148,4.537360126,5924.241661,0.636944944,3.630841598,2.070448548,53.44588861,0.629280915,0.253233168,4.079422531,34.38432083,3.515170191,10.65309282,16.22966945,2.930088573,2.800867734,1.148158187,1.853839083,0.475837877,0.12237271,1.669433029,0.047229985,0.396031893,10.17837848,0.878207076,0.18506475,9.050723167,301.7434295,1.902380513,1.094178031,0.034947468,0.029296741,15.05728208,0.319786604,0.220296729,3.373013115,0.876481971,0.232254006,1.90956283,0.967456787,0.308128091,1.205819562,109.1660692,0.017575237,1.391704498,0.208896251,0.916570648,0.929854082,0.209692868,60.44954092,548.2183032,11.00092403,159.4366736,51.61076485,37.26249533,98.74251386,19.13631546,1143.064049,97.76888595,0.273806292,0.639014509,1348.319099,181.0514669,404.0015696,4.007200023,39.15454191,41.30083412,4.520763256,365.0615339,177.4755169,150.9807291,74.39957945,100.9331704,187.3370567,16.69923236,0.119666224,3.241480077,448.2105105,0.283533765,0.247631276,0.042600471,0.08340161,0.51501601,0.089066849,7.237251543,0.095119545,5.789476205,0.118077436,0.321111166,0.883686931,52.06287688,1.115931052,0.018535344,0.661518801,0.438139423,1.021535716,2.209918564,9.140847137,2.269629004,0.563731785,0.48335194,70.16481664,0.48792026,289.6873776,0.441007841,130.6352202,0.094127708,18.56545628,0.239966794,19.6842816,0.631077559,1.460271597,99.43359338,77.62419372,0.233416533,2.02274985,7.884610122,0.306713955,0.354556396,3.866616951,0.057768981,0.024256348,0,1.428507759,1.273365858,0.064661218,19.20455691,167.1423803,4.371003917,0.317284578,2.141088209,0.070510212,0.898530937,0.346949052,52.46355575,0.415749776,4.195622663,5.584184727,0.101677875,0.232428365,0.075151618,0.083461611,0.072424677,2.292449552,79.52022488,0.463819218,0.712643635,0.001645319,19.86929994
