"","alpha-ketoisovaleric acid","Vanillylmandelic acid","Uric acid","Tyramine-O-sulfate","Tetrahydrocorticosterone","Tetrahydroaldosterone-3-glucuronide","Tetradecanoyl-CoA","Taurine","Succinic aldehyde","Stearic acid","Sphingosine-1-phosphate","S-Adenosylmethioninamine","prasterone sulfate","PGF2-alpha Ethanolamide","p-Cresol sulfate","Palmitic acid","Oxalosuccinic acid","Oxaloacetate","Oleic Acid","L-Valine","L-Tyrosine","L-Threonine","L-Leucine/isoleucine","Linoleic acid","L-Histidine","L-Glutamine","Lauroyl-CoA","Lactic acid","Indoxylsulfuric acid","Hippuric acid","Hexacosanedioic acid","Heptadecanoic acid","Glycocholic Acid","glycochenodeoxycholate-3-sulfate","glycochenodeoxycholate","Glycerophospho-N-Arachidonoyl Ethanolamine","Glycerophosphocholine","Glycerol triundecanoate","Ethylenethiourea","Dodecanedioic acid","D-myo-Inositol-1,3,4,5-tetraphosphate","D-Glucose 6-phosphate","Creatine","Bilirubin","Arachidonic Acid (peroxide free)","Androsterone sulfate","5-Methyldeoxycytidine","5-Methoxyindoleacetate","5-cis-8-cis-Tetradecadienoyl-CoA","5,6-DHET","4-Hydroxybenzenesulfonic acid","3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione","2-Methyl-3-ketovaleric acid","2-methyl-3-hydroxybutyric acid","2-Hydroxyisocaproic acid","2-Hydroxyethinylestradiol","2E-tetradecenoyl-CoA","1-Deoxy-D-xylulose-5-phosphate","16,16-dimethyl-6-keto Prostaglandin E1","Thiamine","Sebacic acid","4,7,10,13-hexadecatetraenoic acid","(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid","10-oxo-nonadecanoic acid?","13,14-dihydro Prostaglandin F1alpha","13Z-Docosenamide","15(S)-HpEDE","17-phenyl trinor-13,14-dihydro Prostaglandin A2","1-Arachidonoyl Glycerol","1-Linoleoylglycerophosphocholine","1-Naphthylamine","1-Phenylethylamine","2,3-Dinor-TXB2","27-Norcholestanehexol?","2-Linoleoyl Glycerol","2-Methylindoline","3-hydroxy-pentadecanoic acid","5b-Cholestane-3a,7a,12a,25-tetrol","5-Methylthioribulose 1-phosphate","8(S)-HETrE","Actinidine","Anandamide (22:6, n-3)","Carboxynorspermidine","Chenodeoxycholic Acid","cis-5-Tetradecenoylcarnitine","Decanoyl-L-carnitine","Dihydrouracil","Dimethylallyltryptophan","Galabiosylceramide (d18:1/12:0)","Glucosylceramide (d18:1/16:0)","Guanine","Hydrouracil","L-Arginine","L-Asparagine","Lithocholic acid","N,N-Dimethyltryptamine","Palmitic amide","PC(14:0)","PC(15:0)","PC(16:0)","PC(9:0)","Phosphocholine","Phosphonoacetaldehyde","Phosphorylcholine","Pregnenolone sulfate","Pyridoxamine-5'-Phosphate","Stearamide","Taurochenodeoxycholate-3-sulfate","Testosterone enanthate?","Tetrahydrodeoxycorticosterone","Ubiquinone 8","Urobilin","alpha-Tocopherol","alpha-Tocotrienol"
"HK0071",7879.027,20297.5288,142753.2256,125214.3593,1642.5127,6363.4746,3192.492,24544.8144,7133.2081,14264.3787,5191.4868,3322.7985,129457.9782,6201.5877,163615.407,3718.5969,10431.0966,175182.0556,6171.5777,8659.0762,3376.9598,2233.6438,3310.6317,1997.051,14190.4141,44554.8614,1530.0862,83267.555,40342.6619,1357.5436,40695.9275,1479.8293,35588.7248,2672.0489,3645.4473,15292.8388,4680.8473,1996.5805,11610.9774,8873.0824,26770.376,10102.5223,10250.1289,11242.948,1014.8572,69638.3326,9620.9315,5275.1496,2703.8886,0,47325.105,1809.634,131644.9419,14975.9342,6674.7362,89174.9607,4741.1664,1000.277,1985.0643,11838.8355,6633.1767,9617.0865,7467.5224,23603.8738,150708.1273,102597.8046,23497.7799,14571.3708,15256.6313,379005.0661,10116.5011,858659.2058,607.3772,375314.1218,85353.2197,15560.0828,130.5124,6318.5473,4315.2678,6242.6327,17700.1343,813.9561,14819.2271,5637.5103,13765.1811,9226.2648,35772.6047,19064.7431,175517.382,7128.458,0,2574.1028,21535.9629,4164.1659,11979.933,16426.806,2166.1558,5920.6039,3496.8373,447792.082,999075.8538,51837.3554,4807.6922,12771.5749,9946.4009,12472.1572,6693.5219,6867.8434,4561.5893,44479.6138,6314.6313,7698.1295,6281.6299,0
"HK0072",14165.5509,36316.3042,270826.0421,87359.0155,8476.6978,4941.2644,5170.6702,23945.8545,9976.0832,73286.2094,21460.957,8804.8706,387954.8634,27059.5717,58910.6671,11921.1943,9767.5675,12913.5722,19163.6194,13553.9325,7658.1719,385.7432,12083.0725,20981.61,28518.3061,62978.491,5095.6735,76926.9459,96896.3393,3070.7541,133157.2071,19577.3881,36900.126,12730.3549,44276.5149,13639.5067,16511.166,5749.1138,13213.4014,28249.6469,31320.0181,15024.4192,20660.8033,22757.6745,4856.8895,148884.7226,47817.8806,20102.4337,4954.7919,6658.9396,174232.5173,10709.2461,296945.0661,45347.8173,14017.7036,258288.6519,8122.4856,4806.1032,15505.1848,11861.2105,22180.1026,16636.7583,11513.4995,25031.3904,168149.1815,176106.8896,36193.6834,19115.9684,29263.2765,370214.2221,7755.6623,841224.8601,1469.7283,622005.1302,141629.122,16084.9566,313.9774,15940.3696,6229.7837,7266.2392,17731.9679,1011.6377,12152.2273,7002.9403,23301.0443,12683.8558,59234.0334,20412.1402,341153.1959,8581.7453,327.6926,3248.8577,20518.5427,8426.9676,13393.554,13953.6313,4869.4937,8716.4046,3609.9711,556486.098,1113142.779,73820.2035,7862.7042,10165.2094,17415.3609,10127.9798,10188.4315,18684.8895,7137.5978,47323.6965,9107.24,10187.567,11466.1692,0
"HK0073",9073.5197,36520.148,117069.8791,59657.2272,2639.3344,5613.3438,7221.9535,44791.5176,7723.8773,69558.095,16531.3304,6286.5119,237907.09,26606.3409,512612.1114,12375.7542,35233.7505,16682.9463,10355.9966,10610.9801,6336.3123,2768.7999,12196.4703,8162.2628,21479.5937,46604.6942,12364.4485,79832.677,90574.5306,16294.0327,85268.218,15506.0303,36177.5779,10705.2535,25390.2451,9117.4023,22334.7238,5063.5257,11325.7539,14825.3338,24510.1476,68355.4985,22681.9969,7444.2054,2270.524,83254.975,44465.3676,15040.5755,3913.0632,4906.1326,89773.3728,4518.9334,285958.002,38433.761,12675.8979,164742.4811,6795.0664,12298.7138,2410.5517,19307.2373,9607.211,5597.4923,13029.9918,21801.0361,176613.2255,44483.8935,23922.2348,9141.7764,8684.5258,97398.6756,15472.0846,791114.1131,824.6054,281926.0228,78773.8459,11010.6245,620.3636,1391.1194,2661.0081,6442.9863,16773.5073,1211.6876,12064.1782,3946.7771,13903.3693,25268.9842,45931.6172,48868.5905,870309.5136,8057.7818,0,1810.0869,19026.8013,4158.0545,24999.9926,14670.2301,2554.4367,6860.6389,3975.8416,316463.8541,997075.6019,168975.7111,14036.137,14486.6244,18618.8352,23282.1114,5009.4015,4499.0255,4300.7412,28111.3053,28304.015,1291.2374,105.9639,0
"HK0074",6829.5201,18070.2325,127963.4212,138396.1639,3993.6127,5015.7197,432.7917,23705.499,6899.6837,25401.2817,5177.4424,5155.7304,153590.5488,8831.7633,455451.0166,7896.526,21203.4487,9519.8752,19077.955,4727.6827,3536.1736,2683.0781,3226.4062,8602.0876,12719.8686,54327.6862,149.1035,94695.5491,38222.5601,8598.6061,64002.7819,2688.3237,36953.1675,3873.6379,14983.2549,16112.7876,1082.6039,2011.4446,10308.6924,11443.7756,26251.4989,9209.638,8476.1712,15465.1191,2138.4437,63814.7107,535.5916,3154.9903,3478.3198,1884.9336,68164.2072,5438.7786,107417.0194,13606.0463,4091.5621,190831.2581,106.0861,5149.5813,6167.3219,17553.7743,12166.2222,17307.1517,16246.7302,28527.7965,185991.3129,124737.5927,42838.9516,23623.1538,25321.1456,531374.0357,9621.754,705130.8926,943.8052,608489.6215,148772.2431,30458.9714,492.0479,21687.7966,10310.123,7274.2274,19258.6618,355.8587,12663.9282,6246.4754,27108.3697,6384.3872,66082.5022,17167.2656,69855.7886,9234.9141,482.5415,2969.59,19736.9438,9971.9039,15302.7666,14395.3203,2822.4835,6971.7428,3102.5855,577689.0697,1143195.019,46356.5054,6841.5835,10214.538,19386.8849,11014.4273,9839.5458,19578.526,8278.4097,47762.1451,3008.9696,11272.3952,10037.3416,0
"HK0075",12291.5882,32146.5474,143278.7191,63709.7496,5120.5256,5622.2593,280.6465,22526.9858,7975.2338,81106.2608,10228.1207,5383.7496,479330.9047,31036.2085,702901.1768,12016.9673,35858.0318,10558.8133,13020.4716,11817.4275,6518.0153,7630.583,8713.7746,11029.2765,23575.3256,51265.2505,0,69974.1286,89628.8647,19612.0853,165697.4087,21245.2941,38541.7082,10427.1411,69416.0868,16635.348,12948.4413,4380.7983,11344.1929,15311.5492,24451.9771,20269.3889,17448.9833,6965.9533,2291.9742,169378.1769,11009.841,11293.6943,4985.1344,6671.0556,103584.1494,7194.9362,231273.3026,35566.8755,8932.0934,148443.98,260.5143,32086.021,7922.9532,28491.2778,24702.0668,21345.3675,17655.0852,29129.0184,159540.6605,95463.9453,54869.5022,25203.4934,48072.9468,559217.2781,6328.4919,800089.836,132.9048,656636.539,201944.8275,24821.392,323.4842,29956.5251,10637.9056,7336.7802,19279.5884,0,14159.4118,6651.4127,32872.3615,29233.5742,73462.3214,24398.1171,14365.2275,11225.2107,387.3788,2862.9929,20177.3129,14949.3126,12750.8205,15406.029,4378.7917,4857.0932,3057.9712,521129.6985,1006216.459,6893.8236,2060.3686,9353.5176,21619.9097,8850.1771,11268.7498,26295.7717,11458.7866,55836.4504,0,8468.0367,14905.5501,0
"HK0076",15172.7413,39270.2912,222224.4137,91471.7728,9955.1529,3406.2786,361.5152,37029.0295,8632.739,76054.3173,18967.9489,13284.1507,216355.7232,30232.0473,144557.8999,13518.3411,11735.6391,12684.3063,22641.2381,11706.3556,7890.1264,5575.2293,10761.1325,25139.6927,27440.6177,46429.2201,0,100582.3286,87741.635,10416.6847,149917.6483,16368.2268,35245.2992,8531.822,30076.5549,17490.3802,22462.5149,4815.3513,13859.7638,25349.5913,32156.8738,29938.3319,25450.0629,25014.4791,4023.1732,60232.6491,42264.5019,16448.1416,4004.3801,5192.7409,448344.7099,11745.8705,324870.8736,36468.359,10055.0816,175525.5878,1256.5911,5654.8499,13079.3151,21381.2916,10664.1983,15234.5414,12090.3965,27045.7333,117388.9985,51597.5405,109446.819,19294.9893,36521.6542,223417.747,8350.8019,768095.1657,1166.5889,654908.8204,132789.0242,24441.7771,0,13184.8838,6369.9551,5053.2432,19513.7548,307.8276,12433.3509,5211.9129,24387.8753,16456.9723,43957.7081,18792.603,10726.3144,14300.4605,346.7971,1385.8696,20814.4878,4973.1762,9707.5275,14676.0929,3007.5649,5848.9037,2838.11,372395.815,796129.4611,9091.9367,2126.333,8807.829,11835.5647,9835.9086,5190.2067,14609.3949,7060.7385,51290.9858,778.5212,8647.0196,5764.414,0
"HK0077",10458.9788,28015.9315,199769.6856,70586.2376,3548.0113,5074.8678,1527.3781,34204.1915,7695.7849,72299.4381,16965.3443,5569.4049,292515.0835,28090.9127,260245.6563,7444.5889,4178.8393,172675.7238,16945.1958,10172.4123,5156.7699,6931.1839,8493.4415,6578.5413,28623.6739,62425.2341,0,76035.6362,74897.2273,14053.255,134033.9016,10160.2296,33763.3677,8722.966,17023.181,16049.9564,8404.8478,3342.4594,9813.0719,26566.1221,26014.4043,78064.046,16680.0672,10363.8167,1905.7482,130352.7009,17797.5171,10769.8457,3892.2191,3612.8714,282648.8494,4622.0629,219908.9852,20696.4241,7395.3161,188151.2256,537.3422,10288.9003,9002.7259,15765.2634,7025.9335,9532.3455,8847.4487,23859.529,170284.1127,91210.2946,23041.84,15035.2817,17517.0888,146500.0887,9443.2478,862604.1765,481.1081,370586.1751,83906.0896,19393.3554,268.7783,9689.4226,3035.1925,8067.2214,18567.8315,645.2157,14624.3233,5626.1631,13431.9025,4749.2832,33534.9768,17028.8494,30673.6222,7050.8815,105.4645,2928.2044,22772.8977,4849.0438,13463.5563,15250.1677,1825.1652,6977.0732,1294.4061,225364.3817,1097422.433,19717.5322,3140.9488,10660.0227,9981.6719,11689.8061,3694.3782,9134.4765,5002.5694,46963.0934,2048.5719,1980.8192,2871.2913,0
"HK0078",9444.2429,32351.3114,175355.9788,85931.9472,13464.7432,4031.535,3801.1469,27137.0485,7011.7372,71949.3509,15513.9962,16140.9218,188325.3825,27906.2528,433095.2191,18971.8513,24489.0398,178100.4459,29707.075,9380.7013,5371.9755,7698.5973,8533.6581,37365.1951,27775.9334,59628.6919,2665.3731,75810.0354,86547.7916,26366.4463,116392.0424,26842.345,37727.3993,20675.8855,71733.9345,12290.7915,14038.5722,9221.5595,11735.5954,15146.0481,26704.8111,32782.3055,19482.7677,35510.2545,11913.3723,51067.7588,53831.0869,13201.5022,8060.5539,10174.7994,52381.034,18805.0667,257523.3215,51667.4802,13192.0727,123374.9037,3490.7228,6272.3344,3997.4152,24524.8352,10641.6943,1655.0853,5180.1412,7234.5609,51177.6685,35773.2053,15007.4637,4912.5481,4578.9909,360523.0368,18264.8375,794679.1142,620.6479,93671.9014,49883.4346,13875.1348,121.8489,601.0341,1956.7321,1456.872,18645.1558,196.0238,14048.6633,3811.4906,8253.2944,6916.3262,25213.6774,9531.0284,214811.0037,2468.0722,0,0,20022.0436,2343.5579,10074.5031,13128.443,1360.8409,2008.3113,1581.3956,376896.6546,253369.9767,143768.4498,13987.1812,7917.7856,12740.4101,14206.6684,6012.9293,3157.9735,1991.3044,7344.074,9087.3981,8360.8588,8983.8984,418.9494
"HK0079",10234.3391,29349.1302,175685.7365,63147.6533,8611.7898,7744.9433,2415.4401,27056.3352,8465.9058,76887.471,14067.8956,14876.7229,65250.7265,29678.1857,214216.9273,13009.2278,23203.5738,182560.6767,20203.8636,12869.293,5433.8977,2620.9407,9367.1928,22000.1944,26099.6169,58375.624,0,70969.6858,63621.0237,12120.5282,127346.393,22847.461,38406.4174,18816.4815,53122.7746,15186.4717,39680.4197,7924.485,11255.0971,20974.9967,22426.0274,25783.4605,16310.64,21360.6991,3195.3572,15743.0066,137861.4917,15273.4964,6076.5545,7986.5358,183733.4377,11585.4403,233561.7222,52036.2747,11474.1794,229321.3597,1089.4143,10809.3368,9397.1615,6788.7634,9305.8246,16467.8603,13679.3758,26491.9478,153462.7774,233592.8046,44158.2409,22057.6963,20211.7234,809645.0191,9286.7434,874363.5427,1834.2195,624148.0022,159854.0767,17451.6841,690.7659,10879.4583,7205.8554,5885.9806,19304.9174,656.5069,14227.6195,6104.5063,30039.417,14407.3385,64239.2198,26765.6947,59938.2793,9567.0995,246.6231,1946.2678,21783.7431,10736.8565,14191.0796,14127.0451,3804.2919,17213.9248,10244.6927,1089772.618,998388.7752,23189.2909,4203.4598,9482.0385,19718.9905,9286.095,10910.4002,20445.3072,8983.0718,61377.2628,4391.8414,40668.287,38089.8035,0
"HK0080",10660.6413,42759.2594,253248.3758,70683.6301,8373.0076,4340.4634,2146.9921,18161.5924,7074.2872,73493.5625,11086.9673,9676.993,244903.406,28103.1779,40875.8713,12304.8103,15300.5596,176874.023,21543.787,8105.1612,5837.505,9418.6385,4840.3763,28467.2893,25591.1351,56585.3064,1697.7146,69994.7619,18275.5489,15926.6438,127007.5176,11836.4569,35805.4831,8512.3001,34606.266,15153.1234,27090.4668,3660.1954,11349.5139,47348.8634,29211.2385,13925.5209,23349.5777,35484.8265,2713.3481,140792.393,90325.4537,11465.0089,2304.9742,4120.738,90042.3065,14098.9586,371893.0215,31364.8291,10571.9725,144173.0796,3002.8012,12851.9721,6598.5605,4200.6498,16574.3099,10582.8592,11642.6815,22700.3034,164611.7009,32340.4622,27240.1554,15574.4667,19597.0136,126727.4713,5874.2717,850564.1216,534.4253,458654.9245,102259.2773,20316.1507,529.2516,6825.3703,9877.4376,7104.893,19980.0606,1151.8187,14380.5583,5063.99,17673.4115,13691.5333,51513.9109,29528.2846,17953.0826,8277.8271,0,2758.3565,20786.6116,4028.3658,14356.8137,13120.6629,2761.4321,7225.7579,1616.1584,231953.9327,1051903.195,16374.3727,2950.6278,8077.1086,13788.645,7805.2789,4799.5843,9295.1325,5644.8212,35495.8564,442.2442,1936.4575,1864.549,117.2045
"A0002",8123.0515,23434.5045,201148.8711,65891.5807,10049.6462,5283.4508,6004.6817,15615.7994,7816.4503,49146.2397,13428.0061,14394.0867,305975.7194,12672.938,251210.3655,10979.278,15620.125,13952.6463,21065.0152,12512.3789,7072.9709,1861.0442,9416.7676,26011.1666,23239.7618,48324.1432,11982.6274,76525.0335,35327.6641,10389.1562,76332.2903,18481.191,31356.2372,24913.7366,56150.535,7201.9068,13896.8439,10568.5915,15274.722,13218.4927,23781.8027,13730.4091,12310.6454,8371.7945,5851.751,257221.9625,36977.8531,12685.4509,7359.8488,5933.5582,112685.3046,13748.2547,175128.7451,30626.9313,7930.2442,70602.4123,9461.5063,8867.5449,18339.5459,10731.5317,13241.0196,10974.3126,4450.8848,13549.2175,177207.6015,91211.7948,45698.2514,18813.7677,26387.3768,533830.5957,7482.2189,667333.3903,3746.3065,306587.14,160935.7673,33959.2937,741.7573,16460.0646,10173.7897,8442.579,17020.4284,484.2944,11853.2069,10653.8721,31439.8829,10440.1564,35220.6592,26535.8852,931366.1607,6102.1549,3307.9532,4071.1352,17172.4845,9361.8701,8553.3384,11096.8923,3873.5811,12775.6682,5779.8029,1107036.865,1575714.322,147572.9591,15274.3352,10197.7582,10564.5915,7818.8231,20095.2207,11737.2049,8815.6138,41162.7953,29748.0317,13968.76,16568.6812,1853.33
"C0003",13246.422,33432.701,170603.452,65141.134,11174.069,3062.806,5296.485,30417.27,7246.093,57146.515,15602.997,11473.567,568733.849,13398.897,698665.277,18154.059,38313.869,12707.28,19041.405,18666.86,6626.578,13755.145,15062.672,30700.59,25632.713,56727.109,1930.853,89850.815,70682.137,39249.502,76930.71,44055.469,29938.135,37885.757,142826.578,7405.776,13460.022,14804.176,11748.751,24330.12,21833.156,85150.744,22711.246,18911.743,12358.442,213720.201,41404.685,20564.295,15392.332,12913.256,58524.698,13294.328,304439.428,37547.242,10844.659,73671.562,3439.481,20813.783,18401.29,33455.292,7703.966,20375.947,7575.171,29295.035,3341437.323,639219.686,133191.326,81634.488,37543.974,2982277.984,11010.222,886011.521,6527.064,474525.279,402436.344,26696.513,14391.994,7361.672,31274.227,115289.17,20421.57,16881.324,16277.021,17187.853,72119.741,46434.902,130615.633,24568.677,536751.137,23503.115,26676.016,56104.198,19562.366,34093.529,228461.775,14607.21,18310.021,35231.884,24246.678,3761473.587,203430.263,242530.298,27219.328,13108.504,40856.322,9175.595,96244.823,19417.512,19912.003,41145.602,29639.062,42248.942,43745.248,33510.259
"C0004",20577.354,25973.339,127341.701,61141.401,16804.2,3841.497,6677.54,27320.475,6005.341,55378.423,17511.36,21289.751,292688.212,12024.059,456523.526,20718.683,36112.001,11784.742,23278.097,7453.089,6790.709,6487.854,6612.001,35806.653,18352.717,43677.488,8657.201,118636.727,126459.607,20566.926,63925.654,48201.813,29265.438,42911.603,181082.831,5376.414,27463.725,13982.67,11316.887,11289.207,19651.043,56516.173,16895.887,4359.228,14617.222,58322.909,11826.67,13913.605,15773.543,16625.026,58122.544,18584.757,225140.646,29887.417,8801.898,102774.772,9201.92,17200.353,5515.908,22497.467,10632.572,8763.385,3233.782,25735.115,4106378.12,741755.579,112106.885,62185.456,17831.415,2054114.677,12534.647,782344.126,14611.034,252464.669,327514.221,28361.832,18164.813,11640.743,32527.406,137741.984,18018.959,20293.175,15249.064,20212.934,61093.094,11619.124,166426.13,33507.266,1126738.504,20005.212,26706.495,66138.343,20519.025,25626.125,315849.039,13747.654,21301.696,49976.37,25139.029,4104664.365,272391.488,266532.051,27077.387,11573.502,56866.483,7286.789,143894.949,6175.954,17441.655,23850.219,42204.467,33374.222,65176.496,41611.938
"A0005",11428.992,28393.1422,117170.7327,66521.1414,6542.9332,4914.3371,2779.9856,29400.5542,7231.8038,51555.2161,15329.8813,9380.5349,511157.8739,15247.094,485683.2809,9812.3078,43844.6361,13827.0549,14776.1725,10299.9379,7691.174,7035.0184,9637.1303,13098.9658,21347.495,45036.6023,1058.1342,88105.7277,70392.3482,39122.5357,77988.4829,14401.569,32018.6625,12821.8793,53978.6686,10821.6239,11275.5157,5180.656,11582.2075,11751.232,25886.2793,53083.4496,14724.9115,13352.3631,5447.9958,215312.5617,39596.8544,15793.7718,5193.4995,6045.6702,37876.4007,7758.8075,240403.3577,36590.5116,9955.4301,132168.1836,1497.9605,25956.564,7029.1525,21611.39,11377.0307,6268.802,4396.1627,16467.8118,215193.4359,320697.8165,46650.5509,19000.9641,18188.0815,317799.4397,10194.8057,717310.8549,3205.3465,245124.0479,156025.4998,33163.5078,727.4169,13972.5018,12548.3299,9737.3456,18185.2159,1332.102,13837.3834,8636.6933,27103.5888,7569.7154,40071.6317,34970.9131,110154.5572,8030.0564,1239.5758,3660.8021,19366.5221,6719.4438,14465.3136,12743.7781,4850.8579,10430.7905,5228.3942,588006.0121,1503018.215,59621.5203,8839.2972,10843.0114,11331.8746,10709.345,32363.2041,5632.6928,8843.7357,30596.3768,6249.7739,11681.302,9593.5606,5487.2207
"A0006",11888.899,29670.724,113010.639,69347.215,16314.938,2831.416,5596.986,19353.493,8427.57,37867.48,14963.459,18274.459,232788.012,8246.319,671628.964,15443.424,36101.187,12397.009,23377.081,10813.921,6404.578,8708.538,11500.401,36054.094,20737.454,49492.617,2459.592,91681.75,59779.431,23229.999,42524.653,22571.57,30498.968,31172.308,103931.237,5692.72,12750.175,11994.052,9860.237,11841.767,18955.888,22653.429,19444.647,5441.271,12926.494,76322.679,25328.061,10076.407,10904.969,10942.657,56909.676,17736.944,275025.647,39337.16,10691.984,42440.532,5117.501,12105.758,5062.873,30933.607,11528.687,6261.389,2459.702,20054.033,4276598.609,292114.089,67800.206,42908.886,14455.349,2229137.147,9180.143,502795.843,7731.477,213205.674,194621.764,57124.823,18869.011,14144.89,27000.528,138134.351,15829.429,18510.783,14004.907,12700.815,37549.304,15502.564,99761.471,16346.103,512522.091,12992.042,33018.131,72280.807,20269.121,27459.584,290324.082,14613.51,12471.852,30018.311,16128.429,2905951.804,307653.67,427435.167,61959.245,13395.488,29644.456,7867.69,91886.144,4674.456,10956.847,20156.496,34107.494,31295.193,53150.065,28289.051
"C0007",7969.711,21942.33,159872.739,54830.878,3174.354,3322.213,4999.536,25476.866,7109.48,64418.064,14621.753,3646.754,268383.346,16625.451,647595.188,9585.199,63696.435,15132.065,9855.624,6007.814,5892.469,6537.485,7371.367,8026.948,20512.289,58092.387,6938.715,76505.096,52731.549,21158.097,90735.061,17281.988,33159.244,8882.121,45835.328,7143.565,3463.064,4056.469,10488.164,12695.225,23696.565,22577.578,10864.392,2612.023,1374.855,137329.741,2860.694,6324.586,3740.104,6994.584,47886.631,3490.901,152265.885,15578.216,6635.478,152491.861,5744.842,6464.807,12081.253,18155.411,6934.151,11622.157,4806.071,17949.991,2382609.402,120802.902,40440.11,23388.757,22417.349,220356.116,6458.524,643018.242,1956.804,392940.176,136263.502,34575.464,11768.673,8495.373,10976.861,81881.109,17360.326,11480.895,12529.566,36212.736,23503.253,7097.03,29523.689,24566.63,591630.101,9061.867,16966.738,39286.99,18310.846,5531.242,160778.06,11767.563,3628.397,2334.036,1485.323,350427.04,292597.335,146136.881,15793.952,9837.741,9416.274,8042.596,15121.08,10529.034,7919.298,48056.998,29397.554,2732.458,3690.557,0
"K0008",11376.5223,32324.7666,158708.686,61577.3093,19632.5974,4859.839,8814.8213,18689.4318,7864.1635,58569.9809,12244.0761,19841.5179,219409.6896,13394.3936,127327.6591,16501.5164,4926.7142,11788.4013,24362.1809,14939.0053,7988.2737,12490.0342,19345.4274,36372.8698,25552.6585,55970.0999,15577.1159,83676.0402,69648.4568,4458.0312,64656.9615,40325.8962,30797.0659,38643.011,75159.8148,5626.0026,8108.3079,16029.8623,12412.0303,11511.3378,17871.068,20646.2426,20724.7156,3267.4808,12248.3216,75697.8727,21048.6092,14540.6112,11159.6789,15417.9101,459782.2508,17862.8715,264201.093,61478.9569,13047.1981,50016.3316,9738.6804,13445.0235,2967.985,22906.8268,7325.0958,11106.6387,4617.0572,18682.174,170600.0529,240868.7385,74913.5437,23170.7137,121652.5982,1292386.269,11792.1515,737014.7834,4563.5921,324412.2825,233473.6115,21356.1747,507.1176,6699.6021,12884.934,5360.7092,15416.0568,464.3198,11632.0122,13127.9583,42940.8092,18045.0961,47614.0459,37395.2185,1236721.129,9159.282,1081.6935,1982.8681,16018.0787,12829.2696,7144.0492,9961.6472,5103.0025,26028.0016,14346.9994,2491991.64,1249597.608,142495.38,12723.7296,13957.5993,16583.4686,12798.7102,43122.9422,7260.8676,17744.4559,44446.3549,49629.3255,28263.4376,63690.1623,10684.548
"K0009",8237.222,23201.648,174541.483,54111.901,4739.129,5101.482,4556.382,24408.588,7876.897,49357.311,16922.631,7117.898,119804.317,12369.978,1069890.435,6496.709,65872.113,12456.106,6287.824,7421.566,4824.43,2245.144,6259.728,8408.945,16274.335,35440.71,3544.21,61812.046,85304.609,41732.292,79572.583,10484.166,30151.669,14555.303,57831.18,8279.333,39290.209,6126.359,9820.119,10725.916,25735.618,29516.547,14097.086,7235.159,2766.94,43296.562,101495.51,13796.192,6185.026,5666.375,256613.321,4588.688,194767.942,18619.699,6109.968,100053.015,4803.899,3333.856,45389.802,27974.349,10301.449,16018.451,5985.418,16563.009,2161263.308,84136.16,48218.534,23770.894,18936.852,456431.049,6744.25,739435.902,1630.805,357260.325,161655.337,32775.483,9890.657,11072.38,11989.371,78481.331,18603.414,10118.76,11756.449,16105.631,29432.4,8732.884,31190.796,25111.444,495042.491,9740.389,21541.458,38656.652,17936.935,11049.582,120947.736,11137.157,4676.796,10108.718,6769.248,661420.423,209993.099,122031.64,12676.289,8512.523,9471.49,8158.457,11483.76,16539.195,9272.98,55453.429,38079.485,15754.864,5643.712,0
"C0010",6762.5542,27711.6926,127114.7879,50634.8845,6057.3961,5941.8664,3673.4049,22128.269,6223.1658,52668.1634,9590.528,9671.7046,116872.0037,13725.5323,320005.4334,9611.0833,28981.9218,12631.5853,15205.0652,7577.3054,4763.5404,4424.5609,5650.4454,16878.2068,19380.4392,35164.7979,0,59635.5999,61458.6905,10754.0986,85741.2779,11987.3175,27049.7941,12838.2869,26200.1328,11323.0507,6982.5026,5075.1445,9979.317,9712.5385,22207.7509,47530.0446,14285.1233,3584.6014,3122.3898,55024.8269,7682.4836,9676.6798,4631.8239,2757.4711,94077.567,9599.1283,219396.5644,15781.2722,6247.6072,124981.7984,1153.3805,29331.7099,30794.242,11338.4024,9586.6853,8081.1178,2492.3035,11329.6394,192311.4674,207870.4576,24642.7374,13468.6976,14081.873,411840.0447,2824.5568,736850.3527,920.4741,222116.6697,90857.3981,34164.4291,354.6883,4208.5613,6928.237,9769.9524,18110.3024,753.4172,12644.6806,8650.0818,15588.8686,7956.522,14090.5001,85288.1359,495973.7924,4165.9181,3898.8613,4113.4622,17499.1032,8291.9028,9571.5403,12097.9419,4382.0728,5014.7112,2982.0351,513417.3795,1645182.771,87660.3003,9716.4291,5575.3267,2906.7606,4286.3035,8978.8992,6119.3426,4556.7839,51892.0842,8749.0189,7264.0184,3789.0606,0
