"","Acidaminococcus_intestini","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_putredinis","Alistipes_shahii","Allisonella_histaminiformans","Alloprevotella_rava","Anaerosporobacter_mobilis","Anaerostipes_hadrus","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_coprocola","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_galacturonicus","Bacteroides_massiliensis","Bacteroides_ovatus","Bacteroides_pectinophilus","Bacteroides_plebeius","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Barnesiella_intestinihominis","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bilophila_wadsworthia","Blautia_faecis","Blautia_hydrogenotrophica","Blautia_luti","Blautia_stercoris","Blautia_wexlerae","Bulleidia_extructa","Butyricicoccus_pullicaecorum","Butyricimonas_virosa","Catenibacterium_mitsuokai","Clostridium_bartlettii","Clostridium_clostridioforme","Clostridium_hathewayi","Clostridium_hylemonae","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_methylpentosum","Clostridium_nexile","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_spiroforme","Clostridium_sporosphaeroides","Clostridium_symbiosum","Clostridium_thermocellum","Collinsella_aerofaciens","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Desulfovibrio_piger","Dialister_invisus","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_eligens","Eubacterium_hallii","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_siraeum","Eubacterium_ventriosum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Gemmiger_formicilis","Haemophilus_parainfluenzae","Holdemania_filiformis","Howardella_ureilytica","Intestinimonas_butyriciproducens","Lactobacillus_ruminis","Megamonas_funiformis","Megasphaera_elsdenii","Megasphaera_micronuciformis","Methanobrevibacter_smithii","Methanosphaera_stadtmanae","Mitsuokella_jalaludinii","Mitsuokella_multacida","Odoribacter_splanchnicus","Oscillibacter_valericigenes","Oscillospira_guilliermondii","Oxalobacter_formigenes","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_johnsonii","Parabacteroides_merdae","Paraprevotella_clara","Parasutterella_excrementihominis","Peptococcus_niger","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Prevotella_copri","Prevotella_oris","Prevotella_stercorea","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Slackia_isoflavoniconvertens","Streptococcus_anginosus","Streptococcus_thermophilus","Subdoligranulum_variabile","Succinivibrio_dextrinosolvens","Sutterella_wadsworthensis","Turicibacter_sanguinis","Varibaculum_cambriense","Veillonella_dispar","Abiotrophia_defectiva","Actinomyces_graevenitzii","Actinomyces_lingnae","Actinomyces_odontolyticus","Aggregatibacter_aphrophilus","Aggregatibacter_segnis","Alistipes_senegalensis","Alkaliphilus_crotonatoxidans","Alloprevotella_tannerae","Anaeroglobus_geminatus","Anaerorhabdus_furcosa","Atopobium_parvulum","Bacteroides_clarus","Bacteroides_intestinalis","Bacteroides_nordii","Bacteroides_salyersiae","Bifidobacterium_animalis","Blautia_glucerasea","Blautia_hansenii","Blautia_schinkii","Butyrivibrio_hungatei","Campylobacter_concisus","Campylobacter_gracilis","Campylobacter_showae","Capnocytophaga_gingivalis","Capnocytophaga_granulosa","Capnocytophaga_leadbetteri","Capnocytophaga_sputigena","Cardiobacterium_hominis","Cardiobacterium_valvarum","Catonella_morbi","Citrobacter_freundii","Cloacibacillus_porcorum","Clostridium_aldenense","Clostridium_colinum","Clostridium_disporicum","Clostridium_glycyrrhizinilyticum","Clostridium_intestinale","Clostridium_leptum","Clostridium_paraputrificum","Clostridium_perfringens","Clostridium_saccharogumia","Clostridium_scindens","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Corynebacterium_durum","Corynebacterium_matruchotii","Denitrobacterium_detoxificans","Dialister_pneumosintes","Eikenella_corrodens","Enterococcus_durans","Enterococcus_faecalis","Escherichia/Shigella_flexneri","Eubacterium_brachy","Eubacterium_saphenum","Eubacterium_sulci","Eubacterium_yurii","Fretibacterium_fastidiosum","Fusobacterium_nucleatum","Fusobacterium_periodonticum","Gemella_haemolysans","Gordonibacter_pamelaeae","Granulicatella_elegans","Haemophilus_influenzae","Haemophilus_parahaemolyticus","Johnsonella_ignava","Kingella_oralis","Klebsiella_oxytoca","Lachnoanaerobaculum_umeaense","Lactobacillus_casei","Lactobacillus_delbrueckii","Lactobacillus_fermentum","Lactobacillus_plantarum","Lactococcus_garvieae","Lactococcus_lactis","Lautropia_mirabilis","Leptotrichia_buccalis","Leptotrichia_goodfellowii","Leptotrichia_hofstadii","Leptotrichia_hongkongensis","Leptotrichia_shahii","Leptotrichia_trevisanii","Leptotrichia_wadei","Listeria_monocytogenes","Mobiluncus_mulieris","Moryella_indoligenes","Mycoplasma_salivarium","Neisseria_bacilliformis","Neisseria_elongata","Neisseria_flavescens","Neisseria_oralis","Oribacterium_sinus","Paraprevotella_xylaniphila","Parvimonas_micra","Pediococcus_pentosaceus","Peptoniphilus_asaccharolyticus","Peptostreptococcus_stomatis","Planobacterium_taklimakanense","Porphyromonas_catoniae","Porphyromonas_endodontalis","Porphyromonas_gingivalis","Prevotella_aurantiaca","Prevotella_denticola","Prevotella_histicola","Prevotella_intermedia","Prevotella_loescheii","Prevotella_melaninogenica","Prevotella_micans","Prevotella_multiformis","Prevotella_nanceiensis","Prevotella_nigrescens","Prevotella_pallens","Prevotella_pleuritidis","Prevotella_saccharolytica","Prevotella_salivae","Prevotella_shahii","Prevotella_veroralis","Pseudomonas_aeruginosa","Rothia_aeria","Rothia_dentocariosa","Rothia_mucilaginosa","Scardovia_wiggsiae","Selenomonas_bovis","Selenomonas_infelix","Selenomonas_sputigena","Simonsiella_muelleri","Solobacterium_moorei","Sporobacter_termitidis","Stomatobaculum_longum","Streptobacillus_moniliformis","Streptococcus_sanguinis","Sutterella_stercoricanis","Tannerella_forsythia","Treponema_amylovorum","Treponema_denticola","Treponema_lecithinolyticum","Treponema_maltophilum","Treponema_medium","Treponema_refringens","Treponema_socranskii","Treponema_succinifaciens","Treponema_vincentii","Veillonella_parvula","Victivallis_vadensis","Weissella_viridescens"
"2137",0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,4952,0,0,0,0,0,0,1641,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,254,0,0,292,0,0,0,0,0,0,0,0,41,466,0,0,0,112,0,0,3730,0,0,0,0,516,203,0,0,81,0,0,0,0,308,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359,0,0,0,0,0,0,0,0,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,464,0,0,6471,0,156,185,0,0,1182,0,0,156,0,0,0,0,654,0,0,0,3204,19,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6223,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2151",156,0,0,29,505,205,0,0,0,147,0,0,0,3191,1127,0,0,167,0,0,477,0,2414,622,0,412,2790,76,718,0,0,0,415,0,0,78,0,0,0,0,577,0,0,0,0,0,0,232,0,0,0,0,0,214,0,0,0,92,105,0,58,0,125,147,169,0,0,15,0,0,0,0,0,0,0,2091,0,0,290,5452,454,0,502,0,0,0,155,0,0,0,0,0,0,0,0,73,182,97,0,0,0,0,1025,572,0,0,68,0,184,0,0,0,0,0,0,1209,0,0,0,0,0,201,148,0,0,0,0,0,924,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2159",235,0,0,0,120,0,0,0,0,517,0,0,0,773,174,0,0,0,0,0,0,0,423,131,99,523,483,0,27,0,0,0,69,0,0,0,0,0,0,0,57,0,0,0,0,0,0,77,0,0,0,0,0,99,0,0,0,109,58,0,10,0,173,78,445,0,0,0,0,0,490,0,136,0,0,1659,0,0,496,7318,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,7,0,133,0,0,0,0,283,309,31,0,0,0,0,0,0,860,0,0,601,701,0,0,0,0,0,519,331,0,0,0,0,0,67,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2161",0,0,101,44,249,0,0,0,0,475,0,0,0,126,290,0,0,0,0,0,0,0,0,107,0,553,880,0,73,0,0,0,73,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,38,0,133,0,0,0,138,0,0,133,0,54,176,577,0,0,0,0,0,548,0,192,0,0,838,0,0,194,5188,0,138,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,255,44,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,637,337,0,0,0,0,0,59,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2162",0,0,0,0,145,0,0,0,0,281,0,0,0,0,30,0,0,0,0,0,0,0,0,65,0,287,386,0,9,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,14,0,27,0,257,0,0,0,0,0,295,0,161,0,0,318,0,0,366,3696,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,83,97,10,0,0,0,0,0,0,276,0,0,159,413,0,0,0,0,0,434,229,0,0,0,0,0,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2164",0,716,0,0,403,0,0,0,0,271,0,156,0,0,0,0,0,0,0,0,0,0,0,532,0,0,4693,177,122,0,0,0,62,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,313,0,2590,0,93,164,0,0,0,80,0,138,280,0,0,0,1045,258,538,0,3334,0,0,1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,930,0,0,0,0,0,0,0,0,0,0,0,0,0,401,241,77,0,0,342,154,0,640,261,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2165",0,1104,0,0,445,0,0,0,0,0,155,130,0,0,0,0,0,0,0,0,0,0,0,248,0,0,3419,152,225,0,0,0,61,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,388,0,0,100,0,0,0,35,0,0,266,0,17,0,542,132,185,0,1543,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,343,0,0,453,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2166",0,1466,0,0,567,110,0,0,0,351,233,154,90,0,0,0,0,0,0,0,0,0,0,551,0,0,4025,311,324,0,0,0,87,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,84,0,112,0,1059,0,0,186,0,0,0,48,0,129,267,98,0,0,788,408,218,0,2708,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,777,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,85,0,0,479,0,0,874,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2167",0,592,0,0,492,0,0,0,0,293,0,198,0,0,0,0,0,0,0,0,0,66,0,762,0,0,3292,155,240,0,0,0,81,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,610,0,0,148,0,0,0,0,0,83,353,0,0,0,832,953,47,0,3914,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,21,0,196,0,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,540,0,0,752,146,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2168",0,371,0,0,353,0,0,0,0,187,0,122,0,0,0,0,0,0,0,0,0,0,0,458,0,0,2925,0,186,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,243,0,0,0,0,0,0,25,0,0,282,0,0,0,537,706,0,0,1973,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,372,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2169",0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,1090,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,1289,150,936,0,0,117,163,0,213,396,291,0,0,1680,656,225,0,3372,0,0,840,0,0,24,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,29,0,0,0,0,128,4930,33,202,0,0,0,332,1392,0,0,143,0,0,270,313,0,0,84,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2170",0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,214,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,776,0,257,0,0,0,0,0,87,537,128,0,0,2866,514,200,0,2673,97,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,94,15591,0,514,0,0,0,467,355,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2171",0,0,0,0,0,0,0,492,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,165,0,1438,130,964,0,0,300,133,0,161,446,288,0,0,1403,755,54,0,4838,84,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,22,39,0,0,0,189,12065,0,424,0,0,0,353,533,0,0,71,0,0,239,367,0,0,0,0,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
