"","stearic acid","elaidic acid","myristic acid","cholesterol","oleic acid","lauric acid","palmitic acid","putrescine","fucose","tyramine","hexuronic acid1","sulfuric acid","urea","leucine","valine","alanine","arachidonic acid","1-monoolein","linoleic acid","aspartic acid","gluconic acid","1-monopalmitin","glucose","isoleucine","succinic acid","lysine","proline","2-monopalmitin","phenylalanine","tyrosine","cellobiose","glycine","glycerol-3-galactoside","histidine","arachidic acid","tocopherol alpha-","mannose","hydroxylamine","pentadecanoic acid","heptadecanoic acid","citric acid","ornithine","serine","tryptophan","mannitol","threonine","4-aminobutyric acid","monomyristin","lyxitol","uric acid","phenylethylamine","ethanolamine","behenic acid","docosahexaenoic acid","5-aminovaleric acid","isohexonic acid","lactobionic acid","ribonic acid","N-acetyl-D-galactosamine","trehalose","trans-4-hydroxyproline","saccharic acid","2-monoolein","lactic acid","hexadecylglycerol NIST","beta-gentiobiose","syringic acid","isoheptadecanoic acid NIST","zymosterol","N-acetyl-D-mannosamine","creatinine","gluconic acid lactone","1-monostearin","N-methylalanine","ribose","butyrolactam NIST","caffeine","methionine","cystine","xylose","levoglucosan","butane-2,3-diol NIST","alloxanoic acid NIST","2-hydroxybutanoic acid","maltose","raffinose","nonadecanoic acid","pseudo uridine","methionine sulfoxide","xylonic acid","capric acid","tocopherol gamma-","uracil","UDP-glucuronic acid","thymine","erythritol","alanine-alanine","isothreitol","glyceric acid","malic acid","tagatose","tyrosol","xanthine","N-acetylaspartic acid","lignoceric acid","squalene","2-hydroxyhexanoic acid","dihydroxyacetone","galactinol","dihydrocholesterol","xylulose NIST","fumaric acid","methyl O-D-galactopyranoside","2-hydroxyglutaric acid","N-acetylputrescine","4-hydroxyphenylacetic acid","isothreonic acid","cysteine","pyruvic acid","6-hydroxynicotinic acid","asparagine","galacturonic acid","acetophenone NIST","hexitol","taurine","threonic acid","indole-3-lactate","thymidine","nicotinic acid","lyxose","glutamine","lactitol","xylitol","benzoic acid","2-hydroxyvaleric acid","n-acetylglutamate","1,2-anhydro-myo-inositol NIST","3-hydroxybutyric acid","3-phenyllactic acid","palatinitol","phytol","delta-tocopherol NIST","glycolic acid","sebacic acid, di(2-octyl) ester NIST","beta-mannosylglycerate","3-hydroxypropionic acid","xylonolactone NIST","propane-1,3-diol NIST","glycerol-alpha-phosphate","hydroxycarbamate NIST","inosine","homocystine","epsilon-caprolactam","maltotriose","2-ketoisocaproic acid","methyltetrahydrophenanthrenone1 NIST","indole-3-acetate","2-deoxytetronic acid","stigmasterol","2-deoxytetronic acid NIST","parabanic acid NIST","1-monoheptadecanoyl glyceride NIST","alpha-ketoglutarate","maleimide","5-hydroxymethyl-2-furoic acid NIST","isocitric acid","pipecolinic acid","cholic acid","phenylacetic acid","nicotinamide","adenine","fructose","2-deoxypentitol NIST","N-acetylornithine","n-acetyl-d-hexosamine","urocanic acid","orotic acid","pyrophosphate","aconitic acid","digalacturonic acid","4-hydroxybenzoate","shikimic acid","phenol","oxalic acid","7-methylguanine NIST","chenodeoxycholic acid","inositol-4-monophosphate","adipic acid","cerotinic aci","aminomalonate","adenosine","O-acetylserine","4-hydroxymandelic acid","uridine","conduritol-beta-epoxide","allantoic acid","2-hydroxypyrazinyl-2-propenoic acid ethyl ester NIST","xanthosine","dodecanol","tocopherol beta NIST","beta-alanine","guanosine","hexaric acid","2-picolinic acid","3-hydroxy-3-methylglutaric acid","phosphoethanolamine","5,6-dihydrouracil","3,4-dihydroxyphenylacetic acid","2,3-dihydroxybutanoic acid NIST","homoserine","pyrrole-2-carboxylic acid","adenosine-5-monophosphate","4-pyridoxic acid","erythrose","azelaic acid","citramalic acid","cytosin","3-aminoisobutyric acid","glutaric acid","maleic acid","tartaric acid","erythronic acid lactone","malonic acid","glucose-6-phosphate"
"WANDRO_11",6615524,6157175,4830954,2331789,2028665,1166205,2616119,60733,846561,204893,2130348,2577852,206759,3491,3533,25094,308761,1287746,87530,6627,18328,1473683,136178,10183,2134,40792,321,157825,9322,41515,151461,42548,50778,3681,219783,7290,218164,131507,118268,165512,4952,5893,69210,46321,66175,21275,1738,131526,15084,77484,147,13390,146021,136560,170,52638,713723,7557,1631,8018,5676,44821,65079,14321,62620,165701,10423,46263,50527,322,566,28754,83759,2546,91914,813,33746,132,5485,20256,32057,8460,20509,39396,3108,6923,18868,13647,15263,7576,12336,9918,6280,9315,9233,7623,524,3849,2403,155,437369,276,791,7557,37870,16487,2738,1362,25948,4231,4274,732,12880,391,6758,968,1881,66,2192,5134,769,8330,9497,11772,255,3114,160,11937,239,2661,225,4954,1495,2982,2748,3035,2058,627,574,10802,526,1743,3392,5114,2130,932,2735,388,875,584,1083,8449,265,10094,868,2038,179,1201,3896,1022,1782,5547,440,136,1075,518,151,9894,124,591,2488,42291,1438,459,2147,375,624,853,225,21476,264,2083,1176,1217,1141,14489,288,692,4569,201,1382,74,259,5389,939,813,786,1079,874,381,56,1724,896,460,296,95,123,155,372,77,134,344,492,490,794,151,107,73,199,151,151,134,283,130
"WANDRO_12",6222740,1645294,6908714,1691033,2008199,3813377,1469661,23884,832991,6989,1707100,3101590,267441,2682,1284,24754,257788,2041726,758314,8083,16418,1721300,86376,7142,1654,7203,325,367127,6730,23715,270897,5611,54825,349,169966,934,476528,136731,178118,221733,2290,1701,9736,45329,189683,4822,827,566498,13884,5994,536,9317,114694,107778,272,49944,371147,7201,4103,88201,4283,57827,139229,5049,31387,164313,15113,67258,14647,175,1299,33453,231718,2429,283590,718,35242,193,4963,14971,21060,2857,2379,1780,3096,6601,18389,11223,22941,7498,30221,655,20065,9341,17547,9520,579,4048,3750,235,4685,171,1111,15512,23608,7571,309,1750,20593,2999,9295,733,8703,233,6614,649,2690,83,1265,5578,1607,17277,6422,12031,51,4181,208,35351,492,13253,118,5034,2020,3080,1890,2135,1022,2812,263,3245,1966,699,2653,5329,11407,645,2219,403,345,642,1108,29529,334,8444,630,3175,133,820,1217,861,1358,11813,411,690,1178,118,166,1290,168,919,2646,319,1268,71,4399,148,613,549,139,802,238,4041,1000,928,851,990,296,968,2002,132,2954,85,319,9773,759,185,642,1919,841,362,106,3226,1127,453,321,133,104,216,225,103,675,372,495,420,684,297,88,80,213,85,144,137,251,155
"WANDRO_13",1835913,1007010,193151,6722425,126350,58173,334547,7725,463593,28920,9724347,2695670,677139,134673,317119,750113,92782,78358,50434,198243,5102735,58348,946852,177526,13050,32429,22582,23351,110780,345654,233893,495726,11059,4985,29528,10379,76923,433519,28875,35807,85235,8958,322777,111178,322640,253841,13226,2342,32837,100867,282,71144,77451,15996,395,324346,886984,8357,14520,9174,49102,273209,19389,72013,9579,892762,230493,7035,44844,1524,71034,367553,30365,25308,50760,1593,89582,2637,17995,119964,12803,5301,666,126769,16882,6335,11258,29476,17425,8388,2506,2791,16529,2493,34345,22990,8855,5892,8700,3595,2294,522,786,3677,4999,9184,903,4247,48003,37696,5576,11179,5871,1377,3396,1006,8481,862,975,295,10702,32109,4254,39773,5943,27574,797,41781,621,48484,1016,3320,5013,10966,8566,14970,18105,10829,694,19423,711,1806,9748,13888,1847,2530,11876,838,10317,6451,15907,3399,1700,8154,2554,5298,1367,2682,32600,4281,3530,1645,467,443,6352,3585,611,14225,470,1854,3087,1428,2863,1082,3427,1847,1250,2616,1435,30510,594,1923,2723,2582,3344,3186,446,2012,1871,1421,2843,330,1336,1154,4034,1226,2208,1579,1906,2791,457,755,1840,1023,779,876,319,1075,1566,209,515,1339,2208,1154,656,621,639,312,512,498,1009,336,975,477
"WANDRO_14",3247233,2766773,7030589,994545,1530913,5016718,1848886,592778,3772341,1166960,8332,69,13450,32064,67839,242006,380709,1544007,443300,46172,681,1221809,218430,105606,39507,52697,4895,1371442,151354,46794,8358,80849,16455,99318,242631,97784,210288,21796,252886,129140,96,23942,29856,43187,2639,32503,103932,626906,4240,8319,11733,34912,143725,207394,1102000,102,5828,21863,21021,8118,9428,102,411858,20243,14850,12594,40789,63103,11700,6979,1838,4841,133704,4518,89039,561010,19175,30624,6504,12318,1446,28511,22464,16493,1032,165,18909,15900,11993,1750,135495,11887,18751,46082,8111,7140,9188,11234,22270,3396,5577,6471,11240,18674,14991,11310,21384,2701,5366,1332,1648,982,9090,6822,27833,2513,5167,2979,102,184,761,1094,13953,4232,1548,4346,20539,1323,14693,5078,274,1483,8153,1631,2237,2941,4049,2788,17647,750,2764,3531,21663,2934,2623,4558,874,18575,1286,1724,2893,3471,747,295,701,2842,5306,1723,575,1014,650,13140,84,399,810,39,338,699,13337,1259,3122,1111,486,636,538,455,3011,687,387,368,951,1422,553,757,688,1351,782,902,880,524,864,129,193,1238,377,322,497,242,441,194,478,2967,262,236,413,549,650,207,225,1217,65,277,385,435,774,578,343,45,446,147,71,723,48,45
"WANDRO_15",4862947,3315001,6866713,1229564,1908989,4544928,2250438,4944165,5709,2502472,2866,927,200387,280898,411957,231565,604779,514248,786453,16025,112,941736,3740,158746,209133,39392,58019,104177,70068,17083,14450,24067,605,75756,267290,238163,1464,67291,207878,137311,5066,19769,3730,43894,1214,4868,19545,54664,6054,1710,310322,13802,103510,125783,1268,77,7245,7480,629,1825,11808,77,45321,4581,55679,8287,12436,65006,45933,147,25888,149,25169,12903,9556,609,14348,10260,4092,7129,765,16315,60772,4338,2048,12816,20364,3761,3850,5660,24923,17213,6471,707,4779,5997,30568,5125,4760,31165,18672,1946,1310,15278,14195,30323,8276,3209,3006,2023,1255,20098,9622,34357,3663,12854,718,800,5929,2100,333,100,17966,2621,1254,1413,1317,301,5415,452,2530,493,230,3494,1368,665,803,2676,6888,1428,1865,5655,1320,3860,717,947,402,195,1064,5472,829,5081,1424,5341,694,6462,516,686,1171,941,1238,2226,12110,857,155,128,342,859,584,562,691,128,785,1338,250,789,709,3696,3188,973,310,895,790,115,285,813,3591,696,1020,389,500,311,196,597,93,104,877,129,892,450,452,652,305,186,156,39,975,1656,106,671,126,629,111,180,864,125,103,89,183,202,66,82,129,74
"WANDRO_16",2852085,1849751,6404688,1345758,1623600,1527949,2470533,1496896,71480,2819892,65209,3732,278676,1471339,1064396,788827,209284,2937930,752607,20678,1055,1969657,38713,805639,10070,917981,580663,356485,164817,32919,68863,82194,14691,151547,207538,435640,2976,28363,131192,115512,3110,15450,14125,129058,35478,16346,126729,217146,20555,658,387512,161779,104946,161214,2202,483,48670,41565,844,10324,8808,673,194182,15892,36889,5713,16779,44516,24469,202,39711,357,104897,100050,15642,1228,30732,62492,19452,68320,2579,445123,29383,18512,11543,18754,72407,5742,10354,39293,47034,36382,4924,9808,4876,12779,37176,11760,24543,692,5022,7818,1344,12992,14916,16666,48069,1452,2760,4008,93111,1211,7719,5308,1141,8320,3930,5491,5811,231,3604,898,10080,10479,2280,4223,14524,723,6766,5931,14342,6651,8459,4025,1754,848,950,1978,9708,2621,7080,11336,3803,4085,2824,5645,1002,1909,1039,2681,6155,4569,1086,12031,3937,3301,1091,1077,2350,1364,1041,11078,220,1738,351,172,764,1213,651,4652,1476,290,916,6035,787,717,473,2463,993,2442,427,1370,852,1017,407,5983,923,993,572,1088,925,164,239,1223,298,504,893,241,699,774,1193,2872,350,536,268,103,131,403,250,697,117,478,207,273,1008,159,191,48,260,600,107,378,186,486
"WANDRO_17",7108711,2780509,4676937,809416,1675159,4563900,2098998,423177,1695801,552918,4943,1878,78816,47916,43196,151606,233636,3336991,468287,24711,274,926315,257656,21843,189247,27581,9766,1896418,28276,27615,147886,21040,17772,6831,237633,26508,218532,47077,307998,142344,615,156072,9572,44032,4119,12449,1394,548545,3836,2496,2890,66631,74512,77206,1685890,83,7220,21905,10732,10297,4605,83,222104,3270,19353,8660,8667,81010,33201,1911,2332,3239,258337,35755,48043,889,16784,11463,4256,10965,2120,5175,137457,1555,3918,7985,33770,8018,7381,879,28848,8108,26545,16677,10967,13059,15840,8197,14657,3552,9471,1906,4414,19152,13825,6554,18573,1110,3084,1721,2560,1876,6094,174691,18301,11812,4484,983,760,140,1699,322,16604,2788,7127,2684,6273,2633,14434,3795,5559,2993,2223,1809,1163,1047,4415,14343,3423,1817,2140,2378,4666,3482,4122,9378,1302,793,973,4691,4676,2638,2613,345,351,2182,66044,1727,873,1077,4039,19915,6758,1704,55,446,996,1656,7144,1107,2203,721,998,1870,645,377,1985,1588,314,212,1316,989,579,103,280,491,2357,576,688,327,726,231,149,3237,761,93,416,342,763,483,6626,3231,200,404,524,95,215,2328,345,905,140,480,199,90,571,613,1454,32,541,68,151,212,109,48
"WANDRO_18",2757822,4607209,5861435,1351567,2434993,5991060,2374517,110969,338527,666864,6566,2424,173452,94075,89367,165054,293707,2495702,698197,40873,268,1091877,272463,50199,209957,40955,25843,1117135,41036,28088,94282,12580,19098,16160,282188,6638,192357,5629,411665,212081,1152,415375,14493,72290,4161,11947,4372,718773,1889,2954,5514,37968,92279,93498,1763461,191,7364,26229,15148,8192,37185,191,216738,6144,32080,11230,11171,135110,45299,2666,8688,2469,165782,46520,68996,1597,20372,2793,5955,9478,3224,5277,71620,2867,1865,4019,5476,17518,35165,1351,49402,1376,32000,4164,13471,15301,13594,8993,16707,3278,11396,1753,7706,31020,18262,14552,16410,1476,3107,2828,2930,1923,8663,183754,2710,7555,5389,1051,285,194,2480,514,22571,4969,15918,3134,11449,3007,20235,1688,10771,1639,1753,2675,2441,2460,4753,10017,3253,1241,2935,787,4763,5572,6094,11837,5796,1249,663,574,8646,2845,1834,865,761,3019,72940,2019,1680,1158,4777,17777,2426,2208,116,847,1356,11483,7164,2440,1683,2293,1460,1539,490,448,2080,1499,282,397,1389,2067,886,283,442,4298,1868,1249,1268,471,664,310,237,2162,701,242,876,361,988,498,8465,3570,289,556,583,205,246,343,424,981,264,441,284,121,1747,648,320,158,990,150,215,99,157,82
"WANDRO_19",9487383,1107119,8324806,2568594,6530402,685908,3160829,74772,13812,354951,19364,38987,4868,468623,632230,201490,373454,172579,935160,32505,411,226000,15699,342237,57021,15441,20498,53518,147184,8382,92142,84510,898,7426,494813,357560,39294,234585,188772,304183,7022,184855,9824,48640,607,16979,5718,48820,5765,8394,14645,4328,232785,74389,804,491,17368,10148,987,3120,16917,491,32145,9918,63387,18471,6242,78587,35721,430,73817,534,22582,32403,23410,1460,31549,1461,4238,27745,3651,11235,143588,10677,7513,13669,29562,7096,15321,10780,5353,27395,7003,972,2354,7906,1732,7530,11161,5538,3607,106320,168,6353,45980,12593,23123,2068,7666,6804,5373,7207,2587,10158,186,6888,2955,470,574,2418,525,1475,9591,11398,2809,4456,1598,193,6623,2320,1132,788,1083,5351,1952,9561,1156,3806,8465,1320,1936,5581,2126,5655,1568,2687,1055,3687,1145,2353,1146,961,403,1762,2653,2339,1257,982,3310,843,831,1855,165,1678,1695,341,169,1639,2598,451,552,256,1554,635,482,2130,800,770,406,1105,595,893,1586,885,2394,5367,1993,879,4362,144,453,249,650,695,193,199,1103,334,965,979,169,375,402,553,233,310,234,485,660,338,137,349,679,280,519,179,154,81,355,213,200,86,243,128
"WANDRO_20",6843853,1112855,4810441,1256305,1300397,3399950,1212355,1043830,341575,2616144,11013,3959,362288,2193133,1469216,1048073,159379,913927,228452,60311,1981,954547,230175,590179,1235336,108327,689235,132435,481560,40504,12116,165267,8744,533242,124095,7466,211486,32545,147107,99438,1228,687100,18180,34566,5124,28844,997113,69119,14784,1891,238591,17600,39412,70752,1164,1122,5939,8939,19721,2125,25168,955,61085,85367,22580,7567,27109,31898,18685,1626,37339,2459,36480,57091,40721,64045,17061,72941,2539,18024,618,3663,23335,63177,2520,179,15139,21302,25713,7976,13944,516,11640,4019,4194,13470,49383,40693,14034,7792,16438,7414,4653,16098,6925,6866,32895,4979,6607,2100,2404,4911,8496,14478,3674,7827,12868,1908,8805,240,470,1032,13440,7726,11913,5759,6936,1125,7236,1054,9635,325,8410,1858,2090,972,3843,5358,19027,843,1840,532,1646,2970,1216,3840,355,6418,1012,1933,3168,3824,1932,194,5175,1869,642,1119,1119,2472,1670,3056,568,2098,757,82,7595,1215,7893,2870,3846,1039,964,2225,730,126,1205,3807,635,2719,570,1785,1279,3108,663,3002,1230,832,212,2584,1115,818,260,1468,345,201,663,171,508,197,345,1145,257,481,496,315,1512,127,711,508,179,374,353,227,814,233,1090,413,204,836,39,127,123,50
"WANDRO_21",3849593,2205647,6118758,1031336,1842000,5287537,2529715,6335332,4774,2430087,9919,150,349075,215649,272657,63033,582054,1014126,521086,22782,200,519131,11573,109945,739417,29054,16649,310412,79347,8800,19645,14803,2030,82364,406322,110271,10352,75785,345289,205653,9506,11897,5508,26506,1007,2808,8774,189981,9066,993,471656,18127,130319,74522,2345,68,11850,5124,1403,9583,8927,68,79574,258,46898,1626,4967,88908,52121,220,7320,175,42644,7155,9980,852,16412,6079,3708,7553,667,18718,24599,4255,1517,6228,24857,1150,42707,4149,36753,11368,3747,10324,4161,6287,22694,4254,5189,19936,24796,295,664,23500,15740,11593,16716,4435,7072,1315,2421,12379,11809,30364,1758,18778,956,1648,4050,3329,26463,107,11355,2368,3413,1644,898,158,3870,355,4078,607,287,2991,924,375,657,690,13309,1091,1011,3778,685,3346,7841,1315,4971,263,1002,5301,1616,4677,1618,10278,208,8807,551,844,711,611,1347,5412,5741,871,113,232,987,628,1384,1522,275,218,1084,2636,287,351,247,1566,4626,494,573,1038,571,216,231,676,3165,582,1141,193,423,489,290,686,87,66,585,267,748,326,817,1011,216,397,251,378,793,18708,118,966,205,480,163,223,1009,109,103,44,194,514,68,128,159,75
"WANDRO_22",5004599,153469,489355,2151561,349944,119215,820945,99092,516593,29007,40299,6618997,6582701,69839,134576,463420,191521,332913,113004,136186,11312,38710,106407,217402,39907,28695,11524,37047,107524,276900,268042,199221,5749441,3298,108076,15634,6743,965909,46889,103375,4342,11631,162427,26593,7641,95281,2407,6451,19465,12835,1549,489668,197040,18494,2800,579303,40425,30590,5287,32419,82700,496517,32392,163564,35352,136818,164162,18075,19411,4323,177622,2653,24332,30996,281795,9895,119660,9436,212076,90919,3425,214490,2494,274107,24113,31361,28462,11312,10447,55953,5134,4090,88213,13154,26301,90806,5034,48698,21466,22271,178806,3372,25855,10028,13327,8771,8665,147976,39468,8332,21825,23381,9563,22464,4136,5387,35890,9463,24412,761268,3245,14231,6796,18374,3977,19797,5393,62637,7355,49137,1264,5533,21386,22231,29446,10068,9423,19059,4901,6058,2281,4229,12562,25556,38191,7561,5134,20675,7827,6663,8758,7096,68854,34906,7608,12828,1955,3751,2587,5054,14025,2214,6776,4575,6796,559,898,3292,3205,3338,1835,1822,12342,725,2766,2341,5958,11990,758,7488,15534,5347,6052,16984,9496,5480,1490,4123,2534,2720,4728,499,2780,2347,2826,1057,4695,3172,3012,1403,1556,732,4043,3205,2500,2301,1270,1097,918,652,5280,1343,2135,2700,1150,9669,5160,1756,858,565,1902,931,1530,605
"WANDRO_23",10205042,9266707,1830231,2928859,1892178,396757,2379173,2215750,14037,1031220,8149,3909,243052,479627,790679,437407,152231,77636,833915,127450,17018,27712,160604,263286,141710,71126,219154,7179,133723,87259,27803,46215,1487,18299,103088,437176,335785,248003,57058,138005,807,53456,13068,81330,9848,10637,2793,5979,6385,78143,49104,9802,37005,42248,5448,1496,4924,7827,2238,109475,3594,1682,14558,52029,53617,3203,68652,40942,57196,622,43062,3611,10814,30147,47925,2577,6905,10022,2478,60201,1863,7320,25500,10976,4233,38110,10821,1882,6281,11194,7708,27226,19794,3123,3041,1030,67530,12066,24927,26687,17983,3350,6027,58655,8444,12393,23567,2776,8181,4995,7493,24897,8209,5595,3682,8654,6074,6864,9699,725,1071,1045,3665,1919,3825,7149,62770,587,26939,6344,10374,613,15240,7536,2536,2998,1794,7654,20094,6387,4190,7989,3771,8609,945,17206,591,3311,492,26585,4630,11706,1170,514,3415,4131,837,1876,1673,1422,3326,633,924,218,268,175,3996,2381,1230,1584,4104,1129,1109,2437,986,486,2949,8550,1572,876,376,1569,1790,272,769,1574,4645,1036,919,328,704,328,201,555,378,224,1218,423,1230,1347,1327,669,574,455,281,151,296,259,263,1738,738,1136,401,585,792,415,224,155,3259,378,153,298,326,179
"WANDRO_24",4001642,2505454,5514408,1133584,1789307,5165526,361591,876209,961074,2126988,26777,141,696734,388352,346540,393741,374479,1447253,523694,6729,217,31108,249902,271535,2260384,84499,223925,3094608,240084,12640,238291,74728,68780,133591,223363,201268,5354,79235,329761,204405,180,31168,34734,40144,7385,56649,602520,284076,18135,25803,87391,131081,61388,125882,4906,133,18000,4790,18313,14746,42417,133,314713,65937,37621,12365,3363,140057,44845,6182,4358,3401,76213,18254,17167,32428,11240,14408,8441,10187,2377,14825,3741,21709,21485,7889,28943,9757,33358,3969,35055,20385,7657,5433,5215,16231,10258,7507,22413,2493,11321,667,14058,16448,12585,17633,41498,2000,5971,1672,6139,1957,6935,2324,9409,2946,15602,1740,436,163,506,592,11715,4170,2180,15424,545,291,3741,753,2009,2319,3855,1949,8798,601,4569,3275,3493,1638,5269,6925,1837,4006,4983,2236,809,18326,3531,4602,5856,2176,2881,239,1913,3815,719,2646,423,5131,4997,15169,111,2437,98,44,532,902,10585,4413,5528,591,994,2113,902,886,1021,4727,524,669,504,2509,1191,1042,431,2130,2467,1394,582,1394,2920,1588,430,1711,365,144,713,681,728,536,1716,1803,224,515,660,2855,1175,190,969,394,1620,977,396,820,1061,602,969,9774,215,241,112,448,83,64
"WANDRO_25",3794799,3438027,4297582,850782,1680422,4995938,2351224,1342416,311095,2388214,12335,115,84367,405562,457628,571875,336868,1551086,350829,4758,160,1068734,178562,206988,1860493,175273,352304,2107914,177988,4531,60963,54719,24677,188975,320140,104729,1277,58338,479415,278659,239,52894,12399,37661,5061,10455,651545,330617,4005,11907,108636,49531,105086,120141,2243,57,4990,4680,5209,9434,5389,57,176462,30110,24034,5379,1321,153723,36824,1571,10473,1282,74573,23892,12403,37184,8092,3828,6480,6237,1183,49660,6057,13950,20136,2337,40732,1028,61426,6224,58214,12348,7769,4647,5972,5715,13043,4057,13460,4630,12844,1190,9983,14013,16250,16123,48017,1176,2481,1132,1684,1491,7020,2641,3274,174,5250,1883,109,102,18152,483,13305,2298,3153,4170,406,390,3149,2805,1051,923,1841,1732,390,298,3263,3685,4069,549,3710,4200,1196,3320,7840,1962,5019,67399,3185,4140,3192,1532,2655,1001,1685,2885,234,562,515,563,1142,14983,102,1047,131,38,737,1718,500,809,4245,328,135,1745,521,2239,326,3001,893,82,284,1153,880,686,183,3904,3155,498,1033,972,1161,2190,63,1257,367,72,540,640,429,400,860,1658,240,154,55,2006,5611,103,114,698,498,1033,166,285,402,679,959,226,130,493,72,204,110,49
"WANDRO_26",3540857,1023566,4876377,981204,1470236,4790288,2400740,421042,272596,3363951,25030,537,553195,1846625,868297,903391,1118358,212424,486305,10664,137,637426,274185,480984,1454838,37505,657242,140006,225109,5849,4774,78637,13966,110246,1024658,334590,149123,74019,443027,312494,222,51803,38708,38867,1642,13782,572341,75955,16297,42397,946663,26674,232941,165620,453,70,2335,7157,15061,3421,100925,70,37659,51351,88813,2309,1634,148742,41134,3206,14983,2294,15316,62332,58931,31413,17556,44345,11396,7219,2989,65484,9601,32923,5681,296,123665,1766,78629,6136,141782,26579,16935,1646,6336,26550,12955,17355,21092,3807,6801,1793,13050,23302,60971,23636,50984,1935,1437,1327,5361,1490,3681,5310,3656,2899,27475,2024,324,250,882,527,16296,2983,17345,9410,1130,475,6650,6188,1857,343,5285,4655,6278,670,4415,5429,7051,1050,4464,8310,2181,2949,703,8926,2749,52776,2499,6222,3932,2713,2465,199,2773,4636,1812,4597,581,2174,3542,2122,102,1409,103,183,1617,2900,1927,6561,6047,332,3155,8836,975,1051,1894,2173,320,223,3770,1312,1406,1730,710,2547,14267,1830,5150,1620,1162,1079,613,4471,437,108,743,553,690,731,2960,745,182,1384,1735,5497,5408,727,885,1254,6798,1854,611,196,672,320,934,11387,339,764,100,111,195,105
"WANDRO_27",3059842,2074474,5211743,673782,1426894,4252594,528688,1436248,2989661,3964651,40142,53,423547,623427,533532,817350,445762,422802,18272,9356,169,376179,563973,795161,2053391,67257,224714,299106,469970,5655,53899,164044,91577,236547,334864,228259,18684,23908,342114,202941,131,39192,265332,49793,28183,198442,821946,106441,10833,9798,210050,86077,114935,126450,788,80,6715,6189,260430,2934,25416,80,65508,136471,41559,7425,969,115718,29962,99051,2355,26220,22890,10784,113988,198113,14355,73934,56920,16468,9922,29194,3061,34238,6627,1731,52161,7374,75947,6476,54086,16838,9454,5509,6995,9901,7548,6612,18215,2802,1905,1672,33837,21314,30722,16591,56739,4136,3333,894,8841,1392,12559,3042,25861,778,10509,10706,332,214,1043,529,14744,3335,2760,4660,557,376,5356,1617,1214,720,3374,2158,12692,1548,4676,2324,3855,1660,2750,6203,1195,3058,5873,5055,1458,19126,3696,2246,3423,1125,1269,199,2038,4261,837,2228,508,1089,3399,3262,68,476,112,105,222,1242,901,2500,12497,262,883,20795,1173,993,874,1975,900,389,593,1312,1309,1665,421,488,3737,733,2634,1063,729,44666,192,1142,262,2313,657,1143,603,491,1300,562,193,353,499,2139,16604,239,321,1431,2451,433,468,1072,579,1100,1163,4279,204,303,76,304,106,170
"WANDRO_28",1811862,2160876,2206902,879950,947173,418528,699969,4229905,665073,3588835,11549,306,215617,4423167,3477629,1845555,200943,799342,378356,26275,196,667271,115328,1840188,488255,50856,1810002,295321,699103,5408,155185,437506,11994,602794,83632,83676,1489,39564,81332,71650,177,509858,18712,124743,2448,70261,337619,31807,5215,20885,205460,36125,35588,73086,12697,68,30345,7213,33204,7164,10449,68,53449,327656,13675,2603,1756,29408,11556,7798,32139,5292,28928,98108,18085,19647,6080,173325,36714,4283,12589,46682,10916,52992,955,23885,10683,11277,38405,4372,9612,11225,23205,7236,21435,691,26554,5186,10844,1561,850,19590,23280,4602,1923,5862,50000,3288,5942,2035,7965,1588,15438,5859,9562,5085,3845,16598,11898,512,42322,384,3649,13554,7944,3218,2766,1334,7928,514,27351,3119,3083,1687,948,1148,1660,4599,6504,2995,3599,3819,1805,3174,12856,3650,1154,25507,2951,6243,5063,2926,977,13084,12618,5512,433,668,599,474,1901,4356,1249,7161,41,32,1460,699,565,284,2642,409,436,3868,885,923,467,2137,3081,1076,752,1920,5315,2632,174,556,309,556,238,8445,521,766,169,632,298,245,432,270,440,388,482,1155,197,258,69,161,673,172,117,614,977,389,130,204,744,123,560,108,141,2059,67,148,87,125
"WANDRO_29",1122925,6131655,2361403,144822,100683,25841084,200668,1039,5712,180,1450,115,811,401,552,1206,751251,42936,729451,638,1501,11399,1700,1187,96511,718,555,82751,1116,12541,5029,24276,3964,725,118452,59790,2200,452,9962,214379,375,1488,14776,1167,173,2268,1443,3284,18596,260,734,1684,10510,815,638,282,882,131,811,3024,4712,282,8400,840,5969,4192,773,6113,9045,292,6921,391,622,452,20831,484,117948,257,4096,8153,3233,38462,526,4586,3127,260,61182,799,47827,420,100074,8249,295,1264,311,398,1479,635,423,257,1081,2258,128,83415,5757,119744,1046,4134,4750,41470,277643,821,1940,260,369,14734,298,199,1956,314,97810,411,153751,1216,241,170,17121,619,17092,552,1960,356,757,1549,6389,2806,263,8810,2146,2498,86090,4285,266,21149,57298,423,840,420,279,257,738,1459,564,526,15286,10376,14228,244,1004,988,1549,455,301,334,471,244,507,1344,969,321,266,164,318,14994,330,885,247,953,231,1235,241,7829,937,173,500,3778,593,1556,2341,192,609,231,2745,10991,542,247,3281,455,2511,9497,234,411,289,301,128,991,170,988,164,3733,241,2098,430,577,269,276,346,263,183,321,218,212,199,510
